# bin_edges hist err
5.907837911587943396e-08 3.467377946985843664e+03 1.068530681988933111e+02
1.068000432514575467e-07 8.196764698450517983e+01 1.221901537420394845e+01
1.930697728883249708e-07 1.147653594610383607e+03 3.400548389930298754e+01
3.490254878959579243e-07 3.103998180131664412e+03 4.159420701861925096e+01
6.309573444801929638e-07 4.927874992732279679e+03 3.897898559352243097e+01
1.140624923851320228e-06 8.139967339440168871e+03 3.725980640591271964e+01
2.061986009502219260e-06 1.951228822124783846e+03 1.356787817832236875e+01
3.727593720314938057e-06 8.283738021533767096e+03 2.079215880585391218e+01
6.738627168030940877e-06 7.168662858806444092e+03 1.438580122635055325e+01
1.218187912010114744e-05 4.845450529065401497e+03 8.796514654612678896e+00
2.202201949987373474e-05 4.884859686548273203e+03 6.568983436100245044e+00
3.981071705534969458e-05 4.175943516466417350e+03 4.517290282531013723e+00
7.196856730011514085e-05 2.679709569260279750e+03 2.691368260607871044e+00
1.301025216910830151e-04 1.302888669683546823e+03 1.395762378033967854e+00
2.351952635070956471e-04 6.131699626416562978e+02 7.121587943648638452e-01
4.251786303382885782e-04 2.767550724305953054e+02 3.558465600771866244e-01
7.686246100397730154e-04 1.085763600745787869e+02 1.657720040294936859e-01
1.389495494373136101e-03 3.647570095566797477e+01 7.146179870879518226e-02
2.511886431509576835e-03 9.984315844180464694e+00 2.780736560899711371e-02
4.540909610972469757e-03 2.785300727972222834e+00 1.092358793806460539e-02
8.208914159638244779e-03 7.697180823690790152e-01 4.270942051535212523e-03
1.483981788967563172e-02 2.039251291253277310e-01 1.635015140823279116e-03
2.682695795279721809e-02 5.353083221963424176e-02 6.230414990840962754e-04
4.849693428528190769e-02 1.345396072294150445e-02 2.323103859596093281e-04
8.767123872968668463e-02 3.483725219331682173e-03 8.792129298632380145e-05
1.584893192461110933e-01 5.523494128693571311e-04 2.603800102828870134e-05
2.865120269663776198e-01 6.586129412964019780e-05 6.687201242526751325e-06
5.179474679231201861e-01 8.826398490835266097e-05 5.757707519528379800e-06
9.363292088239397737e-01 4.363069251332088738e-06 9.520997669792192750e-07
