# time dx dy dz
1.873000000000000198e-12 -1.395787552270000287e+00 2.529241001699999991e-01 -1.521364600000000067e+00
3.024000000000000039e-12 -9.364704772999997429e-02 -1.393934499999999854e+00 -1.431675521630000114e+00
3.301999999999999865e-12 1.357260000000000133e+00 6.561397579999923152e-03 1.246170421630000469e+00
5.306999999999999904e-12 1.857429885100000955e-01 -7.827929999999998500e-01 7.604902063380996058e-01
5.378999999999999597e-12 -2.623708851000006170e-02 -6.646785005820000647e-01 5.384802068318998991e-01
7.273000000000000211e-12 -1.457606100000000016e+00 1.186855067431999977e+00 -1.387580930599999762e-01
9.263000000000000415e-12 -1.567703520300000042e+00 6.025328141000035886e-02 -1.516438083389999747e+00
1.040999999999999947e-11 1.201542192492000005e+00 -1.372621363669999983e+00 -3.526169999999997917e-02
1.057000000000000040e-11 1.435694448390000266e+00 -1.533987184419999927e+00 3.750539969999827639e-03
1.619999999999999963e-11 -1.489954800000000024e+00 -1.538574315579999796e+00 1.776985486999997643e-02
2.132999999999999898e-11 -6.908811322999974802e-02 1.487537454613999888e+00 1.531131400000000031e+00
2.216999999999999944e-11 4.307175544999986005e-02 -1.421300099999999844e+00 1.267274799999999590e+00
2.374999999999999877e-11 7.645979957999993193e-02 -1.398627999999999760e+00 -1.383237678760000033e+00
3.618999999999999988e-11 -1.393213436029999919e+00 -1.465780593000015619e-02 1.484331161570000113e+00
3.799000000000000271e-11 1.496254299999999926e+00 -2.735592255000003636e-02 1.392457238430000022e+00
4.155000000000000127e-11 -1.454822699999999802e+00 4.114511809999999575e-02 -1.407840729399999935e+00
4.556999999999999747e-11 1.455801100000000403e+00 1.330663699999999672e+00 -3.674301809999991342e-02
4.607999999999999752e-11 6.945989999999988007e-02 -1.401651399999999992e+00 -1.386975733799999944e+00
5.732999999999999745e-11 -1.395896942505000293e+00 -1.556469781000024977e-02 1.489128611629999988e+00
5.955000000000000374e-11 1.496870266010000172e+00 -2.627966070999997877e-02 1.393242788370000262e+00
6.094999999999999374e-11 -1.455129700000000081e+00 4.031445337999991357e-02 -1.408911140929999917e+00
6.248000000000000034e-11 6.104070000000003104e-02 -1.516027370079999770e+00 -1.406350659069999898e+00
6.256999999999999693e-11 -1.477085099239999977e+00 -1.501465864369999625e+00 -1.635017004399999807e-01
6.532000000000000036e-11 -1.232282996410001275e-01 1.620923300000000067e+00 1.507381399999999871e+00
6.727999999999999928e-11 -1.517618281260000312e+00 2.041689999999984906e-02 -1.410382499999999872e+00
8.680000000000000011e-11 7.460578240000043104e-03 1.396293499999999854e+00 -1.554789904420000202e+00
8.727999999999999484e-11 -1.469875149019999938e+00 -1.742635986999996334e-02 1.380449504420000029e+00
9.389999999999999369e-11 1.459175995240000079e+00 2.686891386999989972e-02 -1.468531399999999820e+00
9.416999999999999638e-11 6.157004710000066328e-03 -1.445348699999999820e+00 1.425466300000000075e+00
1.081999999999999986e-10 -1.245810822000018026e-02 1.422710499999999989e+00 1.473614099999999816e+00
1.094999999999999967e-10 1.345525929260000142e+00 1.575011167999999517e-01 -1.513722579610000007e+00
1.107999999999999948e-10 4.451190000000011804e-02 -1.724999472899999775e+00 -1.416647078199999799e+00
1.155999999999999937e-10 2.423656283000012734e-02 -1.500140200000000146e+00 -1.517365721750000063e+00
1.167999999999999999e-10 -1.465231162829999878e+00 1.477340700000000062e+00 -4.609063557000003808e-02
1.177999999999999965e-10 1.512203462829999845e+00 -1.470576799999999462e+00 1.737916506900000213e-01
1.190000000000000027e-10 -6.787314863000012966e-02 1.440266999999999964e+00 1.587439199999999939e+00
1.197999999999999896e-10 7.928785760000167659e-03 1.380647813111000044e+00 1.465014784000000070e+00
1.198999999999999944e-10 -1.396831729099999642e+00 -1.694823513111000324e+00 1.126259780199997118e-01
1.254000000000000012e-10 -3.718206701000026371e-02 1.416960991589999885e+00 -1.658642791349999701e+00
1.256999999999999899e-10 8.816146701000002195e-02 1.259499399999999936e+00 1.375650991350000352e+00
1.277999999999999878e-10 1.314587600000000078e+00 1.447455228039999930e+00 -2.801090000000028279e-02
1.282000000000000071e-10 -1.357398100000000163e+00 -1.380194699999999663e+00 -4.879130000000020395e-02
1.284999999999999957e-10 1.611693759620000055e+00 -1.652175700000000358e+00 -9.354239999999991451e-02
1.289999999999999940e-10 1.292915499999999884e+00 1.365509199999999757e+00 4.777650000000033259e-02
1.353999999999999926e-10 1.461418106480000034e+00 2.539735043999991060e-02 1.392154686343999970e+00
1.399000000000000029e-10 1.595256706459999840e+00 3.054502129999997484e-02 1.530057294959999759e+00
1.454000000000000097e-10 1.437255187059999884e+00 -6.068822659000000508e-02 -1.617218374730000185e+00
1.492000000000000121e-10 -1.398924599999999963e+00 -1.521301989899999985e+00 -4.077179999999985816e-02
1.501000000000000038e-10 -1.664466312050000285e+00 -5.560583785999995143e-02 -1.453922100000000217e+00
1.681999999999999982e-10 1.572937299999999983e+00 -1.420155595830000284e+00 2.263379999999988457e-02
1.739999999999999937e-10 1.593399900000000313e+00 -1.285760499999999862e+00 -8.629469999999977992e-02
1.765999999999999899e-10 1.578250699999999895e+00 4.624073625999999826e-02 -1.379342500000000138e+00
1.780000000000000057e-10 5.224037154999998656e-01 7.958034000000001607e-01 -1.966509537399998009e-01
1.780000000000000057e-10 1.002381200000000305e+00 5.657144976999999297e-01 6.984815373999991861e-02
1.783999999999999992e-10 1.385411599999999854e+00 -1.435699999999942578e-03 -1.395169699999999846e+00
1.785000000000000040e-10 8.718571141800000035e-01 -6.612470000000002235e-02 4.925661219299999893e-01
1.785000000000000040e-10 5.380065858200001605e-01 1.800962999999999870e-01 9.250711000000000350e-01
1.791000000000000071e-10 -3.654023858200001751e-01 -1.320396000000000070e-01 -7.585268999999998929e-01
1.791000000000000071e-10 5.380377858200003915e-01 1.800886999999999627e-01 9.250760999999998457e-01
1.796000000000000054e-10 1.221738899999999850e+00 1.434903299999999771e+00 1.277022110700000712e-01
1.815999999999999984e-10 1.460643918220000170e+00 7.024301268999998127e-02 1.518126900000000168e+00
1.926000000000000122e-10 1.507956995399998557e-01 -1.518979999999999997e+00 -1.191228261225000029e+00
1.931000000000000104e-10 -1.544194181900000018e+00 8.151899999999982771e-02 1.608224400000000109e+00
1.932999999999999942e-10 -1.668867600000000451e+00 -5.288309999999996069e-02 -1.525287700000000024e+00
1.942000000000000118e-10 -2.319965002999997139e-01 -9.033478135999986613e-02 -6.573591999999999214e-01
1.942000000000000118e-10 -1.116048799700000149e+00 1.080454999999999194e-01 -7.088567387799999953e-01
1.942000000000000118e-10 -4.878109881999991709e-02 -1.662577100000000030e+00 1.139184786279999972e+00
1.969999999999999918e-10 -1.325558420799999748e+00 6.077330000000011334e-02 -1.248662058189999868e+00
1.976999999999999997e-10 -1.637195600000000084e+00 -1.490782699999999572e+00 7.670865430000062268e-03
1.999000000000000025e-10 8.495666601999990464e-02 -1.492974699999999988e+00 -1.500845599999999891e+00
2.012999999999999925e-10 4.001512062999994235e-02 -1.560633125810000132e+00 1.217697499999999877e+00
2.024999999999999987e-10 1.181566579369999648e+00 6.966362581000007381e-02 1.121171499999999988e+00
2.058000000000000028e-10 -1.113301492931699777e+00 1.419606399999999935e+00 -1.717886000000000690e-01
2.060000000000000124e-10 1.424677200000000088e+00 1.659109000000000000e-01 1.454517900000000363e+00
2.071999999999999928e-10 1.008133762419999746e+00 -1.414731900000000042e+00 -1.443728148000001377e-01
2.072999999999999976e-10 -2.959636241999996642e-02 -1.474470900000000251e+00 -1.309250197961000062e+00
2.080000000000000055e-10 -8.073047532000030002e-02 1.419296599999999797e+00 9.647028695709999324e-01
2.083999999999999990e-10 1.135703084190000212e+00 1.155569403000156203e-03 1.630559884599999787e+00
2.087999999999999924e-10 -1.309932716220000071e+00 1.001477533200000325e-01 1.142831363110000220e+00
2.095000000000000003e-10 -1.300761900000000137e+00 -1.367087099999999777e+00 -4.476358713000017087e-02
2.102000000000000083e-10 1.128067107110000133e+00 -9.751598000000000210e-01 1.206107042999993162e-02
2.129999999999999882e-10 1.315302300000000368e+00 1.271627899999999922e+00 8.389360000000012363e-02
2.135999999999999913e-10 -1.077770299999999848e+00 -1.209568241999976410e-02 -1.130117713400000001e+00
2.139000000000000058e-10 -1.193968030129999747e+00 -4.068961793999997800e-02 -1.408891300000000291e+00
2.141999999999999944e-10 -1.576319955000005102e-02 1.609904099999999838e+00 1.604561000000000348e+00
2.179999999999999968e-10 -1.518926500000000068e+00 -1.573459999999999859e+00 4.280638048999999001e-02
2.199999999999999899e-10 7.666958014000004040e-02 -1.563384899999999966e+00 -1.609601500000000129e+00
2.226000000000000120e-10 1.603544398909999780e+00 -1.549027099999999546e+00 1.385819480000077819e-03
2.363000000000000008e-10 -1.564259322807999730e+00 1.449888099999999902e+00 -3.280389999999992756e-02
2.387999999999999922e-10 -3.681220108999981588e-02 1.258040799999999848e+00 -1.387894800000000206e+00
2.399999999999999984e-10 -1.488474400000000086e+00 1.404209000000002650e-01 -1.531583499999999987e+00
2.417999999999999818e-10 -1.437938548330000010e+00 -5.052969999999998296e-02 1.321792300000000253e+00
2.419000000000000125e-10 1.492508369729999895e+00 1.176216812400000089e+00 -6.359264295999988992e-02
2.463999999999999970e-10 -6.211510000000011744e-02 -1.252642999999999951e+00 -1.232830918579999935e+00
2.476000000000000032e-10 1.572166400000000186e+00 -1.631388491280000519e+00 1.988141857999994877e-02
2.493999999999999866e-10 -5.642599999999987209e-02 -1.415154608719999985e+00 -1.526357213819999892e+00
2.502000000000000252e-10 1.615833400000000086e+00 8.133839507000006908e-02 -1.562414200000000530e+00
2.505000000000000138e-10 -1.313633855149999752e+00 -5.259629507000010418e-02 -1.326206099999999832e+00
2.513000000000000007e-10 -1.322937199999999702e+00 1.362590722799999821e+00 -1.416190704999986325e-02
2.515000000000000104e-10 1.533170799999999945e+00 1.607538395629999783e+00 -1.042423292260000467e-01
2.535000000000000035e-10 1.525397599999999798e+00 -3.826592101999980178e-02 1.564306611815999837e+00
2.722999999999999799e-10 5.915749999999976583e-02 1.507408000479999899e+00 1.358588999999999825e+00
2.741000000000000151e-10 -1.529919900000000110e+00 -6.399300479999953106e-03 -1.411978000000000399e+00
2.741000000000000151e-10 -5.724517000000000078e-01 7.296557323199996947e-01 4.060973963600001402e-01
2.741999999999999940e-10 7.026496000000002073e-01 -8.507578323199997961e-01 -3.232708410400001453e-01
2.746999999999999923e-10 -5.724354000000002607e-01 7.296309323199998698e-01 4.060898963600002021e-01
2.746999999999999923e-10 7.025900999999999952e-01 -8.507728323199998943e-01 -3.232191896000000675e-01
