# atom_type event_id atom_id barrier
1.000000000000000000e+00 1.373420000000000000e+05 1.269000000000000000e+03 8.644219400000000553e-01
1.000000000000000000e+00 9.296240000000000000e+05 8.910000000000000000e+02 9.316133800000000464e-01
3.000000000000000000e+00 1.144175000000000000e+06 5.100000000000000000e+02 4.182413400000000170e-01
1.000000000000000000e+00 4.703800000000000000e+04 1.400000000000000000e+01 7.763787500000000064e-01
2.000000000000000000e+00 1.078721000000000000e+06 1.360000000000000000e+03 6.126204600000000333e-01
3.000000000000000000e+00 6.530780000000000000e+05 1.366000000000000000e+03 6.433329399999999643e-01
2.000000000000000000e+00 1.085447000000000000e+06 1.107000000000000000e+03 4.585491800000000007e-01
2.000000000000000000e+00 1.035342000000000000e+06 4.840000000000000000e+02 9.871844100000000122e-01
2.000000000000000000e+00 8.898030000000000000e+05 7.920000000000000000e+02 9.720784300000000488e-01
3.000000000000000000e+00 4.594170000000000000e+05 1.080000000000000000e+02 3.468728400000000156e-01
1.000000000000000000e+00 1.044494000000000000e+06 1.244000000000000000e+03 5.491835900000000548e-01
3.000000000000000000e+00 2.381380000000000000e+05 9.050000000000000000e+02 9.709393699999999683e-01
3.000000000000000000e+00 3.844390000000000000e+05 2.580000000000000000e+02 6.748151599999999695e-01
2.000000000000000000e+00 6.283780000000000000e+05 6.940000000000000000e+02 5.951246599999999720e-01
1.000000000000000000e+00 4.260330000000000000e+05 1.014000000000000000e+03 8.644347900000000084e-01
1.000000000000000000e+00 9.148200000000000000e+04 1.093000000000000000e+03 8.086591499999999932e-01
1.000000000000000000e+00 9.709320000000000000e+05 4.800000000000000000e+02 5.994705299999999459e-01
2.000000000000000000e+00 2.282830000000000000e+05 1.365000000000000000e+03 7.149713300000000160e-01
1.000000000000000000e+00 2.859090000000000000e+05 5.900000000000000000e+01 3.800482029999999956e+00
2.000000000000000000e+00 1.245963000000000000e+06 7.670000000000000000e+02 5.824767400000000483e-01
3.000000000000000000e+00 6.609690000000000000e+05 1.116000000000000000e+03 4.320835399999999882e-01
1.000000000000000000e+00 1.202181000000000000e+06 7.010000000000000000e+02 5.393031299999999639e-01
1.000000000000000000e+00 1.204895000000000000e+06 5.330000000000000000e+02 8.622972500000000151e-01
3.000000000000000000e+00 6.613060000000000000e+05 4.650000000000000000e+02 3.223655999999999744e-01
1.000000000000000000e+00 3.944860000000000000e+05 1.123000000000000000e+03 7.517449099999999884e-01
2.000000000000000000e+00 6.126030000000000000e+05 5.480000000000000000e+02 3.890623200000000170e-01
3.000000000000000000e+00 8.053270000000000000e+05 5.510000000000000000e+02 1.335995899999999903e+00
3.000000000000000000e+00 8.323300000000000000e+05 8.690000000000000000e+02 4.505834300000000070e-01
2.000000000000000000e+00 4.211430000000000000e+05 1.060000000000000000e+02 1.406526900000000024e+00
1.000000000000000000e+00 7.747120000000000000e+05 7.570000000000000000e+02 6.133434399999999620e-01
2.000000000000000000e+00 3.648290000000000000e+05 4.590000000000000000e+02 7.516834999999999489e-01
2.000000000000000000e+00 8.199000000000000000e+04 1.285000000000000000e+03 1.002161019999999958e+00
2.000000000000000000e+00 2.181730000000000000e+05 1.270000000000000000e+02 5.465283699999999856e-01
2.000000000000000000e+00 1.026957000000000000e+06 6.320000000000000000e+02 4.349500000000000033e-01
1.000000000000000000e+00 8.145700000000000000e+05 9.900000000000000000e+02 7.775393400000000232e-01
2.000000000000000000e+00 6.708790000000000000e+05 8.630000000000000000e+02 4.467977300000000040e-01
2.000000000000000000e+00 6.387110000000000000e+05 1.149000000000000000e+03 6.762775800000000448e-01
2.000000000000000000e+00 1.107355000000000000e+06 2.370000000000000000e+02 5.508277599999999996e-01
1.000000000000000000e+00 7.187100000000000000e+05 2.060000000000000000e+02 1.562177750000000032e+00
3.000000000000000000e+00 4.464270000000000000e+05 1.178000000000000000e+03 5.566323800000000377e-01
