# bin_edges hist err
5.907837911587943396e-08 5.096108986832541632e+01 5.096108986832541632e+01
1.068000432514575467e-07 5.638010052693948637e+01 3.986675140657814609e+01
1.930697728883249708e-07 4.678151130069606012e+01 2.700931814255439178e+01
3.490254878959579243e-07 1.466422303263009610e+02 3.556596498891130409e+01
6.309573444801929638e-07 4.533053910935418571e+02 4.650815181454684222e+01
1.140624923851320228e-06 5.806936841178389841e+02 3.915036019655203603e+01
2.061986009502219260e-06 2.263149598961399533e+02 1.817805502083734837e+01
3.727593720314938057e-06 5.774903735508622731e+02 2.159691546040952659e+01
6.738627168030940877e-06 4.329319397622083443e+02 1.390777764845829090e+01
1.218187912010114744e-05 4.181704611954294819e+02 1.016607179449032650e+01
2.202201949987373474e-05 4.212130657604096200e+02 7.588500814900695168e+00
3.981071705534969458e-05 4.482313268235377564e+02 5.822168126937580013e+00
7.196856730011514085e-05 4.272039187095612647e+02 4.227463092572241621e+00
1.301025216910830151e-04 4.153109935590058512e+02 3.100112797561850542e+00
2.351952635070956471e-04 4.112016087437533542e+02 2.294281780184458608e+00
4.251786303382885782e-04 3.896897998578145348e+02 1.661144621065981486e+00
7.686246100397730154e-04 3.522905937634455427e+02 1.174700139514029518e+00
1.389495494373136101e-03 2.096900405032294827e+02 6.740528817596662670e-01
2.511886431509576835e-03 6.468380442205523195e+01 2.784398666235516906e-01
4.540909610972469757e-03 1.548077529385844642e+01 1.013114577188267834e-01
8.208914159638244779e-03 3.719676497963237072e+00 3.693544770715455339e-02
1.483981788967563172e-02 9.772717699987608642e-01 1.408079029281350883e-02
2.682695795279721809e-02 2.760774642445102955e-01 5.566258915875962020e-03
4.849693428528190769e-02 5.829329245716750874e-02 1.902329703787855814e-03
8.767123872968668463e-02 1.057695976873427104e-02 6.026782162176781395e-04
1.584893192461110933e-01 1.918618609593111639e-03 1.909096870374125954e-04
2.865120269663776198e-01 1.050810543374725325e-05 1.050810543374725325e-05
5.179474679231201861e-01 1.569442209761855449e-04 3.020392940945227752e-05
9.363292088239397737e-01 3.183273119578379018e-04 3.199309861474430373e-05
1.692666615037872635e+00 1.351790663380163530e-04 1.550610235393668718e-05
