# bin_edges hist err
5.907837911587943396e-08 2.409805186662138397e+02 3.553063906736826993e+01
1.068000432514575467e-07 1.564858256984540787e+02 2.129502360773997438e+01
1.930697728883249708e-07 1.141348789246923388e+03 4.277385428688139513e+01
3.490254878959579243e-07 1.429422352737280107e+03 3.560229958928599103e+01
6.309573444801929638e-07 3.429683895447730720e+03 4.101600754704421092e+01
1.140624923851320228e-06 8.168072727290345938e+03 4.707764250774931014e+01
2.061986009502219260e-06 1.696826847022127822e+03 1.595887391643524289e+01
3.727593720314938057e-06 9.704219030634929368e+03 2.838522536685125175e+01
6.738627168030940877e-06 9.059834717924826691e+03 2.039861871608620802e+01
1.218187912010114744e-05 5.968965246587818910e+03 1.231455490927858598e+01
2.202201949987373474e-05 4.725974832396766942e+03 8.149734640039778100e+00
3.981071705534969458e-05 3.880270461625281769e+03 5.492339013520776803e+00
7.196856730011514085e-05 6.648222440454738717e+03 5.346969165537789337e+00
1.301025216910830151e-04 1.561495818720647776e+03 1.927320287554674882e+00
2.351952635070956471e-04 2.963086122678210472e+02 6.244306164641185708e-01
4.251786303382885782e-04 6.465640787180980453e+01 2.169433835648982289e-01
7.686246100397730154e-04 1.227790588205660960e+01 7.031230646012753827e-02
1.389495494373136101e-03 2.529419809816658482e+00 2.373603772732589198e-02
2.511886431509576835e-03 6.260396924836831856e-01 8.782684299699063113e-03
4.540909610972469757e-03 6.059148247061680453e-02 2.032173098077001347e-03
8.208914159638244779e-03 1.210241364974434276e-02 6.754908591367578827e-04
1.692666615037872635e+00 3.656884482647687552e-05 2.585807815696039537e-06
