# time dx dy dz
1.542000000000000013e-11 -1.286127499999999646e+00 -1.285754999999999981e+00 -1.064345140000255707e-04
4.874999999999999968e-11 1.281210562016000143e+00 -1.289282299999999992e+00 -1.202785920000632586e-04
1.333999999999999995e-10 -1.284785962016000038e+00 -3.486400000000119438e-03 1.288866493764000420e+00
2.122000000000000013e-10 1.285224655714999997e+00 1.285211299999999834e+00 3.779199999999835122e-03
2.273000000000000061e-10 1.289378544285000094e+00 3.971200000000127753e-03 1.291852800000000245e+00
2.963000000000000004e-10 2.011899999999927635e-03 1.288494654229999981e+00 1.287551899999999749e+00
3.004000000000000173e-10 1.287641400000000047e+00 -1.280834454229999864e+00 4.389800000000022677e-03
3.017999999999999814e-10 1.289385200000000342e+00 -1.288303500000000046e+00 3.224999999999964007e-04
3.046999999999999921e-10 3.643699999999916450e-03 -1.287963900000000050e+00 1.289015599999999928e+00
3.053000000000000211e-10 1.288958099999999884e+00 1.280069199999999796e+00 5.235900000000006868e-03
3.066999999999999852e-10 6.403999999999993031e-03 -1.281214000000000297e+00 1.289989499999999678e+00
3.098999999999999845e-10 2.062197199999999508e+00 1.370374800000000004e+00 -7.940300534999988891e-02
3.100000000000000152e-10 2.064203999999999706e+00 1.374227500000000379e+00 -8.301649999999993756e-02
3.533999999999999894e-10 -2.064203999999999706e+00 -1.374227500000000379e+00 8.301649999999993756e-02
3.602999999999999862e-10 8.823949235999983820e-02 -2.057989099999999461e+00 1.373226356430000017e+00
3.761000000000000247e-10 1.281732000000000316e+00 -1.288881400000000177e+00 2.761799999999687769e-03
3.794999999999999820e-10 8.842610000000006298e-02 1.368733399999999989e+00 -2.063564200000000071e+00
3.966000000000000056e-10 1.373243500000000061e+00 2.062246400000000701e+00 -8.490870000000005913e-02
4.217000000000000017e-10 4.340999999999494569e-04 1.286857474150000069e+00 1.285948799999999892e+00
4.551000000000000104e-10 2.679999999999696514e-04 1.289315388430000153e+00 -1.281319499999999945e+00
4.615000000000000090e-10 1.380000000000460719e-04 1.289253537420000040e+00 1.281793500000000030e+00
4.798000000000000389e-10 -1.377981094238000193e+00 8.889422030999993840e-02 -2.056286599999999964e+00
4.801999999999999548e-10 1.283718100000000195e+00 -7.537000000002822692e-04 1.287018600000000124e+00
4.859000000000000488e-10 -2.056654000000000426e+00 8.381496878000005424e-02 1.377920199999999928e+00
4.937999999999999905e-10 1.374799799999999905e+00 -2.062251638185000235e+00 8.581520000000020243e-02
5.074999999999999535e-10 -1.374799799999999905e+00 2.062251638185000235e+00 -8.581520000000020243e-02
5.085999999999999808e-10 1.374749300000000174e+00 -2.062248804035999861e+00 -8.320220000000011495e-02
5.947999999999999519e-10 1.591599999999852855e-03 -1.288013373194000444e+00 1.286016200000000165e+00
5.984999999999999495e-10 1.288924300000000134e+00 -4.911599999999995136e-03 -1.280033099999999813e+00
5.987000000000000108e-10 1.378627899999999906e+00 -2.063091199999999681e+00 8.288199999999967815e-02
6.028999999999999550e-10 1.024399999999909758e-03 1.285411915820000139e+00 -1.287986800000000098e+00
6.085000000000000184e-10 7.039999999995834312e-05 1.289414332080000225e+00 1.281424700000000083e+00
6.309999999999999924e-10 -2.064067699999999839e+00 1.377270823290000168e+00 -8.096130000000012483e-02
6.348000000000000206e-10 1.288535800000000231e+00 -1.285043509520999994e+00 1.624999999999904299e-03
6.365000000000000251e-10 1.287735899999999933e+00 1.284170909520999881e+00 -6.669999999982939576e-05
6.446000000000000281e-10 1.287923900000000010e+00 3.518100000000077762e-03 -1.289502099999999984e+00
6.553000000000000015e-10 1.287713860789999831e+00 -1.288770166060000166e+00 -4.244800000000003432e-03
6.581000000000000332e-10 -1.279909293900000078e+00 -5.008626859999776651e-03 -1.289138700000000082e+00
6.581000000000000332e-10 2.056427100000000063e+00 1.377887196530000136e+00 -8.977423661999983651e-02
6.871999999999999637e-10 1.287263700000000011e+00 6.646999999997979611e-04 1.286046099999999859e+00
6.898999999999999647e-10 -2.055578099999999964e+00 -1.378868790050000293e+00 -8.042255554999977463e-02
7.049000000000000163e-10 1.286913699999999938e+00 -7.790706240000279522e-04 -1.283580900000000469e+00
7.562999999999999629e-10 4.705000000000143096e-03 -1.289251260083999817e+00 1.280149500000000273e+00
7.660000000000000432e-10 1.289091699999999729e+00 -1.289278099999999982e+00 3.067900000000034835e-03
7.950999999999999737e-10 -2.055352299999999577e+00 -8.917220000000003477e-02 1.377782000000000062e+00
8.098999999999999639e-10 -1.287512600000000340e+00 6.732999999997072056e-04 1.286895799999999923e+00
8.230999999999999804e-10 -2.064552200000000504e+00 8.492680000000030205e-02 1.376260900000000120e+00
8.320000000000000220e-10 1.286636546970000072e+00 -1.289638500000000132e+00 1.430499999999969990e-03
8.459000000000000464e-10 8.960530271000011204e-02 1.372247700000000181e+00 -2.062536600000000053e+00
8.593000000000000208e-10 1.284529999999999283e+00 1.286760396190000044e+00 -6.085999999998186610e-04
8.768000000000000121e-10 8.858179999999993282e-02 -2.055826296189999791e+00 1.377721699999999938e+00
8.853000000000000344e-10 8.357600000000020568e-02 1.376140399999999930e+00 2.062835199999999869e+00
8.881999999999999934e-10 8.284342868999994280e-02 2.062319822061999375e+00 1.377551499999999596e+00
9.163000000000000308e-10 -8.284322868999982603e-02 -2.062319822061999375e+00 -1.377551699999999713e+00
9.250000000000000111e-10 8.284322868999982603e-02 2.062319822061999375e+00 1.377551699999999713e+00
9.394999999999999093e-10 -8.064999999999010460e-04 1.288103574068000023e+00 1.285825900000000077e+00
1.008999999999999928e-09 1.287299100000000251e+00 -1.280808804963999847e+00 4.376899999999812191e-03
1.012999999999999914e-09 -1.373228199999999788e+00 -2.061560695035999924e+00 -8.464630000000017418e-02
1.033999999999999945e-09 1.373229099999999647e+00 2.061561014246000134e+00 8.464659999999990525e-02
1.035000000000000045e-09 4.916799999999759557e-03 1.280804585753999802e+00 1.288985700000000012e+00
1.035999999999999938e-09 -1.287399399999999972e+00 1.287853600000000043e+00 5.543200000000067518e-03
1.060999999999999955e-09 2.054428399999999932e+00 8.836460000000012638e-02 1.375546099999999772e+00
1.081999999999999986e-09 -2.062765800000000205e+00 -8.525499999999996970e-02 1.375572019489999853e+00
1.089000000000000065e-09 1.375701900000000144e+00 -8.360520000000004615e-02 2.062062300000000459e+00
1.103000000000000017e-09 -1.372853400000000113e+00 -8.323110000000011333e-02 -2.062573699999999732e+00
1.126000000000000041e-09 -5.619999999997536688e-04 -1.283665800000000079e+00 -1.287823299999999893e+00
1.134000000000000013e-09 -2.064403699999999731e+00 -1.377515490362000161e+00 -8.739590000000019288e-02
1.147999999999999965e-09 2.064403599999999894e+00 1.377517190362000044e+00 8.739679999999983018e-02
1.168000000000000103e-09 1.288873399999999947e+00 -6.508600000000280827e-03 -1.289312799999999815e+00
1.194999999999999906e-09 1.289606700000000217e+00 2.532500000000187379e-03 1.282269999999999799e+00
1.211999999999999951e-09 8.702830000000005839e-02 -1.381643637329999841e+00 2.066165799999999830e+00
1.227000000000000002e-09 1.373895000000000088e+00 -2.058865162670000526e+00 8.254480000000008477e-02
1.232000000000000088e-09 -2.057933699999999977e+00 8.278080000000032079e-02 1.374154800000000343e+00
1.259000000000000098e-09 -8.553949999999954645e-02 -2.060649999999999871e+00 1.373092599999999441e+00
1.271000000000000057e-09 -1.284009900000000259e+00 1.287136334689999995e+00 1.401900000000125962e-03
1.273999999999999943e-09 8.068750000000013411e-02 1.377514331860000052e+00 -2.064092899999999897e+00
1.288999999999999995e-09 -1.286182700000000123e+00 1.430505641000056520e-03 1.287453200000000297e+00
1.339999999999999922e-09 -1.146999999996900499e-04 1.288809735156999814e+00 1.289722699999999778e+00
1.347000000000000001e-09 8.108851787000026512e-02 -2.055374765263899839e+00 -1.369370600000000326e+00
1.383999999999999977e-09 -8.393981787000037720e-02 2.057744365263900033e+00 1.370943200000000139e+00
1.416999999999999966e-09 1.286271199999999837e+00 -1.282647568300000041e+00 2.394400000000102002e-03
1.420000000000000059e-09 -1.367351099999999819e+00 7.971888112000025117e-02 -2.064471999999999863e+00
1.434000000000000011e-09 1.282697200000000315e+00 -1.007994955999867714e-03 1.287523100000000253e+00
1.443000000000000083e-09 -1.279539500000000274e+00 1.675081542200573424e-03 1.291577399999999987e+00
1.453000000000000049e-09 -5.240099999999657532e-03 1.287572105346799445e+00 -1.283045800000000014e+00
1.461999999999999914e-09 5.609999999999643050e-05 1.289299700000000382e+00 1.283064000000000204e+00
1.478999999999999959e-09 -2.064011399999999608e+00 -8.020700000000047236e-02 1.376488776980000051e+00
1.523000000000000014e-09 -1.288581629810000351e+00 9.473000000002887097e-04 1.286114607156000123e+00
1.532000000000000086e-09 7.940273415000009827e-02 1.377713400000000199e+00 -2.055559256025999648e+00
1.536999999999999966e-09 1.283227942169999913e+00 -1.284040499999999696e+00 6.073719699998536559e-04
1.538000000000000066e-09 8.880227866000001136e-02 1.369853399999999999e+00 2.063302947026000034e+00
1.557000000000000103e-09 8.277517736999984166e-02 1.374645699999999859e+00 2.063757253403999847e+00
1.565999999999999969e-09 8.320987161000037435e-02 1.375106393770000102e+00 2.063552808139999861e+00
1.569999999999999955e-09 -2.061634000000000189e+00 1.374533390050000081e+00 8.532892838999972529e-02
1.600999999999999951e-09 -1.287763748480000192e+00 -1.283393700000000415e+00 -1.174999999999926104e-03
1.604999999999999938e-09 -1.289824499999999929e+00 -1.813899999999729618e-03 1.289684499999999900e+00
1.612999999999999910e-09 1.368619000000000030e+00 -2.063481899999999758e+00 9.104580000000006557e-02
1.629999999999999955e-09 1.375764924800000122e+00 8.341401322999975054e-02 -2.063935700000000040e+00
1.650000000000000092e-09 1.375982399999999828e+00 8.268274009999987406e-02 -2.063257131229999874e+00
1.650999999999999986e-09 3.548000000003128512e-04 -1.285788399999999720e+00 1.287029012820000151e+00
1.666999999999999930e-09 -1.290100275069999913e+00 1.280909700000000040e+00 5.661018410000086265e-03
1.712999999999999978e-09 1.370258168890000405e+00 8.526719999999943234e-02 2.063093799999999867e+00
1.714999999999999971e-09 1.012599999999938202e-03 1.285670800000001002e+00 1.287677200000000077e+00
1.732000000000000016e-09 -2.065433600000000425e+00 -7.915031981199960320e-02 -1.367147822919999811e+00
1.737999999999999995e-09 -1.286493025679999569e+00 1.285567299999999413e+00 -2.623800000000246248e-03
1.743999999999999975e-09 1.279784900000000114e+00 4.258400000000384100e-03 -1.289200200000000018e+00
1.753999999999999940e-09 3.639299999999786456e-03 1.288870399999999972e+00 1.280064599999999997e+00
1.757999999999999926e-09 8.515364813999992677e-02 1.377499500000000099e+00 -2.056740200000000574e+00
1.763999999999999906e-09 1.372722457040000288e+00 8.623419999999981655e-02 2.062497499999999651e+00
1.796000000000000002e-09 8.591269999999995299e-02 2.059619000000000089e+00 1.376801299999999895e+00
1.801999999999999981e-09 1.372331799999999546e+00 8.469670000000006915e-02 2.062294400000000305e+00
1.815999999999999933e-09 1.286390699999999887e+00 -1.014800000000050037e-03 -1.286565399999999970e+00
1.873000000000000046e-09 -1.281408900000000184e+00 -3.125000000002726291e-04 -1.289572500000000232e+00
1.887000000000000205e-09 -1.292280800000000118e+00 -3.728999999999538240e-04 -1.288814041040000191e+00
1.903000000000000149e-09 2.617199999999954979e-03 -1.290102099999999918e+00 -1.289266558960000308e+00
1.916999999999999894e-09 -1.290014205180000317e+00 1.282662300000000144e+00 -2.979299999999913094e-03
1.920999999999999880e-09 1.288562705180000156e+00 -1.283574100000000051e+00 1.768246139999764613e-03
