# atom_type event_id atom_id barrier
2.000000000000000000e+00 5.800140000000000000e+05 1.773000000000000000e+03 2.329253599999999980e-01
1.000000000000000000e+00 9.652840000000000000e+05 1.578000000000000000e+03 1.888915670000000047e+00
2.000000000000000000e+00 1.076329000000000000e+06 2.932000000000000000e+03 1.820543959999999961e+00
2.000000000000000000e+00 2.935000000000000000e+03 1.773000000000000000e+03 2.738256099999999971e-01
1.000000000000000000e+00 6.042160000000000000e+05 1.747000000000000000e+03 1.479172800000000121e-01
1.000000000000000000e+00 3.633700000000000000e+05 2.914000000000000000e+03 2.112453980000000175e+00
1.000000000000000000e+00 1.271432000000000000e+06 1.576000000000000000e+03 1.751281150000000064e+00
2.000000000000000000e+00 8.688500000000000000e+05 1.771000000000000000e+03 2.041803789999999896e+00
1.000000000000000000e+00 1.782050000000000000e+05 1.576000000000000000e+03 1.225019810000000042e+00
2.000000000000000000e+00 4.770770000000000000e+05 1.579000000000000000e+03 2.162014399999999947e-01
1.000000000000000000e+00 1.251472000000000000e+06 1.578000000000000000e+03 3.107785000000000061e-02
2.000000000000000000e+00 4.619100000000000000e+04 2.740000000000000000e+03 9.293058600000000391e-01
2.000000000000000000e+00 1.162291000000000000e+06 1.771000000000000000e+03 1.090693010000000074e+00
2.000000000000000000e+00 1.051029000000000000e+06 2.934000000000000000e+03 3.418202599999999869e-01
2.000000000000000000e+00 3.866710000000000000e+05 1.674000000000000000e+03 5.313273999999999775e-02
1.000000000000000000e+00 6.096490000000000000e+05 2.739000000000000000e+03 5.772464600000000168e-01
1.000000000000000000e+00 6.918800000000000000e+05 1.753000000000000000e+03 9.614517999999999676e-02
1.000000000000000000e+00 1.021185000000000000e+06 2.739000000000000000e+03 1.659085499999999880e-01
2.000000000000000000e+00 1.073980000000000000e+05 2.934000000000000000e+03 5.680264600000000108e-01
2.000000000000000000e+00 1.133658000000000000e+06 1.674000000000000000e+03 3.542168700000000170e-01
1.000000000000000000e+00 7.496810000000000000e+05 1.772000000000000000e+03 2.566197359999999872e+00
1.000000000000000000e+00 1.039667000000000000e+06 1.768000000000000000e+03 4.771310000000000134e-02
