# n msd err cf err var err
1.000000000000000000e+00 2.840401443765218303e+00 6.492452157261850709e-02 1.000000000000000000e+00 0.000000000000000000e+00 2.840401443765218303e+00 6.492452157261850709e-02
2.000000000000000000e+00 3.101473476339961621e+00 7.096617336088413552e-02 5.459568898522787483e-01 1.306041003095614233e-05 2.840401443765218303e+00 6.492452157261850709e-02
3.000000000000000000e+00 4.698149252212635574e+00 1.076131542786557121e-01 5.513480336292181372e-01 2.642025232114050441e-05 2.840401443765218303e+00 6.492452157261850709e-02
4.000000000000000000e+00 4.819350680363435835e+00 1.105053419026511274e-01 4.241786571174719911e-01 3.053762037247222707e-05 2.840401443765218303e+00 6.492452157261850709e-02
5.000000000000000000e+00 6.175522900357569789e+00 1.417508371691924007e-01 4.348345135447709842e-01 4.180559721322812711e-05 2.840401443765218303e+00 6.492452157261850709e-02
6.000000000000000000e+00 6.342121775316298837e+00 1.457285317632545651e-01 3.721376420950097130e-01 4.479305392113650002e-05 2.840401443765218303e+00 6.492452157261850709e-02
7.000000000000000000e+00 7.617638745038320280e+00 1.752223380487619164e-01 3.831268670922408082e-01 5.542668314023082682e-05 2.840401443765218303e+00 6.492452157261850709e-02
8.000000000000000000e+00 7.803542976283479149e+00 1.796887892063347703e-01 3.434172568024025374e-01 5.805431252569945565e-05 2.840401443765218303e+00 6.492452157261850709e-02
9.000000000000000000e+00 8.951787702940702474e+00 2.063478577673267533e-01 3.501769372381496326e-01 6.776142027245850785e-05 2.840401443765218303e+00 6.492452157261850709e-02
1.000000000000000000e+01 9.188343249510117161e+00 2.120261448187407693e-01 3.234874869423424726e-01 7.053374721153592847e-05 2.840401443765218303e+00 6.492452157261850709e-02
1.100000000000000000e+01 1.034803759143885316e+01 2.390414444467679478e-01 3.311963850024586820e-01 8.036665446967198841e-05 2.840401443765218303e+00 6.492452157261850709e-02
1.200000000000000000e+01 1.055900487857772418e+01 2.441755571051464901e-01 3.097861660175745824e-01 8.282085411029309449e-05 2.840401443765218303e+00 6.492452157261850709e-02
1.300000000000000000e+01 1.159073007186249171e+01 2.683211905663708818e-01 3.138973974504840614e-01 9.169592215124319193e-05 2.840401443765218303e+00 6.492452157261850709e-02
1.400000000000000000e+01 1.186136795130367716e+01 2.748811379450519787e-01 2.982819804608907166e-01 9.454724137961280491e-05 2.840401443765218303e+00 6.492452157261850709e-02
1.500000000000000000e+01 1.277400831078242405e+01 2.963495960165464793e-01 2.998169698587694332e-01 1.025088927632977385e-04 2.840401443765218303e+00 6.492452157261850709e-02
