# n msd err cf err var err
1.000000000000000000e+00 2.840401443765218303e+00 6.492452157261850709e-02 1.000000000000000000e+00 0.000000000000000000e+00 2.840401443765218303e+00 6.492452157261850709e-02
2.000000000000000000e+00 5.676732713392095064e+00 1.298918081793156709e-01 9.992835213227911906e-01 2.390491404767255967e-05 2.840401443765218303e+00 6.492452157261850709e-02
3.000000000000000000e+00 8.477918071791943788e+00 1.941904048688698481e-01 9.949201711611661558e-01 4.767595122892500769e-05 2.840401443765218303e+00 6.492452157261850709e-02
4.000000000000000000e+00 1.124488177902404296e+01 2.578396111968003779e-01 9.897264525501278110e-01 7.125273790519650176e-05 2.840401443765218303e+00 6.492452157261850709e-02
5.000000000000000000e+00 1.388945891168009794e+01 3.188138818890551840e-01 9.779926666470298846e-01 9.402558036628111068e-05 2.840401443765218303e+00 6.492452157261850709e-02
6.000000000000000000e+00 1.654011592682405052e+01 3.800568476296530829e-01 9.705268928992525357e-01 1.168193123404869644e-04 2.840401443765218303e+00 6.492452157261850709e-02
7.000000000000000000e+00 1.918547983413909463e+01 4.413079624332217343e-01 9.649279820866720758e-01 1.395954241532841990e-04 2.840401443765218303e+00 6.492452157261850709e-02
8.000000000000000000e+00 2.184655804944351587e+01 5.030511879233620087e-01 9.614203521036385203e-01 1.625270614216907969e-04 2.840401443765218303e+00 6.492452157261850709e-02
9.000000000000000000e+00 2.446500053267635266e+01 5.639432723070370024e-01 9.570243665684767809e-01 1.851901807854585780e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.000000000000000000e+01 2.708872093008832138e+01 6.250873428333861836e-01 9.536933939232083990e-01 2.079448865244080556e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.100000000000000000e+01 2.976839308438201215e+01 6.876549895447779948e-01 9.527588288852200105e-01 2.311922565017712305e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.200000000000000000e+01 3.240873664696137268e+01 7.494476436790595830e-01 9.508261798139983068e-01 2.542019139684725880e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.300000000000000000e+01 3.502191454170008456e+01 8.107445991305582966e-01 9.484551672081538154e-01 2.770633712883276384e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.400000000000000000e+01 3.763858294571849683e+01 8.722549164003624567e-01 9.465106477500746518e-01 3.000180250343129876e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.500000000000000000e+01 4.020119340296709254e+01 9.326444084349141406e-01 9.435566110137971751e-01 3.226066339743073716e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.600000000000000000e+01 4.267593406711350212e+01 9.911244060096774389e-01 9.390383479241263265e-01 3.445498524291536690e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.700000000000000000e+01 4.515928767583738335e+01 1.049932111933790768e+00 9.352300156884227889e-01 3.666211126797016412e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.800000000000000000e+01 4.758920095531931338e+01 1.107624528035582978e+00 9.307995893753229222e-01 3.883176387673320539e-04 2.840401443765218303e+00 6.492452157261850709e-02
1.900000000000000000e+01 4.999274146309186051e+01 1.164828907530850000e+00 9.263468461071473481e-01 4.098571403107859556e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.000000000000000000e+01 5.237476280350961844e+01 1.221657078199908764e+00 9.219605721309935831e-01 4.312787751400348952e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.100000000000000000e+01 5.482287452714074050e+01 1.280153763984266391e+00 9.191000372328974599e-01 4.533066461342558540e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.200000000000000000e+01 5.726401070471172972e+01 1.338616634025720398e+00 9.163879222778088529e-01 4.753423892540809166e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.300000000000000000e+01 5.952855526019570220e+01 1.393076467199305446e+00 9.112085407759188405e-01 4.959733746353490319e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.400000000000000000e+01 6.188424575699210095e+01 1.449792723916977666e+00 9.077978204575948284e-01 5.174236862040214845e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.500000000000000000e+01 6.425929686337173052e+01 1.507089449972109696e+00 9.049326038672901307e-01 5.391004291656909799e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.600000000000000000e+01 6.654316353596288991e+01 1.562373278367191087e+00 9.010530709695102614e-01 5.600758992914509245e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.700000000000000000e+01 6.885372309762664145e+01 1.618408464583218409e+00 8.978089692576144420e-01 5.813391113397213495e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.800000000000000000e+01 7.109547591486267493e+01 1.672950506536429849e+00 8.939314354279010999e-01 6.020844751273966454e-04 2.840401443765218303e+00 6.492452157261850709e-02
2.900000000000000000e+01 7.338826603805381410e+01 1.728817831461623156e+00 8.909409157413252789e-01 6.233257208573178337e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.000000000000000000e+01 7.563198105087599288e+01 1.783654083531810430e+00 8.875738464937866778e-01 6.442148442663692132e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.100000000000000000e+01 7.787153013928767109e+01 1.838516319053452808e+00 8.843766956662846290e-01 6.651328043866954094e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.200000000000000000e+01 8.010555363031970444e+01 1.893108317598710899e+00 8.813185743312162979e-01 6.831598180259442063e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.300000000000000000e+01 8.230248929748786679e+01 1.946931602865300759e+00 8.780501195248483493e-01 7.009373400346223136e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.400000000000000000e+01 8.445455143883023652e+01 1.999799717857106751e+00 8.745092707624434469e-01 7.183994184734206201e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.500000000000000000e+01 8.657550941372402065e+01 2.052036372830412958e+00 8.708578812614204967e-01 7.356633894980870022e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.600000000000000000e+01 8.867182930283109954e+01 2.103793273288844023e+00 8.671683979494136940e-01 7.527839702852329434e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.700000000000000000e+01 9.071957431514579184e+01 2.154500682037692183e+00 8.632161458295962708e-01 7.695577279164817885e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.800000000000000000e+01 9.283264390113387776e+01 2.206863317981532902e+00 8.600771269674315489e-01 7.869502017723391989e-04 2.840401443765218303e+00 6.492452157261850709e-02
3.900000000000000000e+01 9.489554756250676348e+01 2.258138038144190674e+00 8.566462228817712798e-01 8.039811289539582420e-04 2.840401443765218303e+00 6.492452157261850709e-02
4.000000000000000000e+01 9.681627740130880966e+01 2.306130167984093315e+00 8.521355107552136543e-01 8.198713790590772153e-04 2.840401443765218303e+00 6.492452157261850709e-02
4.100000000000000000e+01 9.865630440605599460e+01 2.352295746898275031e+00 8.471518461796244681e-01 8.351420501328130292e-04 2.840401443765218303e+00 6.492452157261850709e-02
