# atom_type event_id atom_id barrier
5.000000000000000000e+00 1.274138000000000000e+06 1.020000000000000000e+03 3.332312499999999789e-01
4.000000000000000000e+00 4.516310000000000000e+05 8.290000000000000000e+02 1.172852100000000009e-01
5.000000000000000000e+00 7.030800000000000000e+04 1.248000000000000000e+03 6.558684799999999759e-01
3.000000000000000000e+00 1.608450000000000000e+05 3.250000000000000000e+02 4.855419799999999841e-01
3.000000000000000000e+00 8.921770000000000000e+05 9.630000000000000000e+02 3.913820299999999919e-01
1.000000000000000000e+00 5.696580000000000000e+05 2.460000000000000000e+02 5.527723399999999732e-01
4.000000000000000000e+00 3.213710000000000000e+05 5.560000000000000000e+02 2.246617200000000092e-01
1.000000000000000000e+00 1.318280000000000000e+05 2.920000000000000000e+02 9.829016699999999496e-01
3.000000000000000000e+00 2.205210000000000000e+05 5.480000000000000000e+02 5.350438100000000086e-01
3.000000000000000000e+00 6.821920000000000000e+05 2.810000000000000000e+02 4.567142799999999725e-01
3.000000000000000000e+00 7.382900000000000000e+05 1.157000000000000000e+03 6.429145600000000238e-01
1.000000000000000000e+00 1.103378000000000000e+06 1.254000000000000000e+03 9.394726899999999992e-01
4.000000000000000000e+00 1.723230000000000000e+05 4.820000000000000000e+02 6.671747099999999486e-01
5.000000000000000000e+00 9.440210000000000000e+05 9.900000000000000000e+02 2.411159700000000128e-01
3.000000000000000000e+00 8.495900000000000000e+05 8.200000000000000000e+01 1.154555959999999937e+00
4.000000000000000000e+00 1.068130000000000000e+05 3.050000000000000000e+02 2.621231500000000270e-01
4.000000000000000000e+00 2.752730000000000000e+05 3.050000000000000000e+02 4.749959200000000159e-01
1.000000000000000000e+00 6.014500000000000000e+05 9.930000000000000000e+02 1.324090369999999961e+00
4.000000000000000000e+00 1.047387000000000000e+06 1.052000000000000000e+03 1.799885000000000027e-02
4.000000000000000000e+00 2.885980000000000000e+05 1.306000000000000000e+03 4.372781550000000017e+00
2.000000000000000000e+00 8.342360000000000000e+05 1.076000000000000000e+03 1.038764259999999995e+00
5.000000000000000000e+00 2.201560000000000000e+05 8.200000000000000000e+02 1.634332300000000127e-01
4.000000000000000000e+00 4.816080000000000000e+05 6.600000000000000000e+01 5.194963200000000114e-01
1.000000000000000000e+00 1.948670000000000000e+05 2.140000000000000000e+02 8.981102800000000386e-01
5.000000000000000000e+00 9.503830000000000000e+05 1.520000000000000000e+02 1.330029109999999903e+00
2.000000000000000000e+00 1.108163000000000000e+06 2.340000000000000000e+02 1.304021199999999991e+00
5.000000000000000000e+00 8.952300000000000000e+04 5.850000000000000000e+02 1.528968909999999903e+00
1.000000000000000000e+00 5.737510000000000000e+05 5.300000000000000000e+02 7.723402400000000112e-01
5.000000000000000000e+00 7.984800000000000000e+04 1.050000000000000000e+02 1.161297299999999977e+00
5.000000000000000000e+00 1.256300000000000000e+06 9.340000000000000000e+02 5.215259199999999762e-01
3.000000000000000000e+00 8.094160000000000000e+05 5.600000000000000000e+01 8.199441800000000224e-01
4.000000000000000000e+00 1.206661000000000000e+06 5.100000000000000000e+01 6.480941399999999852e-01
4.000000000000000000e+00 1.782620000000000000e+05 8.770000000000000000e+02 5.382485200000000081e-01
3.000000000000000000e+00 7.803100000000000000e+05 5.830000000000000000e+02 4.513116699999999981e-01
1.000000000000000000e+00 6.478250000000000000e+05 4.590000000000000000e+02 1.069211340000000066e+00
4.000000000000000000e+00 5.751400000000000000e+04 2.050000000000000000e+02 3.555635100000000270e-01
4.000000000000000000e+00 1.172040000000000000e+06 4.930000000000000000e+02 5.129775300000000149e-01
2.000000000000000000e+00 3.608920000000000000e+05 4.500000000000000000e+01 6.473308700000000027e-01
3.000000000000000000e+00 3.674000000000000000e+03 3.530000000000000000e+02 6.842618599999999995e-01
2.000000000000000000e+00 3.145320000000000000e+05 1.290000000000000000e+02 8.057231900000000335e-01
2.000000000000000000e+00 1.255350000000000000e+05 7.590000000000000000e+02 1.333889089999999999e+00
2.000000000000000000e+00 1.993540000000000000e+05 1.329000000000000000e+03 9.066303199999999896e-01
3.000000000000000000e+00 1.212938000000000000e+06 9.750000000000000000e+02 4.137668899999999983e-01
1.000000000000000000e+00 1.163060000000000000e+06 1.271000000000000000e+03 1.704496549999999999e+00
3.000000000000000000e+00 1.164341000000000000e+06 8.940000000000000000e+02 9.581919300000000250e-01
2.000000000000000000e+00 8.003680000000000000e+05 6.220000000000000000e+02 9.744175800000000054e-01
1.000000000000000000e+00 9.770690000000000000e+05 7.880000000000000000e+02 1.175235650000000076e+00
4.000000000000000000e+00 2.897800000000000000e+05 1.305000000000000000e+03 3.061929800000000035e-01
1.000000000000000000e+00 1.039889000000000000e+06 9.700000000000000000e+01 1.217110499999999984e+00
2.000000000000000000e+00 9.001290000000000000e+05 4.990000000000000000e+02 9.383104799999999468e-01
5.000000000000000000e+00 6.111300000000000000e+04 5.000000000000000000e+00 1.125975860000000051e+00
4.000000000000000000e+00 1.058268000000000000e+06 5.760000000000000000e+02 4.572826999999999864e-01
4.000000000000000000e+00 6.455050000000000000e+05 1.003000000000000000e+03 3.620979200000000175e-01
3.000000000000000000e+00 2.350810000000000000e+05 6.810000000000000000e+02 2.165286800000000011e-01
3.000000000000000000e+00 1.125378000000000000e+06 7.570000000000000000e+02 6.541586799999999924e-01
2.000000000000000000e+00 2.439110000000000000e+05 6.300000000000000000e+01 8.781029399999999985e-01
1.000000000000000000e+00 8.058090000000000000e+05 5.620000000000000000e+02 5.753531800000000196e-01
1.000000000000000000e+00 2.230030000000000000e+05 1.086000000000000000e+03 2.923469899999999733e-01
3.000000000000000000e+00 2.157380000000000000e+05 1.370000000000000000e+02 1.933292240000000106e+00
5.000000000000000000e+00 7.572240000000000000e+05 3.240000000000000000e+02 1.098989819999999895e+00
4.000000000000000000e+00 9.952070000000000000e+05 6.400000000000000000e+02 6.794400999999999913e-01
3.000000000000000000e+00 9.265750000000000000e+05 1.319000000000000000e+03 7.985075000000000367e-01
1.000000000000000000e+00 6.545850000000000000e+05 6.200000000000000000e+01 5.944448700000000141e-01
1.000000000000000000e+00 5.260820000000000000e+05 8.920000000000000000e+02 1.176881010000000005e+00
1.000000000000000000e+00 4.571050000000000000e+05 4.950000000000000000e+02 5.053246999999999600e-01
4.000000000000000000e+00 8.846680000000000000e+05 1.022000000000000000e+03 3.402618600000000271e-01
2.000000000000000000e+00 8.611500000000000000e+04 1.098000000000000000e+03 5.962214999999999598e-01
5.000000000000000000e+00 1.205671000000000000e+06 1.331000000000000000e+03 1.106399480000000102e+00
5.000000000000000000e+00 4.252480000000000000e+05 3.680000000000000000e+02 1.482563470000000105e+00
3.000000000000000000e+00 8.353960000000000000e+05 7.060000000000000000e+02 6.767524499999999499e-01
2.000000000000000000e+00 2.446770000000000000e+05 4.350000000000000000e+02 1.339161199999999941e+00
4.000000000000000000e+00 4.497000000000000000e+04 8.470000000000000000e+02 2.891587800000000041e-01
3.000000000000000000e+00 5.618200000000000000e+05 1.198000000000000000e+03 8.435660000000000380e-02
2.000000000000000000e+00 2.462120000000000000e+05 8.310000000000000000e+02 8.883223599999999776e-01
4.000000000000000000e+00 9.774230000000000000e+05 1.140000000000000000e+03 5.090331399999999951e-01
1.000000000000000000e+00 6.986210000000000000e+05 1.127000000000000000e+03 6.890703599999999929e-01
4.000000000000000000e+00 7.872860000000000000e+05 1.270000000000000000e+03 5.504243899999999856e-01
2.000000000000000000e+00 3.754510000000000000e+05 2.310000000000000000e+02 4.249367900000000087e-01
5.000000000000000000e+00 1.004375000000000000e+06 5.110000000000000000e+02 8.587195100000000192e-01
3.000000000000000000e+00 1.171330000000000000e+06 1.730000000000000000e+02 1.213723729999999890e+00
2.000000000000000000e+00 1.194584000000000000e+06 8.000000000000000000e+01 1.005984650000000036e+00
4.000000000000000000e+00 4.267560000000000000e+05 2.250000000000000000e+02 8.645762999999999365e-02
5.000000000000000000e+00 6.780960000000000000e+05 1.950000000000000000e+02 1.276715320000000098e+00
1.000000000000000000e+00 9.451540000000000000e+05 1.145000000000000000e+03 6.192689099999999502e-01
4.000000000000000000e+00 7.820500000000000000e+04 1.349000000000000000e+03 3.994733999999999785e-01
2.000000000000000000e+00 6.648440000000000000e+05 1.076000000000000000e+03 7.107163699999999862e-01
1.000000000000000000e+00 1.077814000000000000e+06 9.570000000000000000e+02 6.935819399999999524e-01
5.000000000000000000e+00 1.271759000000000000e+06 9.430000000000000000e+02 5.547238799999999470e-01
4.000000000000000000e+00 4.777490000000000000e+05 1.281000000000000000e+03 1.911383669999999979e+00
4.000000000000000000e+00 3.529940000000000000e+05 1.600000000000000000e+02 3.510516499999999929e-01
2.000000000000000000e+00 1.255689000000000000e+06 3.560000000000000000e+02 9.795664600000000277e-01
4.000000000000000000e+00 2.855820000000000000e+05 4.820000000000000000e+02 6.899141899999999827e-01
3.000000000000000000e+00 1.090858000000000000e+06 4.520000000000000000e+02 6.145124800000000276e-01
3.000000000000000000e+00 1.069447000000000000e+06 3.390000000000000000e+02 3.355985899999999744e-01
4.000000000000000000e+00 1.236818000000000000e+06 8.290000000000000000e+02 1.288555640000000002e+00
5.000000000000000000e+00 6.983590000000000000e+05 7.820000000000000000e+02 1.991587049999999914e+00
1.000000000000000000e+00 4.972300000000000000e+04 6.270000000000000000e+02 1.080923810000000040e+00
4.000000000000000000e+00 1.329860000000000000e+05 4.170000000000000000e+02 7.607428299999999810e-01
2.000000000000000000e+00 6.236800000000000000e+04 8.310000000000000000e+02 1.044427860000000097e+00
5.000000000000000000e+00 7.878860000000000000e+05 2.060000000000000000e+02 1.255818289999999893e+00
5.000000000000000000e+00 7.006350000000000000e+05 1.100000000000000000e+01 8.727211599999999958e-01
1.000000000000000000e+00 7.292540000000000000e+05 9.080000000000000000e+02 5.343708499999999528e-01
5.000000000000000000e+00 9.494990000000000000e+05 5.750000000000000000e+02 3.367478899999999942e-01
4.000000000000000000e+00 7.983850000000000000e+05 9.640000000000000000e+02 6.203791499999999903e-01
5.000000000000000000e+00 6.698730000000000000e+05 5.000000000000000000e+00 1.072444249999999988e+00
1.000000000000000000e+00 1.129500000000000000e+05 2.530000000000000000e+02 3.076380999999999907e-02
2.000000000000000000e+00 5.973530000000000000e+05 5.100000000000000000e+02 6.975400699999999565e-01
2.000000000000000000e+00 9.511900000000000000e+04 1.150000000000000000e+02 1.407021249999999890e+00
1.000000000000000000e+00 9.269610000000000000e+05 1.219000000000000000e+03 7.367191699999999788e-01
5.000000000000000000e+00 8.136610000000000000e+05 8.200000000000000000e+02 1.642377039999999955e+00
2.000000000000000000e+00 4.379400000000000000e+05 6.030000000000000000e+02 7.514486200000000116e-01
4.000000000000000000e+00 5.988820000000000000e+05 1.249000000000000000e+03 4.348131399999999869e-01
4.000000000000000000e+00 7.002140000000000000e+05 2.050000000000000000e+02 2.951508999999999938e-01
3.000000000000000000e+00 7.482250000000000000e+05 1.199000000000000000e+03 6.461164400000000141e-01
1.000000000000000000e+00 6.772540000000000000e+05 3.860000000000000000e+02 1.202970660000000080e+00
3.000000000000000000e+00 5.516650000000000000e+05 1.101000000000000000e+03 8.924640700000000537e-01
1.000000000000000000e+00 6.150170000000000000e+05 9.570000000000000000e+02 1.000050679999999970e+00
4.000000000000000000e+00 9.751290000000000000e+05 4.710000000000000000e+02 3.467930499999999916e-01
4.000000000000000000e+00 1.116920000000000000e+05 8.970000000000000000e+02 5.082924800000000465e-01
4.000000000000000000e+00 1.059453000000000000e+06 4.170000000000000000e+02 9.434114300000000508e-01
4.000000000000000000e+00 7.969630000000000000e+05 9.890000000000000000e+02 7.121286500000000297e-01
3.000000000000000000e+00 7.040140000000000000e+05 1.072000000000000000e+03 4.608031899999999736e-01
4.000000000000000000e+00 2.060800000000000000e+04 3.620000000000000000e+02 4.582350199999999929e-01
2.000000000000000000e+00 8.818150000000000000e+05 5.100000000000000000e+02 2.780547869999999921e+00
2.000000000000000000e+00 4.460900000000000000e+05 7.580000000000000000e+02 1.224391600000000052e-01
5.000000000000000000e+00 7.663330000000000000e+05 5.120000000000000000e+02 1.306173899999999999e-01
4.000000000000000000e+00 3.116250000000000000e+05 7.870000000000000000e+02 3.469217399999999785e-01
1.000000000000000000e+00 1.020887000000000000e+06 1.251000000000000000e+03 7.337397799999999526e-01
1.000000000000000000e+00 1.733300000000000000e+05 1.183000000000000000e+03 9.021484999999999921e-02
2.000000000000000000e+00 6.171620000000000000e+05 1.118000000000000000e+03 7.386292300000000255e-01
5.000000000000000000e+00 1.220975000000000000e+06 6.070000000000000000e+02 2.503819399999999806e+00
4.000000000000000000e+00 9.750330000000000000e+05 6.410000000000000000e+02 9.982264400000000482e-01
2.000000000000000000e+00 3.997850000000000000e+05 1.290000000000000000e+02 3.944647800000000148e-01
4.000000000000000000e+00 3.862100000000000000e+05 4.170000000000000000e+02 7.738310200000000361e-01
2.000000000000000000e+00 4.847830000000000000e+05 1.275000000000000000e+03 5.957191299999999856e-01
3.000000000000000000e+00 2.995800000000000000e+04 1.101000000000000000e+03 4.219943299999999731e-01
4.000000000000000000e+00 6.400850000000000000e+05 2.550000000000000000e+02 6.952447099999999880e-01
4.000000000000000000e+00 1.229988000000000000e+06 5.550000000000000000e+02 6.975707899999999961e-01
1.000000000000000000e+00 1.148895000000000000e+06 6.280000000000000000e+02 2.291167699999999974e-01
5.000000000000000000e+00 9.856960000000000000e+05 1.100000000000000000e+01 5.352755099999999544e-01
5.000000000000000000e+00 2.196230000000000000e+05 1.164000000000000000e+03 4.133728400000000192e-01
1.000000000000000000e+00 1.061764000000000000e+06 1.040000000000000000e+03 1.003152959999999982e+00
4.000000000000000000e+00 9.534280000000000000e+05 3.970000000000000000e+02 1.189689599999999986e-01
5.000000000000000000e+00 8.676830000000000000e+05 5.950000000000000000e+02 1.150908049999999960e+00
1.000000000000000000e+00 8.977400000000000000e+04 1.251000000000000000e+03 7.692978099999999708e-01
3.000000000000000000e+00 1.198721000000000000e+06 9.600000000000000000e+02 4.721004899999999838e-01
4.000000000000000000e+00 3.346620000000000000e+05 7.290000000000000000e+02 7.082321200000000205e-01
4.000000000000000000e+00 5.326580000000000000e+05 1.353000000000000000e+03 7.770895599999999570e-01
4.000000000000000000e+00 4.446040000000000000e+05 7.140000000000000000e+02 4.213811100000000032e-01
4.000000000000000000e+00 1.096749000000000000e+06 3.700000000000000000e+02 6.020988999999999924e-01
4.000000000000000000e+00 1.213358000000000000e+06 1.081000000000000000e+03 1.281055159999999971e+00
1.000000000000000000e+00 6.287080000000000000e+05 1.590000000000000000e+02 3.766558799999999874e+00
4.000000000000000000e+00 9.106740000000000000e+05 3.330000000000000000e+02 1.277507729999999952e+00
5.000000000000000000e+00 5.584380000000000000e+05 1.159000000000000000e+03 8.447532399999999608e-01
1.000000000000000000e+00 6.243710000000000000e+05 8.420000000000000000e+02 6.357047200000000009e-01
2.000000000000000000e+00 9.482850000000000000e+05 5.690000000000000000e+02 8.838933599999999613e-01
1.000000000000000000e+00 5.214800000000000000e+05 9.570000000000000000e+02 6.536684900000000464e-01
3.000000000000000000e+00 1.639100000000000000e+04 8.520000000000000000e+02 6.915974099999999680e-01
2.000000000000000000e+00 7.643200000000000000e+05 8.310000000000000000e+02 8.847674899999999898e-01
5.000000000000000000e+00 8.066780000000000000e+05 1.000000000000000000e+03 1.504214160000000078e+00
4.000000000000000000e+00 2.026020000000000000e+05 1.311000000000000000e+03 4.035734799999999844e-01
2.000000000000000000e+00 8.240080000000000000e+05 9.000000000000000000e+00 1.025964579999999904e+00
5.000000000000000000e+00 3.770460000000000000e+05 1.950000000000000000e+02 1.341011430000000004e+00
5.000000000000000000e+00 2.939570000000000000e+05 4.160000000000000000e+02 4.494826299999999941e-01
5.000000000000000000e+00 1.240267000000000000e+06 1.950000000000000000e+02 1.429248810000000036e+00
2.000000000000000000e+00 8.240450000000000000e+05 2.830000000000000000e+02 1.367363950000000106e+00
4.000000000000000000e+00 2.042340000000000000e+05 1.066000000000000000e+03 1.192187689999999911e+00
1.000000000000000000e+00 2.977870000000000000e+05 4.330000000000000000e+02 1.257622610000000085e+00
3.000000000000000000e+00 9.982290000000000000e+05 5.180000000000000000e+02 2.986614499999999950e-01
4.000000000000000000e+00 7.968780000000000000e+05 3.050000000000000000e+02 7.446224399999999966e-01
2.000000000000000000e+00 5.819930000000000000e+05 2.830000000000000000e+02 5.961504699999999879e-01
2.000000000000000000e+00 7.410070000000000000e+05 6.870000000000000000e+02 8.852082300000000403e-01
5.000000000000000000e+00 1.459020000000000000e+05 1.000000000000000000e+03 1.429596759999999911e+00
3.000000000000000000e+00 4.515680000000000000e+05 6.480000000000000000e+02 6.691284699999999752e-01
4.000000000000000000e+00 6.492800000000000000e+05 1.081000000000000000e+03 6.391796899999999670e-01
1.000000000000000000e+00 1.121974000000000000e+06 4.060000000000000000e+02 6.428084400000000365e-01
4.000000000000000000e+00 9.238150000000000000e+05 8.300000000000000000e+01 7.618760100000000479e-01
1.000000000000000000e+00 5.932590000000000000e+05 8.920000000000000000e+02 1.080248520000000045e+00
4.000000000000000000e+00 6.663650000000000000e+05 5.220000000000000000e+02 2.849093200000000214e-01
5.000000000000000000e+00 1.169149000000000000e+06 1.164000000000000000e+03 3.374868000000000312e-02
2.000000000000000000e+00 2.490960000000000000e+05 6.300000000000000000e+01 6.599027299999999929e-01
5.000000000000000000e+00 4.707600000000000000e+04 2.060000000000000000e+02 1.363694210000000018e+00
2.000000000000000000e+00 2.331150000000000000e+05 1.068000000000000000e+03 8.431104900000000457e-01
2.000000000000000000e+00 1.063353000000000000e+06 8.930000000000000000e+02 1.162220189999999986e+00
5.000000000000000000e+00 1.042031000000000000e+06 8.880000000000000000e+02 4.841056999999999999e-02
4.000000000000000000e+00 8.974290000000000000e+05 2.630000000000000000e+02 7.343994700000000542e-01
4.000000000000000000e+00 1.784430000000000000e+05 5.410000000000000000e+02 4.495354200000000189e-01
3.000000000000000000e+00 1.107884000000000000e+06 1.101000000000000000e+03 6.828325899999999615e-01
5.000000000000000000e+00 2.633000000000000000e+04 1.090000000000000000e+03 6.237657699999999972e-01
2.000000000000000000e+00 1.497660000000000000e+05 3.340000000000000000e+02 4.939650999999999903e-01
5.000000000000000000e+00 6.349940000000000000e+05 1.100000000000000000e+03 1.105771360000000092e+00
3.000000000000000000e+00 4.370000000000000000e+03 1.780000000000000000e+02 4.637632759999999799e+00
5.000000000000000000e+00 2.289720000000000000e+05 5.870000000000000000e+02 5.090777100000000166e-01
1.000000000000000000e+00 6.045500000000000000e+04 1.127000000000000000e+03 6.452264899999999859e-01
5.000000000000000000e+00 1.561150000000000000e+05 8.300000000000000000e+02 1.039155309999999943e+00
5.000000000000000000e+00 7.125010000000000000e+05 9.900000000000000000e+02 5.363969600000000337e-01
4.000000000000000000e+00 2.833050000000000000e+05 1.351000000000000000e+03 3.508100699999999739e-01
4.000000000000000000e+00 7.237790000000000000e+05 1.229000000000000000e+03 4.386706799999999795e-01
5.000000000000000000e+00 5.518670000000000000e+05 1.080000000000000000e+02 9.184777100000000027e-01
3.000000000000000000e+00 4.519200000000000000e+04 5.180000000000000000e+02 2.676012999999999864e-01
2.000000000000000000e+00 5.000410000000000000e+05 7.970000000000000000e+02 2.060838500000000129e-01
1.000000000000000000e+00 7.655210000000000000e+05 1.254000000000000000e+03 1.006314900000000012e+00
1.000000000000000000e+00 5.441900000000000000e+05 1.100000000000000000e+02 1.324736329999999906e+00
3.000000000000000000e+00 9.492750000000000000e+05 2.650000000000000000e+02 6.926330800000000121e-01
3.000000000000000000e+00 2.416290000000000000e+05 7.780000000000000000e+02 1.037647030000000026e+00
4.000000000000000000e+00 6.075240000000000000e+05 1.550000000000000000e+02 4.014589399999999864e-01
4.000000000000000000e+00 1.060930000000000000e+06 8.300000000000000000e+01 4.100135060000000387e+00
4.000000000000000000e+00 4.207200000000000000e+05 2.380000000000000000e+02 6.928888600000000508e-01
2.000000000000000000e+00 1.090987000000000000e+06 1.062000000000000000e+03 1.210156180000000026e+00
5.000000000000000000e+00 1.209820000000000000e+06 7.170000000000000000e+02 1.131002120000000000e+00
4.000000000000000000e+00 7.196000000000000000e+05 1.069000000000000000e+03 2.834479500000000041e-01
4.000000000000000000e+00 3.264100000000000000e+05 8.390000000000000000e+02 5.619674900000000139e-01
3.000000000000000000e+00 9.733600000000000000e+05 1.075000000000000000e+03 1.096665690000000026e+00
2.000000000000000000e+00 1.187953000000000000e+06 1.120000000000000000e+03 9.583363200000000193e-01
3.000000000000000000e+00 1.140303000000000000e+06 8.940000000000000000e+02 8.325000000000000178e-01
4.000000000000000000e+00 4.589970000000000000e+05 8.390000000000000000e+02 3.400327250000000134e+00
5.000000000000000000e+00 4.239890000000000000e+05 4.360000000000000000e+02 8.271761499999999989e-01
2.000000000000000000e+00 1.140304000000000000e+06 6.300000000000000000e+01 6.857702199999999859e-01
3.000000000000000000e+00 5.595600000000000000e+04 1.780000000000000000e+02 7.810966799999999877e-01
3.000000000000000000e+00 4.623960000000000000e+05 9.940000000000000000e+02 7.349069700000000482e-01
2.000000000000000000e+00 1.022119000000000000e+06 2.940000000000000000e+02 4.898742200000000269e-01
2.000000000000000000e+00 5.913040000000000000e+05 1.010000000000000000e+03 7.209991999999999512e-01
2.000000000000000000e+00 4.854990000000000000e+05 9.190000000000000000e+02 4.569271500000000041e-01
2.000000000000000000e+00 1.128846000000000000e+06 7.970000000000000000e+02 4.658422199999999735e-01
1.000000000000000000e+00 1.299398000000000000e+06 1.162000000000000000e+03 1.119944629999999997e+00
3.000000000000000000e+00 8.823780000000000000e+05 6.990000000000000000e+02 5.504412199999999533e-01
1.000000000000000000e+00 7.999540000000000000e+05 1.040000000000000000e+03 1.124356549999999899e+00
1.000000000000000000e+00 8.405760000000000000e+05 1.251000000000000000e+03 5.941973900000000475e-01
2.000000000000000000e+00 1.233681000000000000e+06 6.750000000000000000e+02 5.761853900000000195e-01
3.000000000000000000e+00 5.019990000000000000e+05 9.750000000000000000e+02 8.717417600000000322e-01
3.000000000000000000e+00 8.322370000000000000e+05 4.320000000000000000e+02 3.945587199999999739e-01
