# AtomId eventId barrier
6.600000000000000000e+01 5.486150000000000000e+05 9.439910000000000245e-01
6.600000000000000000e+01 1.101985000000000000e+06 6.875780000000000225e-01
6.600000000000000000e+01 5.486150000000000000e+05 9.439999999999999503e-01
6.600000000000000000e+01 1.101985000000000000e+06 6.875710000000000433e-01
6.600000000000000000e+01 5.486150000000000000e+05 9.439880000000000493e-01
6.600000000000000000e+01 1.101985000000000000e+06 6.875839999999999730e-01
6.600000000000000000e+01 5.486150000000000000e+05 9.439830000000000165e-01
6.600000000000000000e+01 1.101985000000000000e+06 6.875790000000000513e-01
6.600000000000000000e+01 5.486150000000000000e+05 9.439819999999999878e-01
6.600000000000000000e+01 1.101985000000000000e+06 6.875799999999999690e-01
6.600000000000000000e+01 5.486150000000000000e+05 9.439830000000000165e-01
6.600000000000000000e+01 1.229024000000000000e+06 1.380244000000000026e+00
6.600000000000000000e+01 2.032500000000000000e+04 1.651939999999999964e+00
2.770000000000000000e+02 3.222810000000000000e+05 1.231022000000000061e+00
2.770000000000000000e+02 6.003790000000000000e+05 1.639302999999999955e+00
6.730000000000000000e+02 5.732760000000000000e+05 8.329809999999999715e-01
2.770000000000000000e+02 9.457010000000000000e+05 1.357920000000000016e+00
6.730000000000000000e+02 1.225466000000000000e+06 5.721289999999999987e-01
8.010000000000000000e+02 1.006986000000000000e+06 1.103690000000000060e+00
1.272000000000000000e+03 9.037660000000000000e+05 1.220590000000000064e+00
3.180000000000000000e+02 6.056700000000000000e+04 9.203430000000000222e-01
5.670000000000000000e+02 9.207890000000000000e+05 1.566804000000000086e+00
8.010000000000000000e+02 8.009260000000000000e+05 1.187548999999999966e+00
1.272000000000000000e+03 1.265663000000000000e+06 1.291010999999999909e+00
2.770000000000000000e+02 9.457010000000000000e+05 1.357922000000000073e+00
6.730000000000000000e+02 1.225466000000000000e+06 5.721070000000000322e-01
8.010000000000000000e+02 1.006986000000000000e+06 1.103787999999999991e+00
1.272000000000000000e+03 9.037660000000000000e+05 1.220598999999999990e+00
3.180000000000000000e+02 6.056700000000000000e+04 9.203400000000000469e-01
5.670000000000000000e+02 9.207890000000000000e+05 1.566802000000000028e+00
8.010000000000000000e+02 8.009260000000000000e+05 1.187551000000000023e+00
1.272000000000000000e+03 1.265663000000000000e+06 1.291009999999999991e+00
2.770000000000000000e+02 9.457010000000000000e+05 1.357925999999999966e+00
6.730000000000000000e+02 1.225466000000000000e+06 5.720659999999999634e-01
8.010000000000000000e+02 1.006986000000000000e+06 1.103798999999999975e+00
1.272000000000000000e+03 9.037660000000000000e+05 1.220593999999999957e+00
3.180000000000000000e+02 6.056700000000000000e+04 9.203390000000000182e-01
5.670000000000000000e+02 9.207890000000000000e+05 1.566799999999999971e+00
8.010000000000000000e+02 8.009260000000000000e+05 1.187548000000000048e+00
1.272000000000000000e+03 1.265663000000000000e+06 1.291009999999999991e+00
3.180000000000000000e+02 3.079250000000000000e+05 7.909749999999999837e-01
8.010000000000000000e+02 7.028170000000000000e+05 1.254056999999999977e+00
8.660000000000000000e+02 2.941680000000000000e+05 4.960760000000000169e-01
3.500000000000000000e+01 2.877120000000000000e+05 1.093717999999999968e+00
2.770000000000000000e+02 1.299487000000000000e+06 1.013622999999999941e+00
2.770000000000000000e+02 8.267970000000000000e+05 1.093612999999999946e+00
8.660000000000000000e+02 8.550750000000000000e+05 8.419940000000000202e-01
8.980000000000000000e+02 1.020075000000000000e+06 7.515830000000000011e-01
8.660000000000000000e+02 8.550750000000000000e+05 8.419929999999999914e-01
3.500000000000000000e+01 2.877120000000000000e+05 1.093299000000000021e+00
2.770000000000000000e+02 1.299487000000000000e+06 1.013906999999999892e+00
2.770000000000000000e+02 8.267970000000000000e+05 1.094607000000000108e+00
3.500000000000000000e+01 3.782710000000000000e+05 1.029841999999999924e+00
2.770000000000000000e+02 1.151644000000000000e+06 1.181472999999999995e+00
5.670000000000000000e+02 1.033997000000000000e+06 1.332057999999999964e+00
1.272000000000000000e+03 9.037660000000000000e+05 1.049849000000000032e+00
1.272000000000000000e+03 4.120810000000000000e+05 1.318176999999999932e+00
3.180000000000000000e+02 6.056700000000000000e+04 9.430589999999999806e-01
8.010000000000000000e+02 8.009260000000000000e+05 1.186887000000000025e+00
1.272000000000000000e+03 6.655430000000000000e+05 3.847332999999999892e+00
3.500000000000000000e+01 3.782710000000000000e+05 1.029841000000000006e+00
2.770000000000000000e+02 1.151644000000000000e+06 1.181477000000000110e+00
5.670000000000000000e+02 1.033997000000000000e+06 1.332057000000000047e+00
1.272000000000000000e+03 9.037660000000000000e+05 1.049943999999999988e+00
