# atom_type event_id atom_id barrier
3.000000000000000000e+00 4.929500000000000000e+05 6.180000000000000000e+02 7.800558300000000056e-01
2.000000000000000000e+00 2.469330000000000000e+05 8.180000000000000000e+02 7.419089599999999507e-01
2.000000000000000000e+00 7.416400000000000000e+05 2.240000000000000000e+02 4.777790699999999724e-01
3.000000000000000000e+00 2.734910000000000000e+05 5.920000000000000000e+02 6.407786100000000262e-01
1.000000000000000000e+00 8.067100000000000000e+05 1.183000000000000000e+03 5.453686699999999998e-01
3.000000000000000000e+00 1.373420000000000000e+05 7.660000000000000000e+02 4.198246100000000425e+00
2.000000000000000000e+00 2.912700000000000000e+04 5.690000000000000000e+02 5.536631199999999531e-01
1.000000000000000000e+00 1.013488000000000000e+06 3.090000000000000000e+02 4.210041800000000056e-01
2.000000000000000000e+00 5.562190000000000000e+05 7.210000000000000000e+02 6.182482700000000442e-01
1.000000000000000000e+00 5.610850000000000000e+05 1.870000000000000000e+02 7.444994700000000520e-01
1.000000000000000000e+00 1.089712000000000000e+06 6.580000000000000000e+02 8.376249300000000453e-01
2.000000000000000000e+00 4.009900000000000000e+05 1.267000000000000000e+03 5.993846299999999738e-01
2.000000000000000000e+00 1.490260000000000000e+05 6.620000000000000000e+02 4.089535000000000253e-01
1.000000000000000000e+00 1.200254000000000000e+06 2.410000000000000000e+02 5.213439100000000215e-01
2.000000000000000000e+00 6.711400000000000000e+04 8.020000000000000000e+02 4.839860500000000010e-01
3.000000000000000000e+00 6.409660000000000000e+05 1.130000000000000000e+03 5.211107099999999770e-01
1.000000000000000000e+00 1.320820000000000000e+05 9.840000000000000000e+02 1.351326770000000010e+00
3.000000000000000000e+00 1.035519000000000000e+06 8.730000000000000000e+02 6.970459700000000147e-01
1.000000000000000000e+00 1.699600000000000000e+05 5.480000000000000000e+02 3.512304299999999824e+00
2.000000000000000000e+00 1.335950000000000000e+05 1.171000000000000000e+03 5.345594799999999758e-01
2.000000000000000000e+00 1.008870000000000000e+05 1.201000000000000000e+03 4.650890500000000038e-01
3.000000000000000000e+00 1.885150000000000000e+05 3.980000000000000000e+02 4.655478599999999800e-01
2.000000000000000000e+00 4.388920000000000000e+05 1.267000000000000000e+03 1.151183529999999955e+00
1.000000000000000000e+00 1.044494000000000000e+06 1.241000000000000000e+03 7.791688799999999526e-01
2.000000000000000000e+00 9.943930000000000000e+05 7.210000000000000000e+02 6.240780299999999503e-01
1.000000000000000000e+00 1.025003000000000000e+06 5.530000000000000000e+02 6.893353399999999631e-01
3.000000000000000000e+00 1.094928000000000000e+06 2.450000000000000000e+02 5.645525000000000126e-01
2.000000000000000000e+00 1.109562000000000000e+06 1.028000000000000000e+03 7.164216100000000420e-01
2.000000000000000000e+00 8.005210000000000000e+05 1.600000000000000000e+01 9.356100099999999919e-01
1.000000000000000000e+00 1.025674000000000000e+06 9.560000000000000000e+02 6.165914399999999906e-01
1.000000000000000000e+00 9.136900000000000000e+05 6.770000000000000000e+02 6.666805799999999671e-01
2.000000000000000000e+00 3.507460000000000000e+05 1.270000000000000000e+03 6.820446199999999903e-01
2.000000000000000000e+00 6.043150000000000000e+05 1.205000000000000000e+03 8.679772199999999938e-01
1.000000000000000000e+00 1.082957000000000000e+06 1.217000000000000000e+03 1.930704000000000031e-01
