# time Ni NiV
0.000000000000000000e+00 3.303307184410907815e-13 3.302054497520828656e-13
3.137999999999999857e-13 1.728882336642722107e-03 7.606404830006734629e-07
3.484000000000000099e-13 3.863372727657625461e-03 1.705324553028635456e-06
3.529000000000000008e-12 5.966507838472240657e-03 2.916127366897220365e-06
4.309000000000000319e-12 7.914798272376689578e-03 4.500115812398697231e-06
4.620000000000000105e-12 1.010442715978753479e-02 6.139248866934481094e-06
5.130999999999999846e-12 7.914798168613583831e-03 4.500013404596336638e-06
5.690000000000000190e-12 9.889782173667602608e-03 6.144485065840707865e-06
6.103999999999999840e-12 1.216690285915881208e-02 7.488912384270302211e-06
6.542000000000000195e-12 9.889781039893031853e-03 6.144326416559543068e-06
6.544000000000000389e-12 1.216707733308512382e-02 7.488641546925167830e-06
6.944999999999999993e-12 1.415833997805527808e-02 8.354093234507841995e-06
7.940999999999999384e-12 1.216707700232305678e-02 7.488638902390936676e-06
7.947999999999999657e-12 1.415823662762239095e-02 8.352636712339697964e-06
8.534999999999999478e-12 1.216707724609480609e-02 7.488612873054648209e-06
8.708000000000000457e-12 9.892873669454285354e-03 7.943079014957307024e-06
8.935999999999999890e-12 1.209696229125706637e-02 6.417827142755003008e-06
9.077999999999999891e-12 9.892888156750935871e-03 7.942089059028096046e-06
9.257999999999999527e-12 1.209695258176133985e-02 6.417827142755003008e-06
9.705000000000000349e-12 9.892828673646615265e-03 7.939401197237229109e-06
1.022999999999999983e-11 1.209695257103133963e-02 6.417825954333179255e-06
1.082999999999999970e-11 9.892772945456814598e-03 7.935478907819438642e-06
1.098000000000000047e-11 1.197047416822296512e-02 7.856449589589353734e-06
1.189000000000000043e-11 1.425589326369300358e-02 8.021116544906072029e-06
1.269000000000000025e-11 1.621515660153270005e-02 6.414191857118460031e-06
1.285999999999999973e-11 1.461513281055232434e-02 4.507786897499115508e-06
1.364999999999999939e-11 1.621551172267680571e-02 6.411215181093772934e-06
1.370000000000000019e-11 1.847777266782802894e-02 4.514894735287387931e-06
1.445999999999999937e-11 2.056718314022250652e-02 5.055008010097810210e-06
1.468999999999999981e-11 1.847777227680029097e-02 4.514894735287387931e-06
1.475999999999999931e-11 2.056708519381349187e-02 5.052797810684675821e-06
1.528000000000000113e-11 2.280401254135075786e-02 6.970765351560314432e-06
1.548000000000000109e-11 2.503858726233257337e-02 6.569516871348096930e-06
1.735999999999999873e-11 2.733414107212890631e-02 7.832793189110615260e-06
1.770000000000000092e-11 2.936108417661631095e-02 1.089170648797698280e-05
1.804999999999999842e-11 3.169071204509705392e-02 9.908075762779270323e-06
1.877999999999999874e-11 3.379197147350281732e-02 8.144402241456328288e-06
1.972999999999999933e-11 3.606069647298783265e-02 6.313524399328504662e-06
1.990999999999999897e-11 3.813885528584023965e-02 4.861734707550634288e-06
2.005000000000000120e-11 4.017852789742624303e-02 3.641525297635380971e-06
2.025999999999999970e-11 4.247031011476314760e-02 3.380327127776224271e-06
2.059000000000000011e-11 4.456202289562122276e-02 5.430255164287044122e-06
2.136000000000000107e-11 4.665876856131626754e-02 1.656222415923769574e-05
2.178000000000000130e-11 4.855311532547722242e-02 1.712957491865046554e-05
2.296999999999999926e-11 5.063942863796259269e-02 1.817329137081439164e-05
2.369999999999999958e-11 5.270338640140868891e-02 9.807096216928124833e-06
2.403000000000000000e-11 5.534373287357641918e-02 6.310373479302737840e-06
2.407999999999999918e-11 5.563830272763185120e-02 2.055472297993668157e-06
2.465000000000000018e-11 5.762967966666742575e-02 4.578492287625021750e-07
2.496000000000000027e-11 5.954605783904724087e-02 3.145616960612069617e-07
