# time Ni NiV
0.000000000000000000e+00 1.430355848415562412e-14 1.392100061678017772e-14
1.143000000000000077e-12 2.025495396739182725e-03 5.217259564483930721e-08
1.487000000000000025e-12 4.467321280269713479e-03 6.590672829063810241e-08
2.098000000000000148e-12 6.711156101576111477e-03 8.129324247244218503e-08
4.535000000000000366e-12 9.283784098885240060e-03 8.739669613103555429e-08
5.577000000000000167e-12 1.153777326223606910e-02 8.288786275733583395e-08
5.645000000000000281e-12 1.197232716889078986e-02 3.515683757956835144e-09
5.808999999999999986e-12 1.410380294935141728e-02 2.602873924934017269e-08
5.840999999999999850e-12 1.642459937176735454e-02 4.244038374243131453e-08
6.085000000000000022e-12 1.881255695287785065e-02 5.074857560006210179e-08
7.060999999999999902e-12 1.914284560090230916e-02 2.798146713243282461e-09
7.071999999999999754e-12 2.126499806569261825e-02 1.487066027713087857e-08
7.433999999999999222e-12 2.354007906604542802e-02 1.780415167473127228e-08
7.685999999999999360e-12 2.126703606090175544e-02 1.376307201366247138e-08
7.853999999999999451e-12 2.369178780080907765e-02 1.997681412578853957e-08
8.105999999999999589e-12 2.579385648790380459e-02 6.682239745262943632e-09
8.809999999999999821e-12 2.369178880601634923e-02 1.997461951583016037e-08
9.615000000000000531e-12 2.127122813392250122e-02 5.894702105312969670e-09
1.047000000000000042e-11 2.154243164854810835e-02 6.678621797857473996e-10
1.203999999999999959e-11 2.148408479443131638e-02 4.571023513429592379e-10
1.229000000000000034e-11 2.364860908236030360e-02 1.286665712544635392e-08
1.282999999999999925e-11 2.603109965965491601e-02 8.399181757491073857e-09
1.284999999999999957e-11 2.866782063579964568e-02 1.493162923233923673e-08
1.292999999999999923e-11 3.094309148640167484e-02 1.819775108292573514e-08
1.300000000000000034e-11 3.284420730726238247e-02 5.996462664612201571e-09
1.306999999999999984e-11 3.105966809426429984e-02 5.964930138953576201e-09
1.327999999999999996e-11 2.840525889535534809e-02 8.970874247011332103e-09
1.334999999999999946e-11 3.105832567385452894e-02 4.362530420742119602e-09
1.426999999999999958e-11 3.284658612387208326e-02 1.290688882302481255e-08
1.454000000000000065e-11 3.542669635275842027e-02 1.607531780061935189e-08
1.464000000000000063e-11 3.796510783254129079e-02 7.794902823036667489e-09
1.837999999999999883e-11 3.542829867005914402e-02 1.514989713085632364e-08
1.954000000000000115e-11 3.796511204551760582e-02 7.792484821992142005e-09
1.961999999999999920e-11 3.542961791854554870e-02 1.383127078941273191e-08
1.985000000000000125e-11 3.822356173456763900e-02 1.949305467784505634e-08
2.118000000000000144e-11 4.028222046140415152e-02 1.810275991383326028e-08
2.138000000000000139e-11 3.822356158241060203e-02 1.949153927029965046e-08
2.141999999999999880e-11 4.064986247452053586e-02 1.662806369507841484e-08
2.152000000000000039e-11 4.306261279800743108e-02 2.104187216348394283e-08
2.174999999999999921e-11 4.305291726216495946e-02 1.313580083837912976e-09
2.227000000000000103e-11 4.520446851545389250e-02 2.516094112715415793e-08
2.230999999999999844e-11 4.305291832979083605e-02 1.313428229312218611e-09
2.232000000000000021e-11 4.520393312143353159e-02 2.278576928737772407e-08
2.292000000000000008e-11 4.735513631538424556e-02 3.586565750349324331e-08
2.334000000000000031e-11 4.979927996997068201e-02 1.592457269368110752e-08
2.392999999999999840e-11 4.735683864675499510e-02 2.592609690187859612e-08
2.460999999999999954e-11 4.804358089572316470e-02 6.289804288930291910e-09
2.551999999999999950e-11 5.421680580990619752e-02 1.625223163872070159e-08
2.691999999999999919e-11 5.687769668464020406e-02 6.691809777984783431e-09
2.724999999999999960e-11 5.905904473471888794e-02 7.306466042539974743e-09
2.766000000000000129e-11 5.688021692531389228e-02 6.181264077006675098e-09
2.809999999999999861e-11 5.989673159294096882e-02 1.435149722403352782e-08
2.817000000000000134e-11 5.961571313104728487e-02 1.035035926098433111e-09
3.027000000000000249e-11 6.174617760799133714e-02 4.787174424002483758e-09
3.090999999999999976e-11 6.409732686396812928e-02 4.098971194690260575e-09
3.146000000000000045e-11 6.646999912031743840e-02 2.583943826269215232e-09
3.438000000000000174e-11 6.464516245094119318e-02 6.542471277751898421e-09
3.475999999999999810e-11 7.085850158556498968e-02 9.716677218599599369e-09
3.541999999999999892e-11 7.361319356073799114e-02 3.355038960565130566e-09
3.711000000000000161e-11 7.638077364960728366e-02 5.405018049992237958e-09
3.777999999999999775e-11 7.874165452923863329e-02 4.990020659059164920e-09
3.883999999999999848e-11 7.638210219019979375e-02 5.393523003415615204e-09
3.915000000000000181e-11 7.874165581518166590e-02 4.993524784971281172e-09
3.967999999999999894e-11 8.046907404578458600e-02 2.677758571650364810e-09
3.976000000000000022e-11 7.865989853075788796e-02 7.744355069088657983e-09
4.049000000000000054e-11 8.118937548822086070e-02 1.086309593851886814e-08
4.083999999999999804e-11 8.345321008382346195e-02 5.045263182735602617e-09
4.105000000000000300e-11 8.594040124424778826e-02 4.737179668529729838e-09
