# time Ni NiV
0.000000000000000000e+00 3.121730029046695473e-13 9.608929501956005678e-14
4.477000000000000007e-13 1.595269813719558507e-05 6.931230330482771650e-07
7.028999999999999635e-13 3.316702091405292907e-05 2.167159390988290139e-06
1.022000000000000088e-12 1.595283452088266745e-05 6.932054475084440726e-07
3.486999999999999985e-12 3.202117944539283441e-05 2.272017601767013975e-06
4.417999999999999956e-12 1.953096254984269556e-05 1.053619339714181036e-06
4.494999999999999729e-12 3.244895545102220578e-05 2.374382834766881045e-06
4.506000000000000389e-12 1.953081388357385880e-05 1.053603291315060825e-06
4.846000000000000152e-12 8.543261238579304687e-06 4.767657808861412443e-07
5.398000000000000223e-12 1.611105880506326506e-05 6.566984023075403231e-07
5.614000000000000110e-12 3.183526406533389904e-05 1.495923715116682488e-06
5.955000000000000374e-12 4.339131451137902241e-05 3.170569489619831547e-06
6.745000000000000037e-12 3.328892815790279340e-05 1.949515068210577637e-06
6.947999999999999879e-12 4.241593204943234385e-05 3.264539499424516890e-06
7.462999999999999199e-12 4.773663515992966844e-05 5.631066674777464639e-06
9.122999999999999800e-12 5.377415528058148098e-05 9.597146336138752821e-06
9.777999999999999735e-12 4.773668327947104675e-05 5.630628444519920028e-06
9.802999999999999326e-12 4.379860702346491689e-05 3.701680806496658301e-06
9.825999999999999531e-12 3.377730347154742356e-05 2.019365439005054439e-06
1.012999999999999985e-11 4.379799244579220811e-05 3.701680806496658301e-06
1.021999999999999967e-11 5.063428273395510738e-05 5.892192374838258286e-06
1.058000000000000056e-11 4.379781083238344809e-05 3.701680806496658301e-06
1.059000000000000072e-11 3.379123951260557890e-05 2.039754160746014620e-06
1.104999999999999997e-11 2.741775222416770880e-03 2.865552238884932059e-06
1.180000000000000061e-11 2.850826132700821566e-03 2.534046629769586459e-06
1.201999999999999927e-11 5.505590857499159663e-03 1.115593741735855867e-06
1.276999999999999991e-11 5.403663860215894565e-03 2.719603507660705488e-06
1.289000000000000021e-11 5.409478974604283244e-03 2.964263569116227345e-06
1.422000000000000040e-11 5.404911516675031842e-03 2.685266412256576091e-06
1.441000000000000019e-11 5.407603303372238331e-03 3.756920071073784663e-06
1.595000000000000050e-11 5.404898851679976537e-03 2.685202195064699505e-06
1.597999999999999936e-11 5.396068715454510265e-03 2.713540706086740413e-06
1.732999999999999987e-11 5.434044921747338899e-03 3.535582368961332916e-06
1.786999999999999878e-11 5.391914414509842504e-03 3.342482690802440336e-06
1.830999999999999933e-11 5.416860055484763389e-03 2.847266396516528639e-06
1.870000000000000069e-11 5.410280354702100974e-03 2.723938284014960131e-06
1.872000000000000101e-11 5.403277068354828475e-03 3.533273499618937371e-06
1.979000000000000029e-11 8.168410418396844161e-03 1.910318942159309159e-06
1.983999999999999947e-11 8.230218687521080947e-03 2.903941908530020102e-06
2.101000000000000034e-11 8.168329285470517231e-03 1.909037936483459544e-06
2.110999999999999871e-11 8.217558926718496887e-03 2.224777463532935292e-06
2.118999999999999998e-11 8.095625613132520840e-03 2.191054750731732329e-06
2.149000000000000153e-11 8.087412650892486163e-03 2.437636489665932940e-06
2.236000000000000085e-11 8.119423297466555473e-03 4.044441638145304515e-06
2.265999999999999917e-11 8.118600651907746657e-03 8.070512761401891808e-06
2.316999999999999922e-11 8.119494816295581147e-03 1.271089009168145016e-05
2.336000000000000063e-11 8.106814994305497693e-03 9.723381740166139780e-06
2.454000000000000004e-11 8.097334004576800179e-03 5.799600239246472233e-06
2.551999999999999950e-11 8.094833677799709651e-03 2.745081121924554889e-06
2.615000000000000146e-11 8.095209578095763012e-03 1.555394552822140662e-06
2.638999999999999882e-11 8.094833846071933930e-03 2.745081121924554889e-06
2.655000000000000137e-11 8.097699756745513344e-03 4.778110874140189348e-06
2.709999999999999883e-11 8.106537274604204424e-03 8.458138205352963665e-06
2.773000000000000079e-11 8.098084374616563649e-03 5.383046983002175001e-06
2.784000000000000093e-11 8.106537231219941228e-03 8.457590470673177399e-06
2.954000000000000216e-11 8.098039757673147765e-03 5.365071376571172130e-06
2.997000000000000094e-11 8.095221925588766756e-03 2.701689140764987958e-06
3.005000000000000221e-11 8.095315619183208675e-03 1.541395141105881899e-06
3.024999999999999894e-11 8.116313196694166163e-03 1.617131668782661664e-06
3.078999999999999785e-11 1.082460204285441187e-02 8.053597062556018256e-07
3.081000000000000140e-11 1.076919473549292107e-02 1.526635209927758207e-06
3.101999999999999990e-11 1.083724202116071247e-02 9.510642264184188421e-07
3.101999999999999990e-11 1.095879090944280702e-02 7.040723681298316133e-07
3.104999999999999876e-11 1.085574474083568150e-02 9.015023238423072729e-07
