# t dx dy dz
2.825999999999999857e-10 1.753273499999999929e+00 0.000000000000000000e+00 1.753273000000000081e+00
1.039000000000000238e-10 1.753272999999999859e+00 1.753272100000000000e+00 0.000000000000000000e+00
7.374999999999999865e-10 0.000000000000000000e+00 1.753274900000000303e+00 1.753273000000000081e+00
1.292999999999999774e-09 0.000000000000000000e+00 -1.753274900000000081e+00 -1.753273000000000081e+00
1.642999999999999806e-09 -1.753273000000000081e+00 -1.753272100000000000e+00 0.000000000000000000e+00
3.290000000000000013e-10 0.000000000000000000e+00 -1.753272600000000070e+00 -1.753273000000000081e+00
1.345000000000000629e-09 0.000000000000000000e+00 1.753272600000000070e+00 1.753273000000000081e+00
7.859999999999995605e-10 1.753273000000000081e+00 0.000000000000000000e+00 -1.753273000000000081e+00
1.077000000000000313e-09 1.753272599999999848e+00 -1.753272600000000070e+00 0.000000000000000000e+00
9.449999999999995284e-10 -1.753272599999999848e+00 0.000000000000000000e+00 1.753273000000000081e+00
1.469999999999995958e-10 -1.753273000000000081e+00 1.753272600000000070e+00 0.000000000000000000e+00
5.700000000000011336e-10 -1.753273499999999929e+00 1.753272100000000000e+00 0.000000000000000000e+00
7.159999999999995954e-10 -1.753273499999999929e+00 0.000000000000000000e+00 1.753273000000000081e+00
5.349999999999994967e-10 -1.753273000000000081e+00 -1.753272100000000000e+00 0.000000000000000000e+00
4.220000000000000730e-09 0.000000000000000000e+00 1.753272100000000000e+00 -1.753273000000000081e+00
3.399999999999984123e-10 -1.753273000000000525e+00 0.000000000000000000e+00 1.753273000000000081e+00
3.200000000000022037e-10 1.753273000000000081e+00 -1.753272100000000000e+00 0.000000000000000000e+00
2.799999999999998603e-10 1.753273000000000081e+00 -1.753272600000000070e+00 0.000000000000000000e+00
3.100000000000007907e-10 -1.753273000000000081e+00 0.000000000000000000e+00 1.753273000000000081e+00
2.399999999999975169e-10 -1.753273000000000081e+00 0.000000000000000000e+00 1.753273000000000081e+00
1.500000000000013432e-10 -1.753273000000000081e+00 1.753272600000000070e+00 0.000000000000000000e+00
1.229999999999998441e-09 1.753273000000000081e+00 1.753272100000000000e+00 0.000000000000000000e+00
1.600000000000027562e-10 -1.753273000000000081e+00 -1.753272100000000000e+00 0.000000000000000000e+00
3.599999999999979297e-10 -1.753273000000000081e+00 0.000000000000000000e+00 -1.753273000000000081e+00
3.600000000000012384e-10 -1.753273000000000081e+00 0.000000000000000000e+00 -1.753273000000000081e+00
7.899999999999991331e-10 0.000000000000000000e+00 -1.753272600000000070e+00 1.753273000000000081e+00
