# n msd err cf err var err
1.000000000000000000e+00 4.434583497218396418e-03 1.567862031310541622e-06 1.000000000000000666e+00 0.000000000000000000e+00 4.434583497218393816e-03 1.567862031310540775e-06
2.000000000000000000e+00 8.209561763288266562e-03 2.903244298519164674e-06 9.256294044793315079e-01 8.184554695590332083e-08 4.434583497218393816e-03 1.567862031310540775e-06
3.000000000000000000e+00 1.192297666140677836e-02 4.217518111113918321e-06 8.962116862373133985e-01 1.585482612894536493e-07 4.434583497218393816e-03 1.567862031310540775e-06
4.000000000000000000e+00 1.556856196933151769e-02 5.508450759403011145e-06 8.776789285339280378e-01 2.329919194750760806e-07 4.434583497218393816e-03 1.567862031310540775e-06
5.000000000000000000e+00 1.918948816566269297e-02 6.791303307078180211e-06 8.654471463982742474e-01 3.064415119433601396e-07 4.434583497218393816e-03 1.567862031310540775e-06
6.000000000000000000e+00 2.280289368191775606e-02 8.072136861909558339e-06 8.570099723465552932e-01 3.794601129932571123e-07 4.434583497218393816e-03 1.567862031310540775e-06
7.000000000000000000e+00 2.640453769830666819e-02 9.349448537026222445e-06 8.506045305968095160e-01 4.521186955336864811e-07 4.434583497218393816e-03 1.567862031310540775e-06
8.000000000000000000e+00 2.999206610483611674e-02 1.062240216012307170e-05 8.454025649660428243e-01 5.244432163790357783e-07 4.434583497218393816e-03 1.567862031310540775e-06
9.000000000000000000e+00 3.356556166332803903e-02 1.189102401099057858e-05 8.410049903943037641e-01 5.964703404070676324e-07 4.434583497218393816e-03 1.567862031310540775e-06
1.000000000000000000e+01 3.713988819179644268e-02 1.316057808503440548e-05 8.375056691365164729e-01 6.684886774209474667e-07 4.434583497218393816e-03 1.567862031310540775e-06
1.100000000000000000e+01 4.071225628975102401e-02 1.443007664864345378e-05 8.346024402248191087e-01 7.404692258288190988e-07 4.434583497218393816e-03 1.567862031310540775e-06
1.200000000000000000e+01 4.428044454780727390e-02 1.569873234544195390e-05 8.321045365286714457e-01 8.123844214901209728e-07 4.434583497218393816e-03 1.567862031310540775e-06
1.300000000000000000e+01 4.784606697998933234e-02 1.696711714069599306e-05 8.299464184352361995e-01 8.842723318429314565e-07 4.434583497218393816e-03 1.567862031310540775e-06
1.400000000000000000e+01 5.140995999135399008e-02 1.823552775105270548e-05 8.280687468588175948e-01 9.561549560595234673e-07 4.434583497218393816e-03 1.567862031310540775e-06
1.500000000000000000e+01 5.497256125959495976e-02 1.950411972465369867e-05 8.264220122600265395e-01 1.028045463876476028e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.600000000000000000e+01 5.853237445233748504e-02 2.077236241210736055e-05 8.249418249911758538e-01 1.099919601486805611e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.700000000000000000e+01 6.208699909482076618e-02 2.203940368049390921e-05 8.235669527100429876e-01 1.171734667832520745e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.800000000000000000e+01 6.564506497311367594e-02 2.330830700429558622e-05 8.223879551144838151e-01 1.243655656823516903e-06 4.434583497218393816e-03 1.567862031310540775e-06
1.900000000000000000e+01 6.920222589779508049e-02 2.457753046350144501e-05 8.213223221432228716e-01 1.315602822367560651e-06 4.434583497218393816e-03 1.567862031310540775e-06
2.000000000000000000e+01 7.276332098489136924e-02 2.584879361481955571e-05 8.204076102133648352e-01 1.387670001722844988e-06 4.434583497218393816e-03 1.567862031310540775e-06
2.100000000000000000e+01 7.632273272744855008e-02 2.712010215284970443e-05 8.195619377657259452e-01 1.459751817475620228e-06 4.434583497218393816e-03 1.567862031310540775e-06
2.200000000000000000e+01 7.988104074671342758e-02 2.839166236791009282e-05 8.187818314516823737e-01 1.531860247199885379e-06 4.434583497218393816e-03 1.567862031310540775e-06
2.300000000000000000e+01 8.343853252495342376e-02 2.966357689960842398e-05 8.180615577470020661e-01 1.604001616784449232e-06 4.434583497218393816e-03 1.567862031310540775e-06
2.400000000000000000e+01 8.699549423390415259e-02 3.093594802568702055e-05 8.173963264012688024e-01 1.676182151271069905e-06 4.434583497218393816e-03 1.567862031310540775e-06
2.500000000000000000e+01 9.055228386049031519e-02 3.220890367201104175e-05 8.167827613780596074e-01 1.748409403423761030e-06 4.434583497218393816e-03 1.567862031310540775e-06
2.600000000000000000e+01 9.410869245156712470e-02 3.348237018617418372e-05 8.162130889093477393e-01 1.820679922795549441e-06 4.434583497218393816e-03 1.567862031310540775e-06
2.700000000000000000e+01 9.766447153743679221e-02 3.475625977871208197e-05 8.156803568595781817e-01 1.892989384987452111e-06 4.434583497218393816e-03 1.567862031310540775e-06
