# n msd err_msd cf err_cf var err_var
1.000000000000000000e+00 6.104904730826697268e+00 1.365098197428855076e-01 1.000000000000000222e+00 3.469446951953614959e-18 6.104904730826696380e+00 1.365098197428854798e-01
2.000000000000000000e+00 1.219591524920461367e+01 2.729820741523293348e-01 9.988620451046008597e-01 2.236879311746010104e-05 6.104904730826696380e+00 1.365098197428854798e-01
3.000000000000000000e+00 1.832554828469477215e+01 4.105937271836357927e-01 1.000591551257683953e+00 4.488250702004206174e-05 6.104904730826696380e+00 1.365098197428854798e-01
4.000000000000000000e+00 2.437469788595264930e+01 5.466773134362606923e-01 9.981604529745031762e-01 6.726146715531882835e-05 6.104904730826696380e+00 1.365098197428854798e-01
5.000000000000000000e+00 3.054322388727838344e+01 6.857156188932550522e-01 1.000612629810600396e+00 9.003810460395334165e-05 6.104904730826696380e+00 1.365098197428854798e-01
6.000000000000000000e+00 3.664805541209455697e+01 8.236037972793142092e-01 1.000508526284893618e+00 1.127062587409756136e-04 6.104904730826696380e+00 1.365098197428854798e-01
7.000000000000000000e+00 4.280104851921985443e+01 9.628551067798996055e-01 1.001561166363640565e+00 1.355951148641181545e-04 6.104904730826696380e+00 1.365098197428854798e-01
8.000000000000000000e+00 4.893558906177517542e+01 1.101974043941487569e+00 1.001972823889353270e+00 1.584997569895520847e-04 6.104904730826696380e+00 1.365098197428854798e-01
9.000000000000000000e+00 5.505022070793077660e+01 1.240927809852036434e+00 1.001930654033612367e+00 1.814106580149114521e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.000000000000000000e+01 6.111960613081828342e+01 1.379144605900667786e+00 1.001155772705101032e+00 2.042401279823677146e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.100000000000000000e+01 6.732279600074458870e+01 1.520666955808769538e+00 1.002514281833370546e+00 2.275885843578308180e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.200000000000000000e+01 7.375326600115127462e+01 1.667618988533800417e+00 1.006748798070705275e+00 2.517896939034827263e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.300000000000000000e+01 8.011946101536287301e+01 1.813418793887589198e+00 1.009521971997366929e+00 2.758586786165163614e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.400000000000000000e+01 8.657213467540142915e+01 1.961478942485775034e+00 1.012910795177707435e+00 3.003107770699082872e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.500000000000000000e+01 9.279768373312197127e+01 2.104694207947404028e+00 1.013367533425382438e+00 3.240554869452125729e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.600000000000000000e+01 9.911442643383855966e+01 2.250277133827109921e+00 1.014700789814956039e+00 3.481952704122498661e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.700000000000000000e+01 1.054475546477435159e+02 2.396535332903261928e+00 1.016035074372119595e+00 3.724712975288561314e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.800000000000000000e+01 1.117319633044666176e+02 2.541990183110542478e+00 1.016777749757288074e+00 3.966531188116656503e-04 6.104904730826696380e+00 1.365098197428854798e-01
1.900000000000000000e+01 1.179318394641304053e+02 2.685824046510496554e+00 1.016713477578583769e+00 4.206104601890005398e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.000000000000000000e+01 1.242165929378213178e+02 2.831894559989537985e+00 1.017350789362772900e+00 4.449463583872652773e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.100000000000000000e+01 1.305121806783407408e+02 2.978519391113212844e+00 1.018011913471099872e+00 4.693986297864817482e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.200000000000000000e+01 1.365161267747519105e+02 3.118790521350349731e+00 1.016441494726022077e+00 4.928758800269106505e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.300000000000000000e+01 1.427722935055413132e+02 3.265126352969174750e+00 1.016803913521426628e+00 5.173375403988830692e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.400000000000000000e+01 1.491486136548214461e+02 3.414522947298569200e+00 1.017956191448929015e+00 5.423136667814734560e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.500000000000000000e+01 1.553098758812233768e+02 3.559308244848887970e+00 1.017607204233583973e+00 5.665860365521107299e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.600000000000000000e+01 1.614291309848849494e+02 3.703438255298442172e+00 1.017020412920860650e+00 5.907806611986037406e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.700000000000000000e+01 1.673688630861670958e+02 3.843753242992432817e+00 1.015387963331859433e+00 6.143917954156715268e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.800000000000000000e+01 1.731752342374256557e+02 3.981302876800760338e+00 1.013091942772422982e+00 6.375840636271200247e-04 6.104904730826696380e+00 1.365098197428854798e-01
2.900000000000000000e+01 1.789206373331335271e+02 4.117744933676847019e+00 1.010609898343643787e+00 6.606212109936883577e-04 6.104904730826696380e+00 1.365098197428854798e-01
3.000000000000000000e+01 1.844311603111495970e+02 4.249069642999507401e+00 1.007010856805376164e+00 6.828581949804077419e-04 6.104904730826696380e+00 1.365098197428854798e-01
3.100000000000000000e+01 1.899352202812725636e+02 4.380529205332869935e+00 1.003609861228545341e+00 7.051367157602196276e-04 6.104904730826696380e+00 1.365098197428854798e-01
3.200000000000000000e+01 1.954359713003260595e+02 4.512197333351856798e+00 1.000404489900722504e+00 7.274691869471969913e-04 6.104904730826696380e+00 1.365098197428854798e-01
3.300000000000000000e+01 2.010848682994761418e+02 4.647575662651823869e+00 9.981287384864290235e-01 7.504215335016179138e-04 6.104904730826696380e+00 1.365098197428854798e-01
