# dx dy dz
-1.747000000000000108e+00 1.747000000000000108e+00 -1.906999999999999911e-06
1.747000000000000108e+00 -1.747000000000000108e+00 1.906999999999999911e-06
-1.747000000000000108e+00 2.623000000000000128e-06 1.747000000000000108e+00
1.745370000000000088e+00 2.379999999999996695e-07 1.745999999999999774e+00
-1.747370000000000090e+00 -3.981099999999999543e-05 1.747999999999999776e+00
-1.746999999999999886e+00 1.702499999999999912e-04 -1.746999999999999442e+00
-1.745999999999999996e+00 9.500000000000014076e-06 1.744999999999999662e+00
-1.000000000000333955e-03 -1.749142800000000220e+00 1.748000000000000220e+00
-1.747999999999999332e+00 -9.999999999998898659e-04 1.746000000000000441e+00
-1.000000000000333955e-03 -1.749000000000000110e+00 -1.746000000000000441e+00
0.000000000000000000e+00 -1.747000000000000330e+00 -1.746000000000000441e+00
-1.751000000000000334e+00 1.748000000000000220e+00 -9.999999999994457767e-04
-1.746999999999999886e+00 -1.745999999999999552e+00 0.000000000000000000e+00
-1.750000000000000000e+00 -1.000000000000333955e-03 -1.748000000000000220e+00
-1.740000000000000213e+00 0.000000000000000000e+00 1.746000000000000441e+00
0.000000000000000000e+00 -1.748000000000000220e+00 1.746999999999999886e+00
-1.750000000000000000e+00 -1.746999999999999886e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.750000000000000000e+00 -1.749000000000000554e+00
0.000000000000000000e+00 -1.740000000000000213e+00 1.746000000000000441e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.748000000000000220e+00
1.740000000000000213e+00 0.000000000000000000e+00 -1.747000000000000774e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.746999999999999886e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.746000000000000441e+00
1.750000000000000000e+00 0.000000000000000000e+00 -1.748000000000000220e+00
-1.750000000000000000e+00 -1.750000000000000000e+00 0.000000000000000000e+00
-1.740000000000000213e+00 1.750000000000000000e+00 0.000000000000000000e+00
-1.750000000000000000e+00 1.740000000000000213e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.750000000000000000e+00 1.748000000000000220e+00
1.750000000000000000e+00 1.746999999999999886e+00 0.000000000000000000e+00
-1.750000000000000000e+00 1.746999999999999886e+00 0.000000000000000000e+00
-1.739999999999998437e+00 0.000000000000000000e+00 1.748000000000000220e+00
1.739999999999998437e+00 -1.747999999999999332e+00 9.999999999994457767e-04
0.000000000000000000e+00 -1.746000000000000441e+00 -1.748999999999999666e+00
1.750000000000000000e+00 0.000000000000000000e+00 -1.746999999999999886e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.745999999999999552e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.746999999999999886e+00
1.750000000000000000e+00 0.000000000000000000e+00 -1.746999999999999886e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.746000000000000441e+00
0.000000000000000000e+00 -1.749999999999998224e+00 1.753000000000000114e+00
1.750000000000000000e+00 0.000000000000000000e+00 -1.752000000000000668e+00
0.000000000000000000e+00 1.749999999999998224e+00 1.742000000000000881e+00
0.000000000000000000e+00 -1.749999999999998224e+00 -1.742000000000000881e+00
0.000000000000000000e+00 -1.740000000000001990e+00 -1.746999999999999886e+00
0.000000000000000000e+00 1.740000000000001990e+00 1.746999999999999886e+00
1.750000000000000000e+00 9.999999999998010480e-03 1.742000000000000881e+00
-1.750000000000000000e+00 -1.750000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 -1.743000000000000327e+00
1.745000000000000995e+00 0.000000000000000000e+00 -1.749000000000000554e+00
1.746999999999998998e+00 1.740000000000001990e+00 0.000000000000000000e+00
1.747000000000000774e+00 0.000000000000000000e+00 1.749000000000000554e+00
0.000000000000000000e+00 1.749999999999998224e+00 1.753000000000000114e+00
-1.748000000000000220e+00 0.000000000000000000e+00 -1.751000000000001222e+00
-1.747000000000000774e+00 0.000000000000000000e+00 1.751000000000001222e+00
0.000000000000000000e+00 1.750000000000000000e+00 1.740000000000000213e+00
-1.753999999999999559e+00 0.000000000000000000e+00 1.750000000000000000e+00
-1.740000000000000213e+00 0.000000000000000000e+00 -1.750000000000000000e+00
1.740000000000000213e+00 0.000000000000000000e+00 -1.740000000000000213e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.751000000000001222e+00
1.753999999999999559e+00 0.000000000000000000e+00 1.741000000000001435e+00
-1.753999999999999559e+00 0.000000000000000000e+00 -1.741000000000001435e+00
1.753999999999999559e+00 -1.750000000000000000e+00 -9.999999999994457767e-04
1.746000000000000441e+00 -1.740000000000000213e+00 0.000000000000000000e+00
1.000000000000333955e-03 -1.750000000000000000e+00 -1.748999999999999666e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.745000000000000107e+00
-1.748999999999999666e+00 -1.739999999999998437e+00 9.999999999994457767e-04
1.745999999999999552e+00 -1.750000000000000000e+00 -9.999999999994457767e-04
-1.745999999999999552e+00 1.750000000000000000e+00 9.999999999994457767e-04
-1.752000000000000668e+00 0.000000000000000000e+00 1.745000000000000995e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.743000000000000327e+00
0.000000000000000000e+00 1.739999999999998437e+00 1.743000000000000327e+00
1.752000000000000668e+00 0.000000000000000000e+00 1.750000000000000000e+00
9.999999999994457767e-04 -1.750000000000000000e+00 -1.750000000000000000e+00
0.000000000000000000e+00 -1.739999999999998437e+00 1.750000000000000000e+00
-1.753000000000000114e+00 1.739999999999998437e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.739999999999998437e+00 1.750000000000000000e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.750000000000000000e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.740000000000000213e+00
-1.750000000000000000e+00 0.000000000000000000e+00 -1.740000000000000213e+00
-1.740000000000000213e+00 0.000000000000000000e+00 -1.750000000000000000e+00
-1.750000000000000000e+00 1.750000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.750000000000000000e+00
1.750000000000000000e+00 -1.750000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 1.750000000000000000e+00
1.740000000000000213e+00 0.000000000000000000e+00 1.750000000000000000e+00
-1.750000000000000000e+00 0.000000000000000000e+00 1.740000000000000213e+00
0.000000000000000000e+00 1.750000000000000000e+00 1.750000000000000000e+00
1.750000000000000000e+00 1.750000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+00 -1.750000000000000000e+00 0.000000000000000000e+00
1.748000000000000220e+00 -1.750000000000000000e+00 0.000000000000000000e+00
1.746999999999999886e+00 0.000000000000000000e+00 1.750000000000000000e+00
1.000000000000333955e-03 -1.750000000000000000e+00 -1.750000000000000000e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.740000000000001990e+00
0.000000000000000000e+00 -1.750000000000000000e+00 1.740000000000001990e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.740000000000001990e+00
-1.750000000000000000e+00 1.750000000000000000e+00 0.000000000000000000e+00
1.745999999999999552e+00 1.739999999999998437e+00 0.000000000000000000e+00
1.748000000000000220e+00 0.000000000000000000e+00 1.750000000000000000e+00
1.747000000000000108e+00 -1.739999999999998437e+00 0.000000000000000000e+00
-1.747999999999999998e+00 -1.000000000000156319e-02 -1.750000000000000000e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.749999999999998224e+00
0.000000000000000000e+00 -1.739999999999998437e+00 -1.750000000000000000e+00
1.750000000000000000e+00 -1.750000000000000000e+00 0.000000000000000000e+00
-1.747000000000000330e+00 0.000000000000000000e+00 1.750000000000000000e+00
-1.746999999999999886e+00 1.750000000000000000e+00 0.000000000000000000e+00
1.746999999999999886e+00 0.000000000000000000e+00 -1.750000000000000000e+00
0.000000000000000000e+00 1.750000000000000000e+00 -1.740000000000000213e+00
1.749000000000000110e+00 1.739999999999998437e+00 -9.999999999999786837e-03
0.000000000000000000e+00 1.750000000000000000e+00 -1.740000000000000213e+00
