# t dx dy dz
9.219999999999999816e-06 1.770000100000000076e+00 0.000000000000000000e+00 1.770002400000000087e+00
1.351999999999999930e-05 0.000000000000000000e+00 1.769998600000000089e+00 1.769998600000000089e+00
7.870000000000000883e-06 -1.770000100000000076e+00 0.000000000000000000e+00 1.770000099999999854e+00
6.859999999999998694e-06 -1.769998600000000089e+00 0.000000000000000000e+00 1.770000000000000462e+00
8.339999999999998077e-06 0.000000000000000000e+00 -1.769998600000000089e+00 1.769999999999999574e+00
3.250000000000004459e-06 0.000000000000000000e+00 1.769998600000000089e+00 -1.769999999999999574e+00
7.969999999999999925e-06 1.769998600000000089e+00 -1.769998600000000089e+00 0.000000000000000000e+00
3.499999999999996983e-06 1.770000100000000076e+00 1.769998600000000089e+00 0.000000000000000000e+00
2.741000000000000353e-05 0.000000000000000000e+00 -1.769998600000000089e+00 1.769999999999999574e+00
1.789999999999994720e-06 -1.770000100000000076e+00 0.000000000000000000e+00 -1.769999999999999574e+00
1.800000000000016647e-07 -1.769998600000000089e+00 1.769998600000000089e+00 0.000000000000000000e+00
4.659999999999999429e-06 -1.770002400000000087e+00 -1.769998600000000089e+00 0.000000000000000000e+00
4.180000000000004025e-06 0.000000000000000000e+00 -1.770000500000000088e+00 -1.769999999999999574e+00
1.675000000000000057e-05 0.000000000000000000e+00 -1.770001399999999947e+00 1.769999999999999574e+00
2.290000000000000098e-05 0.000000000000000000e+00 -1.769998600000000089e+00 1.769999999999999574e+00
5.299999999999993302e-06 -1.770000500000000088e+00 0.000000000000000000e+00 -1.769999999999999574e+00
9.699999999999991832e-06 -1.769998600000000089e+00 1.769998600000000089e+00 0.000000000000000000e+00
7.000000000000007518e-06 -1.770000500000000976e+00 0.000000000000000000e+00 -1.769999999999999574e+00
1.200000000000002063e-06 -1.770001399999999947e+00 0.000000000000000000e+00 -1.770000099999999854e+00
1.079999999999999146e-05 1.770001399999999947e+00 0.000000000000000000e+00 1.770000099999999854e+00
6.000000000000010316e-06 0.000000000000000000e+00 -1.769998600000000089e+00 1.769999999999999574e+00
4.099999999999991238e-06 1.770000500000000088e+00 0.000000000000000000e+00 1.769999999999999574e+00
1.360000000000000531e-05 1.769998600000000089e+00 1.769998600000000089e+00 0.000000000000000000e+00
1.899999999999991973e-06 -1.769998600000000089e+00 0.000000000000000000e+00 1.769999999999999574e+00
1.170000000000001334e-05 -1.770000500000000088e+00 -1.769998600000000089e+00 0.000000000000000000e+00
1.639999999999999206e-05 -1.770001399999999947e+00 0.000000000000000000e+00 1.770000500000000088e+00
1.600000000000011786e-06 1.770001399999999947e+00 1.769998600000000089e+00 0.000000000000000000e+00
1.899999999999997394e-05 -1.770001399999999947e+00 -1.769998600000000089e+00 0.000000000000000000e+00
1.500000000000036460e-06 -1.769998599999999200e+00 -1.769999499999999948e+00 0.000000000000000000e+00
2.930000000000000746e-05 -1.769999500000000836e+00 0.000000000000000000e+00 1.770000500000000088e+00
6.800000000000002657e-06 0.000000000000000000e+00 -1.770000500000000088e+00 -1.770000500000000088e+00
4.099999999999991238e-06 1.769999500000000836e+00 0.000000000000000000e+00 -1.770000500000000088e+00
5.299999999999966196e-06 1.769998600000000977e+00 1.770000500000000088e+00 0.000000000000000000e+00
3.700000000000035726e-06 1.770001399999999947e+00 -1.770000500000000088e+00 0.000000000000000000e+00
3.699999999999981515e-06 0.000000000000000000e+00 1.770000500000000088e+00 1.770000500000000088e+00
2.399999999999998706e-05 0.000000000000000000e+00 1.769999499999999948e+00 1.770000500000000088e+00
5.200000000000017976e-06 -1.769998600000000977e+00 -1.770000500000000088e+00 0.000000000000000000e+00
3.199999999999969362e-06 -1.769999500000000836e+00 -1.770000500000000088e+00 0.000000000000000000e+00
7.000000000000170149e-07 1.769999500000000836e+00 -1.769999999999999574e+00 0.000000000000000000e+00
3.500000000000030864e-06 0.000000000000000000e+00 1.769999999999999574e+00 1.769999500000000836e+00
1.499999999999982250e-06 -1.769999500000000836e+00 0.000000000000000000e+00 -1.769999500000000836e+00
4.000000000000097228e-07 0.000000000000000000e+00 1.770000500000000088e+00 1.769999500000000836e+00
1.099999999999999633e-05 1.769999500000000836e+00 1.770000500000000088e+00 0.000000000000000000e+00
2.300000000000001696e-06 1.769998600000000977e+00 1.769999499999999948e+00 0.000000000000000000e+00
2.800000000000013849e-06 1.770001399999999947e+00 1.769998600000000089e+00 0.000000000000000000e+00
1.819999999999995450e-05 1.770000500000000088e+00 1.770001399999999947e+00 0.000000000000000000e+00
2.700000000000011419e-06 -1.770000500000000088e+00 0.000000000000000000e+00 -1.769999500000000836e+00
4.000000000000097228e-07 -1.770001399999999947e+00 -1.770001399999999947e+00 0.000000000000000000e+00
2.000000000000048614e-07 0.000000000000000000e+00 -1.769998600000000089e+00 1.769999500000000836e+00
