# dx dy dz
1.769999499999999948e+00 0.000000000000000000e+00 1.770000000000000018e+00
0.000000000000000000e+00 -1.770000500000000088e+00 -1.770000000000000018e+00
-1.769999499999999948e+00 -1.770000500000000088e+00 0.000000000000000000e+00
-1.770000500000000088e+00 0.000000000000000000e+00 1.770000000000000018e+00
1.770000500000000088e+00 0.000000000000000000e+00 -1.770000000000000018e+00
-1.770000500000000088e+00 1.770000500000000088e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.770000500000000088e+00 -1.770000000000000018e+00
-1.770000500000000088e+00 0.000000000000000000e+00 -1.770000100000000298e+00
1.770000500000000088e+00 0.000000000000000000e+00 1.770000100000000076e+00
1.770000500000000088e+00 1.769999499999999948e+00 0.000000000000000000e+00
-1.770000500000000088e+00 1.769998600000000089e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.769998600000000089e+00 1.770000000000000018e+00
0.000000000000000000e+00 -1.769999499999999948e+00 1.770000000000000018e+00
1.770000500000000088e+00 0.000000000000000000e+00 1.770000000000000240e+00
-1.770000500000000088e+00 0.000000000000000000e+00 -1.770000000000000018e+00
-1.770000500000000088e+00 0.000000000000000000e+00 1.770000000000000018e+00
0.000000000000000000e+00 -1.770000500000000088e+00 1.770000500000000088e+00
0.000000000000000000e+00 1.770000500000000088e+00 -1.770000500000000088e+00
0.000000000000000000e+00 -1.770000500000000088e+00 1.770000500000000088e+00
-1.769999999999999574e+00 0.000000000000000000e+00 -1.770000500000000088e+00
1.770000000000000018e+00 0.000000000000000000e+00 -1.770000000000000018e+00
0.000000000000000000e+00 -1.770000500000000088e+00 -1.770000000000000018e+00
0.000000000000000000e+00 -1.769999999999999574e+00 -1.770000000000000018e+00
0.000000000000000000e+00 -1.769999999999999574e+00 1.770000000000000018e+00
0.000000000000000000e+00 -1.769999999999999574e+00 -1.770000000000000018e+00
-1.770000000000000018e+00 1.769999999999999574e+00 0.000000000000000000e+00
-1.769999999999999574e+00 0.000000000000000000e+00 -1.770000100000000298e+00
-1.769999999999999574e+00 0.000000000000000000e+00 -1.769998600000000089e+00
0.000000000000000000e+00 -1.769999999999999574e+00 1.769998600000000089e+00
0.000000000000000000e+00 -1.770000100000000742e+00 1.770000100000000076e+00
1.769999999999999574e+00 -1.769998600000000977e+00 0.000000000000000000e+00
1.769999999999999574e+00 -1.770002399999999199e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.770002399999999199e+00 -1.770000100000000076e+00
