# t dx dy dz
1.120999999999999929e-11 0.000000000000000000e+00 1.770000500000000088e+00 1.769998600000000089e+00
4.668790000000000377e-09 0.000000000000000000e+00 -1.770000500000000088e+00 1.770001399999999947e+00
8.069999999999993846e-10 0.000000000000000000e+00 1.770000500000000088e+00 -1.770001399999999947e+00
6.400000000000002715e-10 -1.770000000000000018e+00 0.000000000000000000e+00 1.770001399999999947e+00
6.599999999999997888e-10 1.770000000000000018e+00 1.769998600000000089e+00 0.000000000000000000e+00
1.790000000000003124e-10 0.000000000000000000e+00 -1.769998600000000089e+00 1.770000500000000088e+00
2.617000000000000372e-09 0.000000000000000000e+00 -1.770000500000000088e+00 1.769998600000000089e+00
1.276999999999998796e-09 0.000000000000000000e+00 1.770000500000000088e+00 -1.769998600000000089e+00
1.200000000000004128e-10 1.770000500000000088e+00 1.769998600000000089e+00 0.000000000000000000e+00
1.500000000000000197e-09 -1.770000500000000088e+00 -1.769998600000000089e+00 0.000000000000000000e+00
6.199999999999999269e-10 0.000000000000000000e+00 1.769998600000000089e+00 1.769998600000000089e+00
1.399999999999999301e-10 -1.770000000000000018e+00 1.770000500000000088e+00 0.000000000000000000e+00
6.800000000000001333e-10 -1.770000000000000018e+00 -1.770000500000000088e+00 0.000000000000000000e+00
1.009999999999998787e-09 -1.770000000000000462e+00 0.000000000000000000e+00 1.770000500000000088e+00
5.000000000000044772e-11 -1.770000099999999854e+00 -1.769998600000000089e+00 0.000000000000000000e+00
2.400000000000008256e-10 -1.769998600000000089e+00 0.000000000000000000e+00 -1.770000500000000088e+00
2.299999999999994126e-10 1.769998600000000089e+00 0.000000000000000000e+00 1.770000500000000088e+00
9.299999999999990632e-10 1.770000099999999854e+00 0.000000000000000000e+00 1.770002399999999199e+00
1.240000000000003163e-09 1.770000000000000018e+00 0.000000000000000000e+00 1.769998600000000977e+00
4.399999999999993078e-10 -1.770000000000000018e+00 0.000000000000000000e+00 1.770000100000000742e+00
1.279999999999998889e-09 0.000000000000000000e+00 1.769998600000000089e+00 -1.770000100000000742e+00
1.959999999999999022e-09 0.000000000000000000e+00 -1.769998600000000089e+00 1.770000100000000742e+00
1.000000000000141303e-11 -1.770000099999999854e+00 0.000000000000000000e+00 1.769999999999999574e+00
9.299999999999990632e-10 -1.769998600000000089e+00 0.000000000000000000e+00 -1.769999999999999574e+00
4.199999999999997904e-10 0.000000000000000000e+00 1.769998600000000089e+00 -1.770000100000000742e+00
4.869999999999999933e-09 -1.770002399999999199e+00 -1.769998600000000089e+00 0.000000000000000000e+00
5.000000000000044772e-11 0.000000000000000000e+00 1.769998600000000089e+00 1.770000100000000742e+00
6.200000000000015813e-10 0.000000000000000000e+00 1.770000500000000088e+00 1.769999999999999574e+00
1.599999999999997784e-09 -1.770000500000000088e+00 -1.770000500000000088e+00 0.000000000000000000e+00
3.600000000000012384e-10 0.000000000000000000e+00 1.770000500000000088e+00 -1.769999999999999574e+00
1.689999999999997266e-09 1.770000500000000088e+00 0.000000000000000000e+00 1.769999999999999574e+00
9.700000000000014066e-10 -1.770000500000000088e+00 0.000000000000000000e+00 1.769999999999999574e+00
9.799999999999995110e-10 1.770000500000000088e+00 0.000000000000000000e+00 -1.769999999999999574e+00
1.940000000000002813e-09 1.770002399999999199e+00 1.770002400000000087e+00 0.000000000000000000e+00
2.239999999999998882e-09 -1.770002399999999199e+00 0.000000000000000000e+00 -1.769999999999999574e+00
1.170000000000003198e-09 0.000000000000000000e+00 1.769998600000000977e+00 -1.770000100000000742e+00
4.399999999999959990e-10 0.000000000000000000e+00 -1.769998600000000089e+00 1.770000100000000742e+00
5.699999999999978249e-10 0.000000000000000000e+00 1.769998600000000089e+00 -1.770000100000000742e+00
2.900000000000045820e-10 -1.770000500000000088e+00 0.000000000000000000e+00 -1.769998600000000977e+00
1.539999999999999232e-09 -1.769998599999999200e+00 0.000000000000000000e+00 1.769998600000000977e+00
6.000000000000186076e-11 -1.770000500000000088e+00 0.000000000000000000e+00 1.770000100000000742e+00
1.339999999999997441e-09 0.000000000000000000e+00 -1.769998600000000089e+00 1.769999999999999574e+00
4.500000000000007208e-10 0.000000000000000000e+00 -1.770002400000000087e+00 1.769999999999999574e+00
3.499999999999998253e-10 -1.770001399999999947e+00 -1.770000500000000088e+00 0.000000000000000000e+00
6.299999999999996856e-10 1.770001399999999947e+00 0.000000000000000000e+00 -1.769999999999999574e+00
1.080000000000000406e-09 1.770000500000000088e+00 0.000000000000000000e+00 1.769999999999999574e+00
1.080000000000000406e-09 -1.770000500000000088e+00 0.000000000000000000e+00 -1.769999999999999574e+00
2.700000000000017560e-10 -1.770001399999999947e+00 -1.769998600000000089e+00 0.000000000000000000e+00
2.599999999999970342e-10 0.000000000000000000e+00 -1.770000500000000088e+00 1.769999999999999574e+00
1.129999999999997545e-09 0.000000000000000000e+00 1.770000500000000088e+00 -1.769999999999999574e+00
1.000000000000472176e-11 -1.769998600000000977e+00 0.000000000000000000e+00 1.769999999999999574e+00
1.519999999999996405e-09 -1.769999500000000836e+00 0.000000000000000000e+00 -1.769999999999999574e+00
2.799999999999998603e-10 0.000000000000000000e+00 1.769998600000000089e+00 -1.769999999999999574e+00
7.500000000000034071e-10 -1.770000499999998311e+00 0.000000000000000000e+00 1.769999999999999574e+00
3.999999999999969643e-10 -1.770000500000001864e+00 0.000000000000000000e+00 -1.769999999999999574e+00
6.000000000000186076e-11 0.000000000000000000e+00 1.770000500000000088e+00 1.769999999999999574e+00
1.000000000000002337e-09 1.770000500000001864e+00 1.770002400000000087e+00 0.000000000000000000e+00
5.599999999999997205e-10 1.770000500000001864e+00 1.769998600000000089e+00 0.000000000000000000e+00
2.099999999999998952e-10 -1.770000500000001864e+00 0.000000000000000000e+00 1.769999999999999574e+00
1.039999999999994754e-09 0.000000000000000000e+00 1.770000100000000742e+00 -1.769999999999999574e+00
8.900000000000033373e-10 0.000000000000000000e+00 -1.770000100000000742e+00 -1.769999999999999574e+00
1.530000000000001127e-09 -1.770000500000001864e+00 1.770000100000000742e+00 0.000000000000000000e+00
1.810000000000000987e-09 -1.769999999999999574e+00 -1.770000100000000742e+00 0.000000000000000000e+00
4.299999999999978947e-10 -1.769999999999999574e+00 1.770000100000000742e+00 0.000000000000000000e+00
6.499999999999958942e-10 0.000000000000000000e+00 -1.770000100000000742e+00 -1.770000100000000742e+00
2.700000000000017560e-10 -1.769999999999999574e+00 0.000000000000000000e+00 1.770000100000000742e+00
3.740000000000005696e-09 1.769999999999999574e+00 -1.769998600000000089e+00 0.000000000000000000e+00
1.309999999999989893e-09 0.000000000000000000e+00 1.769998600000000089e+00 -1.770000100000000742e+00
2.200000000000112344e-10 0.000000000000000000e+00 -1.769998600000000089e+00 -1.769998600000000977e+00
1.599999999999961388e-10 1.769999999999999574e+00 1.769998600000000089e+00 0.000000000000000000e+00
1.349999999999995545e-09 -1.769999999999999574e+00 -1.769998600000000089e+00 0.000000000000000000e+00
2.500000000000055473e-10 1.769999999999999574e+00 0.000000000000000000e+00 -1.770002399999999199e+00
7.899999999999958244e-10 0.000000000000000000e+00 1.769998600000000089e+00 -1.770000500000000088e+00
4.700000000000035469e-10 -1.769999999999999574e+00 0.000000000000000000e+00 -1.769998600000000089e+00
1.099999999999923823e-10 -1.769999999999999574e+00 1.770000100000000742e+00 0.000000000000000000e+00
6.999999999999996507e-11 0.000000000000000000e+00 1.769999999999999574e+00 1.769998600000000089e+00
1.520000000000003023e-09 -1.770000100000000742e+00 -1.769999999999999574e+00 0.000000000000000000e+00
6.600000000000072334e-10 1.770000100000000742e+00 1.769999999999999574e+00 0.000000000000000000e+00
4.699999999999903120e-10 1.769999999999999574e+00 1.769999999999999574e+00 0.000000000000000000e+00
2.000000000000944351e-11 0.000000000000000000e+00 -1.769999999999999574e+00 -1.769998600000000089e+00
2.160000000000000813e-09 -1.769999999999999574e+00 0.000000000000000000e+00 -1.770000500000000088e+00
1.299999999999885909e-10 1.769999999999999574e+00 0.000000000000000000e+00 1.770000500000000088e+00
8.600000000000090243e-10 -1.769999999999999574e+00 1.769999999999999574e+00 0.000000000000000000e+00
7.799999999999977201e-10 0.000000000000000000e+00 -1.769999999999999574e+00 -1.770000500000000088e+00
1.090000000000005128e-09 -1.770000100000000742e+00 0.000000000000000000e+00 -1.770001399999999947e+00
1.139999999999995650e-09 0.000000000000000000e+00 -1.769999999999999574e+00 1.770001399999999947e+00
2.700000000000017560e-10 -1.769998600000000977e+00 0.000000000000000000e+00 -1.770001399999999947e+00
5.999999999999921378e-10 0.000000000000000000e+00 1.769999999999999574e+00 -1.769998600000000089e+00
1.380000000000003093e-09 1.769998600000000977e+00 0.000000000000000000e+00 -1.769999499999999948e+00
1.269999999999997476e-09 0.000000000000000000e+00 1.769999999999999574e+00 -1.770000500000000088e+00
8.800000000000052330e-10 1.770000100000000742e+00 0.000000000000000000e+00 1.770000500000000088e+00
3.699999999999960340e-10 -1.770000100000000742e+00 0.000000000000000000e+00 -1.770000500000000088e+00
8.000000000000071636e-10 1.770000100000000742e+00 0.000000000000000000e+00 1.770000500000000088e+00
1.740000000000001022e-09 1.769999999999999574e+00 1.769999999999999574e+00 0.000000000000000000e+00
1.839999999999995300e-09 0.000000000000000000e+00 1.770000500000001864e+00 1.769999499999999948e+00
3.799999999999941383e-10 0.000000000000000000e+00 1.770000500000001864e+00 1.769998600000000089e+00
1.000000000000075129e-10 0.000000000000000000e+00 1.769999500000000836e+00 1.770001399999999947e+00
2.999999999999431293e-11 1.769999999999999574e+00 -1.769999500000000836e+00 0.000000000000000000e+00
9.799999999999995110e-10 -1.769999999999999574e+00 0.000000000000000000e+00 1.770000500000000088e+00
1.900000000000036866e-10 1.769999999999999574e+00 -1.770000500000001864e+00 0.000000000000000000e+00
1.300000000000018258e-10 0.000000000000000000e+00 1.770000500000001864e+00 1.769998600000000089e+00
3.699999999999960340e-10 -1.769999999999999574e+00 1.769999500000000836e+00 0.000000000000000000e+00
6.999999999999996507e-10 1.769999999999999574e+00 -1.769999500000000836e+00 0.000000000000000000e+00
2.000000000000944351e-11 0.000000000000000000e+00 -1.770000500000001864e+00 -1.769998600000000089e+00
1.289999999999993684e-09 1.769999999999999574e+00 0.000000000000000000e+00 1.769998600000000089e+00
7.600000000000015114e-10 -1.769999999999999574e+00 0.000000000000000000e+00 1.770000500000000088e+00
2.039999999999997091e-09 1.769999999999999574e+00 -1.770000500000000088e+00 0.000000000000000000e+00
3.400000000000017210e-10 0.000000000000000000e+00 1.770000500000000088e+00 -1.770000500000000088e+00
2.399999999999942081e-10 -1.769999999999999574e+00 0.000000000000000000e+00 -1.769998600000000089e+00
9.000000000000940858e-11 -1.769999999999999574e+00 0.000000000000000000e+00 1.769998600000000089e+00
1.159999999999991858e-09 0.000000000000000000e+00 -1.770000500000000088e+00 -1.769998600000000089e+00
4.500000000000073382e-10 -1.769999999999999574e+00 0.000000000000000000e+00 -1.770000500000000088e+00
2.150000000000002709e-09 -1.770000100000000742e+00 0.000000000000000000e+00 1.770000500000000088e+00
7.699999999999996158e-10 -1.769998600000000977e+00 0.000000000000000000e+00 1.769998600000000089e+00
1.099999999999923823e-10 1.769998600000000977e+00 0.000000000000000000e+00 -1.769998600000000089e+00
4.700000000000035469e-10 -1.769998600000000977e+00 -1.769999999999999574e+00 0.000000000000000000e+00
7.099999999999977550e-10 1.769998600000000977e+00 0.000000000000000000e+00 1.769998600000000089e+00
1.200000000000037215e-10 0.000000000000000000e+00 1.769999999999999574e+00 -1.769998600000000089e+00
2.999999999999960689e-10 0.000000000000000000e+00 -1.769999999999999574e+00 -1.770000500000000088e+00
1.000000000000075129e-10 0.000000000000000000e+00 -1.769999999999999574e+00 -1.770001399999999947e+00
1.599999999999987857e-09 0.000000000000000000e+00 1.769999999999999574e+00 1.770001399999999947e+00
6.999999999999996507e-10 1.770000100000000742e+00 1.769999999999999574e+00 0.000000000000000000e+00
8.000000000000071636e-10 -1.770000100000000742e+00 1.770000500000000088e+00 0.000000000000000000e+00
1.100000000000003232e-09 0.000000000000000000e+00 1.770000500000001864e+00 1.770000500000000088e+00
1.199999999999997510e-09 -1.769998600000000977e+00 0.000000000000000000e+00 -1.770000500000000088e+00
6.999999999999996507e-10 0.000000000000000000e+00 1.769999500000000836e+00 -1.770001399999999947e+00
4.000000000000035818e-10 0.000000000000000000e+00 -1.769999500000000836e+00 -1.769998600000000089e+00
5.999999999999921378e-10 -1.770002400000002751e+00 0.000000000000000000e+00 1.769998600000000089e+00
1.700000000000008605e-09 1.770002400000002751e+00 1.769999500000000836e+00 0.000000000000000000e+00
6.999999999999996507e-10 -1.770002400000002751e+00 0.000000000000000000e+00 -1.769998600000000089e+00
2.999999999999960689e-10 1.770002400000002751e+00 1.769998600000000977e+00 0.000000000000000000e+00
6.999999999999996507e-10 1.769998600000000977e+00 0.000000000000000000e+00 -1.769999499999999948e+00
6.999999999999996507e-10 1.770000100000000742e+00 1.770001400000001723e+00 0.000000000000000000e+00
2.199999999999993230e-09 0.000000000000000000e+00 -1.770001399999998171e+00 -1.770000500000000088e+00
8.000000000000071636e-10 1.769999999999999574e+00 0.000000000000000000e+00 1.770000500000000088e+00
1.100000000000003232e-09 -1.769999999999999574e+00 -1.769998600000000977e+00 0.000000000000000000e+00
6.999999999999996507e-10 1.769999999999999574e+00 1.769998600000000977e+00 0.000000000000000000e+00
2.999999999999960689e-10 1.769999999999999574e+00 -1.769998600000000977e+00 0.000000000000000000e+00
6.000000000000053727e-10 -1.769999999999999574e+00 1.769998600000000977e+00 0.000000000000000000e+00
5.999999999999921378e-10 1.769999999999999574e+00 0.000000000000000000e+00 1.769999499999999948e+00
8.000000000000071636e-10 0.000000000000000000e+00 -1.769998600000000977e+00 -1.769999499999999948e+00
9.999999999999427800e-11 1.769999999999999574e+00 1.769998600000000977e+00 0.000000000000000000e+00
1.199999999999997510e-09 1.770000500000001864e+00 0.000000000000000000e+00 -1.770000500000000088e+00
2.999999999999960689e-10 1.770000500000001864e+00 0.000000000000000000e+00 1.770000500000000088e+00
6.000000000000186076e-10 0.000000000000000000e+00 1.770001399999998171e+00 -1.770000500000000088e+00
1.599999999999987857e-09 1.769999500000000836e+00 1.770000500000001864e+00 0.000000000000000000e+00
1.599999999999987857e-09 -1.769999500000000836e+00 -1.770000500000001864e+00 0.000000000000000000e+00
1.200000000000010745e-09 0.000000000000000000e+00 1.770000500000001864e+00 -1.770000500000000088e+00
9.999999999999957196e-10 -1.770000500000001864e+00 0.000000000000000000e+00 1.770000500000000088e+00
9.000000000000146765e-10 0.000000000000000000e+00 -1.770000500000001864e+00 -1.770000500000000088e+00
4.000000000000035818e-10 0.000000000000000000e+00 -1.770001399999998171e+00 -1.770000000000000462e+00
4.999999999999846249e-10 1.770000500000001864e+00 0.000000000000000000e+00 -1.769999999999999574e+00
9.000000000000146765e-10 1.769999500000000836e+00 0.000000000000000000e+00 -1.769999999999999574e+00
1.299999999999991788e-09 1.769998600000000977e+00 0.000000000000000000e+00 1.769999999999999574e+00
8.999999999999882067e-10 1.770001399999999947e+00 0.000000000000000000e+00 1.769999999999999574e+00
1.100000000000003232e-09 -1.770001399999999947e+00 0.000000000000000000e+00 -1.769999999999999574e+00
6.000000000000186076e-10 -1.769998600000000977e+00 -1.769998600000000977e+00 0.000000000000000000e+00
2.999999999999960689e-10 -1.769999500000000836e+00 1.769998600000000977e+00 0.000000000000000000e+00
2.999999999999960689e-10 1.769999500000000836e+00 1.770001399999998171e+00 0.000000000000000000e+00
1.500000000000006814e-09 0.000000000000000000e+00 -1.770001399999998171e+00 -1.769999999999999574e+00
5.999999999999921378e-10 -1.769999500000000836e+00 0.000000000000000000e+00 -1.770000100000000742e+00
4.000000000000035818e-10 0.000000000000000000e+00 1.769998600000000977e+00 -1.770000100000000742e+00
4.000000000000035818e-10 0.000000000000000000e+00 -1.769998600000000977e+00 -1.769998600000000977e+00
1.199999999999984276e-09 -1.770000500000001864e+00 0.000000000000000000e+00 1.769998600000000977e+00
9.000000000000146765e-10 -1.770000500000001864e+00 -1.769999500000000836e+00 0.000000000000000000e+00
4.999999999999846249e-10 0.000000000000000000e+00 -1.770000499999998311e+00 -1.769998600000000977e+00
1.300000000000018258e-09 1.770000500000001864e+00 0.000000000000000000e+00 1.769998600000000977e+00
1.099999999999976763e-09 1.770000500000001864e+00 0.000000000000000000e+00 -1.769998600000000977e+00
1.000000000000075129e-10 0.000000000000000000e+00 -1.770000500000000088e+00 -1.770002399999999199e+00
2.000000000000150258e-10 0.000000000000000000e+00 1.770000500000000088e+00 -1.770000499999998311e+00
1.999999999999885560e-10 1.769999500000000836e+00 -1.770000500000000088e+00 0.000000000000000000e+00
5.000000000000110947e-10 -1.769999500000000836e+00 1.770000500000000088e+00 0.000000000000000000e+00
1.299999999999991788e-09 0.000000000000000000e+00 -1.770000500000000088e+00 -1.769998600000000977e+00
1.999999999999885560e-10 -1.770000500000001864e+00 1.770000500000000088e+00 0.000000000000000000e+00
1.000000000000075129e-10 0.000000000000000000e+00 1.770000500000001864e+00 -1.770000500000001864e+00
1.299999999999991788e-09 1.769999500000000836e+00 0.000000000000000000e+00 1.770000500000001864e+00
5.000000000000005068e-09 0.000000000000000000e+00 1.769998600000000977e+00 1.769998600000000977e+00
1.000000000000075129e-10 1.769998600000000977e+00 0.000000000000000000e+00 1.770000500000000088e+00
5.999999999999921378e-10 1.770000500000000088e+00 -1.769998600000000977e+00 0.000000000000000000e+00
9.999999999999957196e-10 0.000000000000000000e+00 -1.769998600000000977e+00 1.769998600000000977e+00
