# n msd err cf err var err
1.000000000000000000e+00 3.652005536284060397e-03 1.390445890671680061e-06 1.000000000000000222e+00 0.000000000000000000e+00 3.652005536284059529e-03 1.390445890671679849e-06
2.000000000000000000e+00 5.714217129119887259e-03 2.176232795359072593e-06 7.823396038624494953e-01 8.639372973255399155e-08 3.652005536284059529e-03 1.390445890671679849e-06
3.000000000000000000e+00 8.284615599790762577e-03 3.156072664654785366e-06 7.561704126203137033e-01 1.670804356973061899e-07 3.652005536284059529e-03 1.390445890671679849e-06
4.000000000000000000e+00 1.029826237956836185e-02 3.924322376121848780e-06 7.049730810407610626e-01 2.337538798069617519e-07 3.652005536284059529e-03 1.390445890671679849e-06
5.000000000000000000e+00 1.266120354716786939e-02 4.826161832460739429e-06 6.933835899959083227e-01 3.066816608114341943e-07 3.652005536284059529e-03 1.390445890671679849e-06
6.000000000000000000e+00 1.469787667513548605e-02 5.604123897678856275e-06 6.707673600667956038e-01 3.710099007555959981e-07 3.652005536284059529e-03 1.390445890671679849e-06
7.000000000000000000e+00 1.696469763810902476e-02 6.470317102856343647e-06 6.636157064760453972e-01 4.406572287401121699e-07 3.652005536284059529e-03 1.390445890671679849e-06
8.000000000000000000e+00 1.901952419480247916e-02 7.256137038476623499e-06 6.509958708248213544e-01 5.045436976112443931e-07 3.652005536284059529e-03 1.390445890671679849e-06
9.000000000000000000e+00 2.124399653012643344e-02 8.107155621245797864e-06 6.463418621497230010e-01 5.727490857736935587e-07 3.652005536284059529e-03 1.390445890671679849e-06
1.000000000000000000e+01 2.332078276087875407e-02 8.902294242516498198e-06 6.385746825731213328e-01 6.368777258884963503e-07 3.652005536284059529e-03 1.390445890671679849e-06
1.100000000000000000e+01 2.552283763188547411e-02 9.745730243007292364e-06 6.353380200228068153e-01 7.043629817305385500e-07 3.652005536284059529e-03 1.390445890671679849e-06
1.200000000000000000e+01 2.761651641505287122e-02 1.054826434292251196e-05 6.301678201349986130e-01 7.688303341110947009e-07 3.652005536284059529e-03 1.390445890671679849e-06
1.300000000000000000e+01 2.980244961902610984e-02 1.138651511918002547e-05 6.277362128188612722e-01 8.358532944012771949e-07 3.652005536284059529e-03 1.390445890671679849e-06
1.400000000000000000e+01 3.190528047991284671e-02 1.219349657496626287e-05 6.240266021137815811e-01 9.005507952887979208e-07 3.652005536284059529e-03 1.390445890671679849e-06
1.500000000000000000e+01 3.406626397381533333e-02 1.302318183295636144e-05 6.218731714278467049e-01 9.669006334172004425e-07 3.652005536284059529e-03 1.390445890671679849e-06
1.600000000000000000e+01 3.616492759822575315e-02 1.382952215365561758e-05 6.189223845451746753e-01 1.031501275256485241e-06 3.652005536284059529e-03 1.390445890671679849e-06
1.700000000000000000e+01 3.830816009677218831e-02 1.465338363358707641e-05 6.170366281689543264e-01 1.097396781283913310e-06 3.652005536284059529e-03 1.390445890671679849e-06
1.800000000000000000e+01 4.041130781177234427e-02 1.546239123318560041e-05 6.147506168607705934e-01 1.162174080206265506e-06 3.652005536284059529e-03 1.390445890671679849e-06
1.900000000000000000e+01 4.254957082773359184e-02 1.628531400004399460e-05 6.132113092235783602e-01 1.227994976491038047e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.000000000000000000e+01 4.465766840421413197e-02 1.709717167235426572e-05 6.114129340785942057e-01 1.292983232829924046e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.100000000000000000e+01 4.678720441587870538e-02 1.791771704637280016e-05 6.100653717269032272e-01 1.358632140008469817e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.200000000000000000e+01 4.889983560314525857e-02 1.873226966429691412e-05 6.086299098014508191e-01 1.423832972765827468e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.300000000000000000e+01 5.102954575336497017e-02 1.955384659829063451e-05 6.075226010138347066e-01 1.489575872773431749e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.400000000000000000e+01 5.314054431080549035e-02 2.036873575509126749e-05 6.062940826033125230e-01 1.554818955791773117e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.500000000000000000e+01 5.525882671064191731e-02 2.118689841337789912e-05 6.052436247604174868e-01 1.620322196384819156e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.600000000000000000e+01 5.736863107701589692e-02 2.200229260437664176e-05 6.041846839311124651e-01 1.685625118941086704e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.700000000000000000e+01 5.947974572155750872e-02 2.281867126284206160e-05 6.032174714292439788e-01 1.751015518505208155e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.800000000000000000e+01 6.159175131708433809e-02 2.363587455506365226e-05 6.023280584672383586e-01 1.816482250266769513e-06 3.652005536284059529e-03 1.390445890671679849e-06
2.900000000000000000e+01 6.371114741722874730e-02 2.445639836707165122e-05 6.015697665318633369e-01 1.882218339571131962e-06 3.652005536284059529e-03 1.390445890671679849e-06
3.000000000000000000e+01 6.582843369643627540e-02 2.527659794503726100e-05 6.008427702021609251e-01 1.947944491461737720e-06 3.652005536284059529e-03 1.390445890671679849e-06
3.100000000000000000e+01 6.793932365457380773e-02 2.609482681533313974e-05 6.001061783332815036e-01 2.013534000146941962e-06 3.652005536284059529e-03 1.390445890671679849e-06
3.200000000000000000e+01 7.004630181601624594e-02 2.691203801205742908e-05 5.993821504382975673e-01 2.079060336155714128e-06 3.652005536284059529e-03 1.390445890671679849e-06
3.300000000000000000e+01 7.215592812193948047e-02 2.773075194654728542e-05 5.987239763736040832e-01 2.144718535865879414e-06 3.652005536284059529e-03 1.390445890671679849e-06
3.400000000000000000e+01 7.426375676532356862e-02 2.854926106283736404e-05 5.980900407886682313e-01 2.210377109376927033e-06 3.652005536284059529e-03 1.390445890671679849e-06
3.500000000000000000e+01 7.637334875819720703e-02 2.936893476277894826e-05 5.975061256412912414e-01 2.276142426950534085e-06 3.652005536284059529e-03 1.390445890671679849e-06
3.600000000000000000e+01 7.848708959683874109e-02 3.019069189747453262e-05 5.969862070537509391e-01 2.342086290631993323e-06 3.652005536284059529e-03 1.390445890671679849e-06
