# time dx dy dz
9.684999999999999626e-13 -1.118065499999999934e+00 -1.729651118799999110e-01 1.284690900000000191e+00
1.944000000000000198e-12 8.693300000000014904e-03 1.346997200000000117e+00 -1.209170999999999996e+00
8.459000000000000206e-12 -7.422191203000001458e-01 -7.292538000000001741e-01 9.758769999999991618e-02
8.572000000000000229e-12 -5.104794796999998496e-01 -5.644987940500001411e-01 -1.417922597999998757e-01
1.174999999999999981e-11 5.104798796999998611e-01 5.644987940500001411e-01 1.417922597999998757e-01
1.198000000000000025e-11 -5.106931796999998330e-01 -5.635526999999997955e-01 -1.431557639699998496e-01
1.218000000000000020e-11 -1.325302800000000225e+00 -8.048244338000015707e-02 1.358289384419999912e+00
1.584999999999999890e-11 -1.226415699999999998e+00 1.156205097999999099e-01 1.326368299999999945e+00
2.598999999999999891e-11 -1.425558017578000047e+00 -1.160537900000000011e+00 2.754300446800014845e-02
1.155999999999999937e-10 1.425559917578000046e+00 1.160537900000000011e+00 -2.754110446800014933e-02
1.797000000000000102e-10 1.245590200000000092e+00 1.295633400000000268e+00 -3.749368765999999686e-02
1.801000000000000036e-10 -1.112691831400000275e+00 -4.764330566999996908e-02 -1.196228299999999800e+00
1.925000000000000073e-10 1.112691831400000275e+00 4.764330566999996908e-02 1.196226299999999965e+00
1.931000000000000104e-10 -1.112680431400000280e+00 -4.763480567000000221e-02 -1.196247999999999756e+00
2.042000000000000031e-10 1.112680431400000280e+00 4.763590567000013792e-02 1.196249899999999755e+00
2.047000000000000014e-10 1.270503982709999535e+00 -8.936409999999993248e-02 1.190064400000000022e+00
2.162999999999999924e-10 -1.270503982709999535e+00 8.936499999999993060e-02 -1.190064499999999859e+00
2.167000000000000117e-10 1.270518460669999961e+00 -8.935359999999993585e-02 1.190058700000000025e+00
2.315000000000000019e-10 -1.166350759376000079e+00 1.043607800000000196e+00 -6.859579999999974864e-02
2.322000000000000098e-10 -9.556483000000000061e-01 9.445716235099999025e-01 -2.476254640000020296e-02
2.331000000000000016e-10 9.556483000000000061e-01 -9.445716235099999025e-01 2.476064640000020384e-02
2.335999999999999998e-10 1.111889099999999964e+00 1.249170246972999943e+00 8.759392909999991206e-02
2.591999999999999941e-10 -3.150530000000006936e-02 1.204203631449999978e+00 -1.378877430810000249e+00
2.653000000000000041e-10 -2.002843976999999775e-01 -1.222189531449999977e+00 -1.099711449559999998e+00
2.673999999999999762e-10 1.230394097700000078e+00 -1.170532400000000361e+00 -4.067885043999999728e-02
2.957000000000000232e-10 -1.553693999999999353e-01 1.350314000000000236e+00 1.394777100000000214e+00
3.026000000000000200e-10 1.267706848930000074e+00 -8.577740000000017018e-02 -1.361678000000000166e+00
3.063000000000000176e-10 -4.744072801000003003e-02 -1.307824799999999676e+00 -1.440575940749999617e+00
3.080000000000000221e-10 -1.302493297399999861e+00 -1.274923699999999993e+00 1.272609999999957386e-02
3.081000000000000011e-10 -7.135290826299995892e-01 -6.839226548500000336e-01 -1.673220000000023855e-02
3.081000000000000011e-10 -5.857135408899998286e-01 -6.253340451500000174e-01 -3.617279999999981066e-02
3.090999999999999976e-10 5.857135197099998525e-01 6.253349988299999884e-01 3.617079999999980866e-02
3.090999999999999976e-10 -5.857412197099998163e-01 -6.253224988299997955e-01 -3.617809999999982429e-02
3.100000000000000152e-10 5.857453283299998148e-01 6.253243988299997946e-01 3.617999999999982341e-02
3.102000000000000248e-10 -5.857700283299996924e-01 -6.253166988299998508e-01 -3.619119999999975690e-02
3.115999999999999890e-10 -1.229538700000000651e+00 -1.211509200000000286e+00 -4.037182900000268158e-03
3.417000000000000194e-10 -1.218002099999999865e+00 1.291952300000000387e+00 -8.615081709999991566e-02
3.430999999999999836e-10 9.929063820999993462e-02 -1.301134199999999908e+00 1.368441799999999819e+00
3.435000000000000029e-10 -1.385002068730000202e+00 -1.375976199999999983e+00 -1.956211999999998841e-01
3.607000000000000055e-10 1.409993799999999631e+00 -2.474887039999981025e-02 -1.308466100000000187e+00
3.654999999999999786e-10 -1.409978699999999918e+00 2.479177039999979487e-02 1.308508000000000226e+00
3.799999999999999802e-10 1.409978699999999918e+00 -2.479227039999997578e-02 -1.308508000000000226e+00
3.801000000000000109e-10 -1.409969100000000086e+00 2.483657039999995209e-02 1.308549000000000184e+00
4.002000000000000242e-10 1.409969100000000086e+00 -2.483657039999995209e-02 -1.308548900000000126e+00
4.003999999999999822e-10 -1.409955799999999870e+00 2.488137040000003297e-02 1.308587999999999862e+00
4.055999999999999746e-10 1.409955799999999870e+00 -2.488147040000006360e-02 -1.308587499999999793e+00
4.066000000000000228e-10 5.031210000000002625e-02 -1.179682129599999740e+00 -1.234746199999999794e+00
4.216000000000000227e-10 1.295692629559999753e+00 -4.010523177000013817e-02 1.302300277013999974e+00
5.964000000000000291e-10 -1.178711000000000286e+00 1.261388263930000253e+00 7.378127489999997124e-02
6.009999999999999926e-10 -1.424987899999999641e+00 1.492076784000005013e-02 1.301062658600000255e+00
6.035000000000000356e-10 1.424989799999999640e+00 -1.492166784000007601e-02 -1.301061658600000115e+00
6.055000000000000287e-10 -1.424970599999999754e+00 1.496896784000013164e-02 1.301099958600000051e+00
6.342000000000000433e-10 1.424970599999999754e+00 -1.496761416000014916e-02 -1.301101358600000202e+00
6.348000000000000206e-10 5.257400000000039819e-02 -1.175842985840000132e+00 -1.231256841399999580e+00
6.571999999999999639e-10 -5.257400000000039819e-02 1.175842085840000051e+00 1.231256841399999580e+00
6.581000000000000332e-10 -1.425016399999999628e+00 1.509311416000013589e-02 1.300995358600000262e+00
6.589999999999999991e-10 1.425016399999999628e+00 -1.509161416000009276e-02 -1.300994358600000345e+00
6.595000000000000490e-10 1.179733100000000201e+00 -1.249680066619999863e+00 -6.340165016999971259e-02
6.945999999999999588e-10 -1.324386427100000319e+00 7.992468078000006249e-02 1.383065399999999778e+00
7.009000000000000301e-10 -1.361042199999999758e+00 7.465909999999997826e-02 1.304329899999999931e+00
7.012000000000000188e-10 1.172384365680000151e+00 -1.168201185800000208e-01 1.028048539660000094e+00
7.016000000000000381e-10 1.211360934320000027e+00 -1.086170599999999986e+00 -3.874023965999995323e-02
7.017999999999999960e-10 9.920899999999979735e-02 1.170886715119999977e+00 1.121881600000000034e+00
7.067999999999999788e-10 -1.140357999999999983e+00 -1.628562833999988579e-02 -1.223812000000000122e+00
7.067999999999999788e-10 -1.174892300000000223e+00 -1.165685300000000257e+00 5.020535425999993195e-02
7.141999999999999739e-10 -1.083850900000000061e+00 1.305503300000000033e+00 9.145914574000005293e-02
7.208999999999999611e-10 -1.030889600000000073e+00 1.320419484889999939e+00 -5.588699769999994071e-02
7.259999999999999745e-10 -1.431281819290000534e+00 -4.599918488999990562e-02 -1.200208714930000031e+00
7.306000000000000413e-10 -1.326021310820000298e+00 -1.106687530460000346e+00 1.200299999999998590e-02
7.309999999999999572e-10 1.325913301099999331e-01 1.081629900000000033e+00 -1.146283399999999508e+00
7.391999999999999909e-10 -1.045873699999999795e+00 -1.225219008300000301e-01 -1.093364099999999839e+00
7.518000000000000302e-10 -1.697810000000005148e-02 1.318020976959999757e+00 1.141055900000000234e+00
7.519999999999999881e-10 1.253704870605400146e+00 -1.118221700000000096e+00 -3.508950000000027325e-02
7.525999999999999654e-10 -1.316794370605399944e+00 1.019030000000000213e-01 -1.197859199999999902e+00
7.545000000000000312e-10 9.668892309809999919e-01 -4.695090000000003150e-02 -8.869732999999997425e-01
7.548000000000000198e-10 -9.668758309810001617e-01 4.691989999999987559e-02 8.869814999999997562e-01
7.633999999999999694e-10 1.321888899999999811e+00 -9.693670000000015330e-02 1.184206199999999987e+00
7.636000000000000308e-10 -1.321888899999999811e+00 9.693630000000014180e-02 -1.184206199999999987e+00
7.713000000000000145e-10 1.321860400000000046e+00 -9.684709999999985275e-02 1.184246899999999769e+00
7.734999999999999656e-10 -1.321859399999999907e+00 9.684709999999985275e-02 -1.184246899999999769e+00
7.737999999999999542e-10 9.674833089359999860e-01 -4.665940000000001753e-02 -8.887781999999998517e-01
