# bin_edges hist err
5.907837911587943396e-08 3.801951903042870526e+02 1.835599676093464083e+01
1.068000432514575467e-07 3.333614541326095093e+01 4.042601432053664290e+00
1.930697728883249708e-07 6.573493343696651436e+02 1.335149568567710077e+01
3.490254878959579243e-07 1.149528069404413827e+03 1.313167626834756518e+01
6.309573444801929638e-07 2.328193808096698831e+03 1.389947874667856276e+01
1.140624923851320228e-06 5.439843105403680966e+03 1.580195087473811100e+01
2.061986009502219260e-06 1.655337250598636501e+03 6.483198753384820989e+00
3.727593720314938057e-06 5.913503149398579808e+03 9.113749331109731955e+00
6.738627168030940877e-06 5.380047475688465056e+03 6.465413245471411940e+00
1.218187912010114744e-05 4.571817603301135023e+03 4.432780776435129688e+00
2.202201949987373474e-05 4.304701394885675654e+03 3.199130033140336504e+00
3.981071705534969458e-05 3.778173775783386645e+03 2.229101856120529135e+00
7.196856730011514085e-05 3.405286378445046921e+03 1.573962354629983462e+00
1.301025216910830151e-04 1.936215212244393797e+03 8.827198761467389687e-01
2.351952635070956471e-04 6.097520236797490725e+02 3.684268630481439821e-01
4.251786303382885782e-04 2.075222273325123297e+02 1.598584304528259947e-01
7.686246100397730154e-04 7.543390013448369302e+01 7.168282084581052704e-02
1.389495494373136101e-03 2.540865306217456165e+01 3.094220072247995043e-02
2.511886431509576835e-03 8.266232400405892022e+00 1.312631295447194701e-02
4.540909610972469757e-03 2.629716405656358891e+00 5.506453526001995127e-03
8.208914159638244779e-03 7.820267664735192081e-01 2.233350574488323498e-03
1.483981788967563172e-02 2.181396060823454774e-01 8.772874677788550712e-04
2.682695795279721809e-02 6.082575880473806845e-02 3.445458333749418386e-04
4.849693428528190769e-02 1.437165955981400782e-02 1.245619121548597035e-04
8.767123872968668463e-02 3.254747163179129172e-03 4.408785868819858287e-05
1.584893192461110933e-01 7.974714858152692071e-04 1.623104682332952994e-05
2.865120269663776198e-01 4.751255535075608595e-05 2.946603596293053709e-06
5.179474679231201861e-01 1.496076836327297230e-04 3.888866558449429934e-06
9.363292088239397737e-01 3.433346989798147865e-05 1.385586080699667455e-06
1.692666615037872635e+00 1.546594543026237901e-07 6.916581063673782526e-08
