# Barrier Energy Step Time
0.000000000000000000e+00 -2.984113899999999921e+04 0.000000000000000000e+00 0.000000000000000000e+00
6.939999999999999503e-01 -2.984023900000000140e+04 5.000000000000000000e-01 2.706000000000000142e-11
0.000000000000000000e+00 -2.984093300000000090e+04 1.000000000000000000e+00 2.706000000000000142e-11
4.239999999999999880e-01 -2.984049599999999919e+04 1.500000000000000000e+00 2.931000000000000012e-11
0.000000000000000000e+00 -2.984091999999999825e+04 2.000000000000000000e+00 2.931000000000000012e-11
4.099999999999999756e-01 -2.984052300000000105e+04 2.500000000000000000e+00 3.143999999999999690e-11
0.000000000000000000e+00 -2.984093300000000090e+04 3.000000000000000000e+00 3.143999999999999690e-11
4.239999999999999880e-01 -2.984049599999999919e+04 3.500000000000000000e+00 3.340999999999999759e-11
0.000000000000000000e+00 -2.984091999999999825e+04 4.000000000000000000e+00 3.340999999999999759e-11
4.369999999999999996e-01 -2.984060299999999916e+04 4.500000000000000000e+00 3.376999999999999686e-11
0.000000000000000000e+00 -2.984103900000000067e+04 5.000000000000000000e+00 3.376999999999999686e-11
5.889999999999999680e-01 -2.984037700000000041e+04 5.500000000000000000e+00 7.307999999999999476e-11
0.000000000000000000e+00 -2.984096500000000015e+04 6.000000000000000000e+00 7.307999999999999476e-11
6.770000000000000462e-01 -2.984011699999999837e+04 6.500000000000000000e+00 7.467999999999999440e-11
0.000000000000000000e+00 -2.984079400000000169e+04 7.000000000000000000e+00 7.467999999999999440e-11
2.829999999999999738e-01 -2.984112800000000061e+04 7.500000000000000000e+00 7.704999999999999501e-11
0.000000000000000000e+00 -2.984141100000000006e+04 8.000000000000000000e+00 7.704999999999999501e-11
4.109999999999999765e-01 -2.984104300000000148e+04 8.500000000000000000e+00 7.833000000000000248e-11
0.000000000000000000e+00 -2.984145400000000154e+04 9.000000000000000000e+00 7.833000000000000248e-11
3.750000000000000000e-01 -2.984111699999999837e+04 9.500000000000000000e+00 8.274999999999999859e-11
0.000000000000000000e+00 -2.984149199999999837e+04 1.000000000000000000e+01 8.274999999999999859e-11
5.340000000000000302e-01 -2.984097499999999854e+04 1.050000000000000000e+01 8.324999999999999686e-11
0.000000000000000000e+00 -2.984150899999999820e+04 1.100000000000000000e+01 8.324999999999999686e-11
3.469999999999999751e-01 -2.984160599999999977e+04 1.150000000000000000e+01 8.815000000000000062e-11
0.000000000000000000e+00 -2.984195300000000134e+04 1.200000000000000000e+01 8.815000000000000062e-11
6.350000000000000089e-01 -2.984131299999999828e+04 1.250000000000000000e+01 1.011999999999999969e-10
0.000000000000000000e+00 -2.984194800000000032e+04 1.300000000000000000e+01 1.011999999999999969e-10
3.479999999999999760e-01 -2.984156100000000151e+04 1.350000000000000000e+01 1.024999999999999950e-10
0.000000000000000000e+00 -2.984190899999999965e+04 1.400000000000000000e+01 1.024999999999999950e-10
3.079999999999999960e-01 -2.984163999999999942e+04 1.450000000000000000e+01 1.025999999999999998e-10
0.000000000000000000e+00 -2.984194800000000032e+04 1.500000000000000000e+01 1.025999999999999998e-10
5.819999999999999618e-01 -2.984134800000000178e+04 1.550000000000000000e+01 1.032000000000000029e-10
0.000000000000000000e+00 -2.984192900000000009e+04 1.600000000000000000e+01 1.032000000000000029e-10
4.249999999999999889e-01 -2.984156299999999828e+04 1.650000000000000000e+01 1.053000000000000009e-10
0.000000000000000000e+00 -2.984198900000000140e+04 1.700000000000000000e+01 1.053000000000000009e-10
4.349999999999999978e-01 -2.984172200000000157e+04 1.750000000000000000e+01 1.080999999999999938e-10
0.000000000000000000e+00 -2.984215699999999924e+04 1.800000000000000000e+01 1.080999999999999938e-10
4.179999999999999827e-01 -2.984199799999999959e+04 1.850000000000000000e+01 1.199999999999999992e-10
0.000000000000000000e+00 -2.984241600000000108e+04 1.900000000000000000e+01 1.199999999999999992e-10
2.939999999999999836e-01 -2.984191200000000026e+04 1.950000000000000000e+01 1.202000000000000089e-10
0.000000000000000000e+00 -2.984220599999999831e+04 2.000000000000000000e+01 1.202000000000000089e-10
8.400000000000000522e-02 -2.984233199999999852e+04 2.050000000000000000e+01 1.202000000000000089e-10
0.000000000000000000e+00 -2.984241600000000108e+04 2.100000000000000000e+01 1.202000000000000089e-10
2.939999999999999836e-01 -2.984191200000000026e+04 2.150000000000000000e+01 1.234000000000000081e-10
0.000000000000000000e+00 -2.984220599999999831e+04 2.200000000000000000e+01 1.234000000000000081e-10
8.400000000000000522e-02 -2.984233199999999852e+04 2.250000000000000000e+01 1.234000000000000081e-10
0.000000000000000000e+00 -2.984241600000000108e+04 2.300000000000000000e+01 1.234000000000000081e-10
4.719999999999999751e-01 -2.984194099999999889e+04 2.350000000000000000e+01 1.337999999999999929e-10
0.000000000000000000e+00 -2.984241200000000026e+04 2.400000000000000000e+01 1.337999999999999929e-10
4.909999999999999920e-01 -2.984197300000000178e+04 2.450000000000000000e+01 1.368000000000000084e-10
0.000000000000000000e+00 -2.984246399999999994e+04 2.500000000000000000e+01 1.368000000000000084e-10
3.170000000000000040e-01 -2.984190000000000146e+04 2.550000000000000000e+01 1.381999999999999984e-10
0.000000000000000000e+00 -2.984221700000000055e+04 2.600000000000000000e+01 1.381999999999999984e-10
1.799999999999999864e-02 -2.984256699999999910e+04 2.650000000000000000e+01 1.386999999999999967e-10
0.000000000000000000e+00 -2.984258499999999913e+04 2.700000000000000000e+01 1.386999999999999967e-10
5.210000000000000187e-01 -2.984216700000000128e+04 2.750000000000000000e+01 1.455999999999999935e-10
0.000000000000000000e+00 -2.984268799999999828e+04 2.800000000000000000e+01 1.455999999999999935e-10
4.680000000000000271e-01 -2.984194499999999971e+04 2.850000000000000000e+01 1.524000000000000114e-10
0.000000000000000000e+00 -2.984241200000000026e+04 2.900000000000000000e+01 1.524000000000000114e-10
1.920000000000000040e-01 -2.984249499999999898e+04 2.950000000000000000e+01 1.534000000000000079e-10
0.000000000000000000e+00 -2.984268799999999828e+04 3.000000000000000000e+01 1.534000000000000079e-10
4.680000000000000271e-01 -2.984194499999999971e+04 3.050000000000000000e+01 1.554000000000000010e-10
