# Barrier Energy Step Time
0.000000000000000000e+00 -5.922603000000000065e+03 0.000000000000000000e+00 0.000000000000000000e+00
5.749999999999999556e-01 -5.922154999999999745e+03 5.000000000000000000e-01 1.556999999999999929e-12
0.000000000000000000e+00 -5.922729999999999563e+03 1.000000000000000000e+00 1.556999999999999929e-12
4.020000000000000240e-01 -5.922457000000000335e+03 1.500000000000000000e+00 8.150000000000000614e-12
0.000000000000000000e+00 -5.922859000000000378e+03 2.000000000000000000e+00 8.150000000000000614e-12
5.310000000000000275e-01 -5.922198000000000320e+03 2.500000000000000000e+00 1.345999999999999960e-11
0.000000000000000000e+00 -5.922729999999999563e+03 3.000000000000000000e+00 1.345999999999999960e-11
6.199999999999999956e-01 -5.921845000000000255e+03 3.500000000000000000e+00 1.495999999999999926e-11
0.000000000000000000e+00 -5.922466000000000349e+03 4.000000000000000000e+00 1.495999999999999926e-11
3.559999999999999831e-01 -5.922372999999999593e+03 4.500000000000000000e+00 1.559000000000000122e-11
0.000000000000000000e+00 -5.922729999999999563e+03 5.000000000000000000e+00 1.559000000000000122e-11
5.500000000000000444e-01 -5.922018000000000029e+03 5.500000000000000000e+00 3.861999999999999821e-11
0.000000000000000000e+00 -5.922569000000000415e+03 6.000000000000000000e+00 3.861999999999999821e-11
4.099999999999999756e-01 -5.922403000000000247e+03 6.500000000000000000e+00 3.875999999999999721e-11
0.000000000000000000e+00 -5.922811999999999898e+03 7.000000000000000000e+00 3.875999999999999721e-11
3.800000000000000044e-01 -5.922693000000000211e+03 7.500000000000000000e+00 4.735999999999999853e-11
0.000000000000000000e+00 -5.923073000000000320e+03 8.000000000000000000e+00 4.735999999999999853e-11
5.300000000000000266e-01 -5.922634000000000015e+03 8.500000000000000000e+00 4.781000000000000085e-11
0.000000000000000000e+00 -5.923163999999999760e+03 9.000000000000000000e+00 4.781000000000000085e-11
6.039999999999999813e-01 -5.922461000000000240e+03 9.500000000000000000e+00 4.946999999999999822e-11
0.000000000000000000e+00 -5.923064999999999600e+03 1.000000000000000000e+01 4.946999999999999822e-11
5.380000000000000338e-01 -5.922431999999999789e+03 1.050000000000000000e+01 5.678999999999999854e-11
0.000000000000000000e+00 -5.922970000000000255e+03 1.100000000000000000e+01 5.678999999999999854e-11
