step time ezz temp pe pxx pyy szz vol
0 0 0 1000 -5929.91406997533 12729.1942007903 12741.2424523302 -1.13431210608675 15425.3402276323
10 0.05 0 873.806113472247 -5907.54458134635 19090.3613957514 19325.4725450263 -1.79005285650931 15425.4408447209
20 0.1 0 563.758105596448 -5852.56731873334 35507.6272421922 36265.0302205266 -3.49815410968236 15425.8370037491
30 0.15 0 288.535324248764 -5803.76465944971 50190.5120185463 51188.4050064969 -5.03305483380017 15426.7644991741
40 0.2 0 242.201142019243 -5795.5755976569 51422.4490900031 52026.1474129295 -5.17768770203339 15428.430392241
50 0.25 0 357.635556149447 -5816.0445390498 43231.4027259837 42995.4707571613 -4.33352861099274 15430.8553807359
60 0.3 0 462.175942228061 -5834.50714226992 37029.9961742564 35859.1569259346 -3.66692648246325 15433.9238186692
70 0.35 0 487.612369038728 -5838.89457694254 36648.1494465404 34578.090801024 -3.59364377676952 15437.5380389816
80 0.4 0 468.812265153722 -5835.43005471897 38423.1760970595 36123.9951256787 -3.79142635215117 15441.6797682771
90 0.45 0 470.812968717765 -5835.65608369838 37949.2093588183 36549.7670172506 -3.78784957805883 15446.368233278
100 0.5 0 517.819983232285 -5843.83972321945 34338.3402415786 34335.055604066 -3.42780245774201 15451.5996179824
110 0.55 0 574.982795438018 -5853.77516306608 29794.6045803509 30850.585179799 -2.96839866502569 15457.3274902885
120 0.6 0 594.550610852117 -5857.00910694487 27314.5151442209 28983.7773360845 -2.74905531747378 15463.4907359051
130 0.65 0 558.864766581579 -5850.45482333406 28152.5836280454 30384.932709883 -2.85979194347483 15470.0565480068
140 0.7 0 494.215629631706 -5838.8100042451 30662.7636440174 33306.5373726548 -3.1389552380533 15477.038114547
150 0.75 0 454.877600885478 -5831.70260152128 31937.5069450497 34004.5933616114 -3.29029086948842 15484.4709630901
160 0.8 0 467.761840972351 -5833.86896657753 30521.4636122091 31171.7885448947 -3.1291829727194 15492.3688105398
170 0.85 0 509.933585238357 -5841.20103888854 27408.8330414386 26930.5745712337 -2.73924639652809 15500.7017767747
180 0.9 0 540.772251398791 -5846.48974501651 24653.692996114 23926.5289505063 -2.37580822653045 15509.4139566284
190 0.95 0 538.128679724643 -5845.83333043343 23526.3908891581 23017.6813989859 -2.21419718733551 15518.4573037602
200 1 0 514.437793409572 -5841.46475695214 23593.2269540475 23257.4883828172 -2.22139096644409 15527.8103756122
210 1.05 0 497.605048295334 -5838.33758524069 23194.4649459662 23133.9740208503 -2.2470825841634 15537.4707558358
220 1.1 0 502.068937245589 -5838.99418869091 21511.3415045273 21913.2746372554 -2.17508254061911 15547.4334896427
230 1.15 0 519.629531627648 -5841.96274158714 19268.0770552789 20121.1694934699 -1.99836271054589 15557.6780443533
240 1.2 0 531.903939086744 -5843.97984799809 17777.4022239045 18686.4727592927 -1.80457231416978 15568.1735197458
250 1.25 0 529.731409344702 -5843.43204446296 17515.3998390053 18015.4640853011 -1.67324702117112 15578.893116633
260 1.3 0 518.181917945261 -5841.22722629103 17512.1276916874 17478.9378664527 -1.57533806213042 15589.8216518873
270 1.35 0 509.280831654491 -5839.49402621447 16599.9408659497 16192.4195586276 -1.45768363639243 15600.9472112687
280 1.4 0 507.93716708194 -5839.09532253853 14720.7137009159 14237.3990562985 -1.30248266033281 15612.249380987
290 1.45 0 510.562142514089 -5839.38517196114 12313.1542437712 12297.4355382004 -1.11069759955176 15623.6979313524
300 1.5 0 512.470744181192 -5839.53054795577 9939.27987950029 10800.4358290859 -0.909907223499955 15635.2581066639
310 1.55 0 510.61118107368 -5838.99303083319 8143.13504161883 9691.78586716021 -0.760813359128699 15646.8971369358
320 1.6 0 507.347787881772 -5838.19620696558 6782.7655877007 8494.02923534702 -0.649474536086224 15658.5890370165
330 1.65 0 507.640195084254 -5838.01898468817 5350.90008091791 6746.53157589509 -0.515245599184567 15670.3112523938
340 1.7 0 511.5052077303 -5838.45816477231 3854.52399591451 4629.15464438276 -0.341185330723841 15682.0376573793
350 1.75 0 516.668940830529 -5839.10895962408 2431.52370002106 2765.38485299825 -0.151617648050899 15693.738371253
360 1.8 0 519.818001843778 -5839.38574415756 894.682459522432 1442.74207047054 0.0284002751390752 15705.3842304852
370 1.85 0 519.713865310159 -5839.07131350116 -664.714192214871 364.117269661931 0.165557463451376 15716.9489005494
380 1.9 0 520.135103328845 -5838.84023502509 -2040.90036602806 -857.559491667809 0.25349332479804 15728.4095461554
390 1.95 0 521.460569296985 -5838.76006428078 -3284.47471574006 -2417.91344528275 0.328153269116684 15739.7460517666
400 2 0 517.875817885167 -5837.79966354808 -4185.94794438702 -3869.08793270576 0.396540395448981 15750.9387789209
410 2.05 0 509.833297252872 -5836.04365295863 -4807.14265866032 -4936.87026321797 0.463446995938636 15761.9707804985
420 2.1 0 505.359887039609 -5834.91852209017 -5801.86230227307 -5845.10486261777 0.569688515576733 15772.8281630147
430 2.15 0 506.807780761699 -5834.83497942712 -7367.39000552738 -6771.57452249915 0.727981367349896 15783.4945729644
440 2.2 0 511.361148801805 -5835.28822550658 -9199.64686914389 -8065.33126316849 0.924896723754469 15793.9483279033
450 2.25 0 516.372228475312 -5835.80900320531 -10842.0002160823 -9983.60814754707 1.11742062343808 15804.1629188724
460 2.3 0 516.709941766486 -5835.48916247425 -11761.9376426221 -12118.1711503103 1.25334144580742 15814.1106179549
470 2.35 0 514.281393294722 -5834.67386145666 -11966.5258446573 -14020.2508022866 1.35635526966072 15823.7691107564
480 2.4 0 517.178741615255 -5834.79972354207 -12226.3829111991 -15654.9548935317 1.48983100782313 15833.1224181295
490 2.45 0 523.950651996719 -5835.60511278428 -13293.7725148505 -16897.5031297288 1.64205648874484 15842.15478246
500 2.5 0 527.442100765826 -5835.82302354892 -14991.89360703 -17447.4486972168 1.74024346631013 15850.8484365124
510 2.55 0 524.500737298398 -5834.89871290115 -16623.6587563813 -17488.1853438329 1.78200325442392 15859.1887828778
520 2.6 0 518.543222675414 -5833.44350861409 -17769.447350131 -17467.2906600802 1.8341828765745 15867.1669506426
530 2.65 0 515.770185465727 -5832.55694609917 -18647.5446513126 -17804.0608499906 1.93429143411533 15874.7765402098
540 2.7 0 518.467280159658 -5832.64121581542 -19647.9332759311 -18896.8436592776 2.0604796366333 15882.0085618508
550 2.75 0 525.415269311105 -5833.47458991888 -20917.2348887019 -20428.339284635 2.17159171719193 15888.8487861036
560 2.8 0 530.775946500402 -5834.02306891306 -21970.884990534 -21689.181798178 2.23504565674831 15895.2806326405
570 2.85 0 527.423578329346 -5833.02992509125 -22118.4424377825 -22151.2552514113 2.21768578381746 15901.2930476767
580 2.9 0 516.891987378709 -5830.77462470499 -21462.3883766286 -22126.9758503535 2.17651207640965 15906.8873181167
