step time ezz temp pe pxx pyy szz vol
0 0 0 1066 -6106.54554814351 13526.9173326208 13816.5883129348 -1.35888530979402 14788.7980023657
10 0.05 0 911.32380895012 -6079.12495288526 17789.1390202219 18041.3288515623 -1.78778266368119 14788.8910638293
20 0.1 0 544.067131536407 -6013.99679450015 29613.5169786808 29718.3104717418 -2.99092602472244 14789.2247140595
30 0.15 0 247.728986771873 -5961.43764610474 39124.0739114696 39029.8539693065 -3.98069640876023 14789.9403362774
40 0.2 0 236.240252330961 -5959.40510935155 36480.4719215072 36162.9441375825 -3.74444918647196 14791.148807637
50 0.25 0 396.838464553607 -5987.83166844164 27399.5214992471 26654.1830977492 -2.81588878744397 14792.8209022708
60 0.3 0 521.68169702073 -6009.82125352584 22695.0424259522 21122.2194553146 -2.27998878537649 14794.8469945469
70 0.35 0 542.9950845218 -6013.39611596464 24054.2283407168 21445.7300093049 -2.34810550419314 14797.160138429
80 0.4 0 518.489286760406 -6008.83540386815 26893.3188037707 23849.1221365572 -2.60010799247468 14799.7647660028
90 0.45 0 529.65521349301 -6010.59505397528 27014.6064019778 24772.6045830092 -2.61246835241455 14802.6890079826
100 0.5 0 589.299897056412 -6020.91704544393 24131.1330207165 23586.5586161165 -2.33858425934789 14805.9363928902
110 0.55 0 641.636993925906 -6029.89570118063 20993.180963504 22149.4764690906 -2.05760608092223 14809.4791997887
120 0.6 0 625.737626506738 -6026.75670931548 20278.0732746581 22465.6185565028 -2.03585247250338 14813.2871590862
130 0.65 0 539.850761375312 -6011.24034934799 22723.3616019256 24918.9171027426 -2.32610417654768 14817.3574001394
140 0.7 0 457.282948417999 -5996.37175703304 25769.8139548673 26935.0844950967 -2.65605191741462 14821.7199400937
150 0.75 0 458.125681697056 -5996.32410242236 25610.0996680728 25252.246744735 -2.63512886881269 14826.4057722057
160 0.8 0 535.733275948114 -6009.85526086769 22153.318540564 20584.3221517043 -2.24969101218827 14831.4050370432
170 0.85 0 608.087134060047 -6022.39571327667 18860.5864507995 16937.0701870938 -1.86618894742345 14836.6688697114
180 0.9 0 610.526588716757 -6022.51929761112 18281.757750458 16745.8475660076 -1.76918990038442 14842.1523160343
190 0.95 0 551.595885820218 -6011.79577627477 19985.3830624706 19193.3466993442 -1.93188930022669 14847.846295327
200 1 0 496.543601120138 -6001.81354922546 21310.6957105046 21369.5274691467 -2.08734836177386 14853.7719423814
210 1.05 0 500.148186075723 -6002.25679669899 20022.9125062348 20799.1888507392 -1.97459401270644 14859.9474183305
220 1.1 0 552.863912336439 -6011.38760877376 16815.4620466521 17952.0872041612 -1.63034463388729 14866.3591637395
230 1.15 0 596.896795898082 -6018.94268799039 14265.9693954412 15217.1651307159 -1.32631133056495 14872.9674952703
240 1.2 0 590.33020240158 -6017.51563344456 14139.2667081828 14225.7317533966 -1.26657595178009 14879.7369932976
250 1.25 0 544.635890566209 -6009.17418685626 15810.212989954 14482.4321156322 -1.40298745919288 14886.6585317024
260 1.3 0 509.424153423244 -6002.72273571937 16594.7610773791 14177.8795633143 -1.50825695019618 14893.7428220901
270 1.35 0 517.734063105108 -6003.9952976453 14927.9074826367 12481.4932182385 -1.42262055609582 14900.993906845
280 1.4 0 551.408846308944 -6009.74174798823 12141.0041437748 10279.6203553108 -1.19465024411591 14908.3931321907
290 1.45 0 573.113002824487 -6013.33823245768 10306.9676531834 8858.41420758709 -0.98458756112231 14915.9093066972
300 1.5 0 565.238666474607 -6011.68118334989 9937.57622337092 8506.5151403645 -0.903448033726449 14923.5184256155
310 1.55 0 539.632479478884 -6006.88907615583 10269.8565181545 8956.33682753685 -0.928670862326636 14931.2121946877
320 1.6 0 526.025324643581 -6004.23493534357 9861.11734826394 9241.94696439563 -0.927012025614243 14938.99262484
330 1.65 0 543.811366040326 -6007.14007914755 8009.10303248712 8297.53205123564 -0.797233171242863 14946.8568614809
340 1.7 0 580.585803717892 -6013.38420835631 5537.94383321474 6216.67260592082 -0.577252987312292 14954.7861690765
350 1.75 0 604.095960663707 -6017.24715407877 3851.71391018413 4255.39956298276 -0.388848296702572 14962.7511122199
360 1.8 0 592.213423211936 -6014.82499073858 3661.36331158113 3286.36490370303 -0.321409125501602 14970.7271475752
370 1.85 0 554.889565661059 -6007.90572954305 4550.73961189618 3113.01340959995 -0.352847481298659 14978.7049224392
380 1.9 0 523.188778823791 -6002.00315876244 5028.82064090506 2875.82246951397 -0.37103907589966 14986.6867653222
390 1.95 0 520.30847366794 -6001.2145989879 3912.07418969797 1854.80188676987 -0.287504229932744 14994.6725454687
400 2 0 542.999009264011 -6004.94127074507 1540.49704377559 242.832797003835 -0.133172233130265 15002.648522341
410 2.05 0 568.775983176212 -6009.18665708276 -998.493993230235 -1053.43515191464 0.0206181381562816 15010.5903599872
420 2.1 0 580.435706648907 -6010.90901967786 -2864.85572125057 -1549.09477068308 0.139307585061485 15018.4740996305
430 2.15 0 576.072773511096 -6009.7849259822 -3832.39227600097 -1694.96403804133 0.208550245211564 15026.2833443816
440 2.2 0 564.191116646993 -6007.33148697603 -4184.97297750487 -2106.75814220697 0.249124539450212 15034.009186921
450 2.25 0 554.992575048401 -6005.3577299032 -4340.27115504549 -3038.56737482303 0.326270170051522 15041.6455601495
460 2.3 0 553.945241398024 -6004.82748743994 -4527.22450548897 -4608.1056515121 0.485853730401632 15049.1835413078
470 2.35 0 557.20014672806 -6005.05271512464 -4787.09935217328 -6384.8058791247 0.667654683343142 15056.6083662174
480 2.4 0 554.604200544628 -6004.2340451601 -5054.31649028771 -7634.23238132217 0.774689973539195 15063.903415569
490 2.45 0 543.956104735732 -6001.98821201291 -5250.0101477001 -7979.07816434957 0.789843297505588 15071.0574982099
500 2.5 0 537.314965628189 -6000.45683807427 -5850.81672146341 -8123.30852701912 0.791874353412582 15078.066917755
510 2.55 0 547.1148881292 -6001.83736046317 -7503.16612593349 -8526.86786854422 0.84913876549928 15084.9278363948
520 2.6 0 569.193365896556 -6005.38014120574 -10031.414990811 -8978.11657918975 0.965391030718199 15091.6289755872
530 2.65 0 587.793574279774 -6008.28960128648 -12152.2437192661 -9431.611849498 1.09519935525179 15098.1529165935
540 2.7 0 588.967967114142 -6008.10271287846 -12740.0859499764 -9972.79773530907 1.15980710350935 15104.4836471343
550 2.75 0 573.126890349308 -6004.90562778627 -12012.70805599 -10597.9407563626 1.13882453910356 15110.6140225503
560 2.8 0 559.662799467647 -6002.14244978621 -11186.8756738848 -11492.8166889414 1.126680983765 15116.5454946262
570 2.85 0 565.734656222489 -6002.84650920022 -11589.8347982976 -12894.4971071198 1.2264814523096 15122.2782190534
580 2.9 0 584.59512105476 -6005.80732051488 -13103.4383899857 -14405.2346984099 1.40336623181105 15127.8009590795
590 2.95 0 594.321258027543 -6007.13685883669 -14534.0830384514 -15312.8498491736 1.53385597496476 15133.0945011108
600 3 0 582.4028789888 -6004.63056120429 -15136.3741498202 -15388.3579837156 1.54324433979319 15138.1444515338
610 3.05 0 555.016200758226 -5999.39728586944 -15178.6957914967 -15089.2025077024 1.47558195136938 15142.9483398304
620 3.1 0 527.86578752384 -5994.2246983141 -15188.4991833117 -14799.6184274592 1.40943470488142 15147.5113098727
630 3.15 0 514.847558236988 -5991.5691648267 -15546.9808724727 -14531.3966562757 1.40513439466896 15151.8388588842
640 3.2 0 523.347461770385 -5992.72751635144 -16374.0555524204 -14540.899684097 1.49035266993936 15155.9320803555
650 3.25 0 550.706608644606 -5997.2157027282 -17419.8636805077 -15181.2947273761 1.6183927545766 15159.7851103055
660 3.3 0 584.304735811568 -6002.79020842144 -18264.012125314 -16511.0602298256 1.73815623130718 15163.3865174405
670 3.35 0 608.089922956951 -6006.60983362015 -18651.845094226 -17872.7140745262 1.81512787193134 15166.7233287125
680 3.4 0 611.729354840512 -6006.8550945487 -18683.1525121232 -18444.3317154225 1.82614658296463 15169.786422781
690 3.45 0 598.415118680655 -6004.10512054585 -18515.8372561101 -18045.9148930011 1.77830025563114 15172.5746138474
700 3.5 0 581.893296640964 -6000.80222469174 -18591.698980835 -17430.9617813405 1.7321853905611 15175.0939858623
710 3.55 0 574.533706604427 -5999.13575736756 -19150.7405389147 -17265.7086265876 1.73811643965004 15177.3505425259
720 3.6 0 574.750995661195 -5998.81692609656 -19568.8313126959 -17564.729071771 1.78725244903242 15179.3445550933
730 3.65 0 574.212875751977 -5998.36544631353 -19331.9629089564 -18041.5177276366 1.85910946048787 15181.072940568
740 3.7 0 570.721343006589 -5997.39367037058 -18548.158187188 -18352.2319856143 1.9297893067238 15182.5335855259
750 3.75 0 568.457604271468 -5996.64375799801 -17674.8463759857 -18331.7275723375 1.96594065484442 15183.7275440875
760 3.8 0 573.955263606983 -5997.27154673257 -17152.0255158584 -18428.5881450068 1.94939940712499 15184.6590698633
770 3.85 0 589.973798948125 -5999.7612071161 -17453.9758697056 -19123.1602209522 1.92183588378649 15185.3323614844
780 3.9 0 610.157136674678 -6002.98269899098 -18481.5032058919 -20117.5315309794 1.92180313319105 15185.7461676634
790 3.95 0 619.466507406771 -6004.27228969959 -19383.4077674861 -20538.1531190156 1.92390825137712 15185.8941565089
800 4 0 609.73481069918 -6002.19140681612 -19557.4680758416 -19828.8763589165 1.89194888621843 15185.7729671407
810 4.05 0 589.545961736882 -5998.27087355349 -19275.317253377 -18472.9010524804 1.85106260070617 15185.3882164596
820 4.1 0 572.390955062153 -5994.90298284749 -18834.3430250075 -17445.5933733586 1.83864744513678 15184.7506464125
830 4.15 0 563.817586302274 -5993.06477278193 -18108.1394678005 -17251.4844084002 1.8229815092723 15183.8695571759
840 4.2 0 566.462093638763 -5993.2170450349 -17389.2834173012 -17697.5706609066 1.79094395489267 15182.7518167729
850 4.25 0 580.051448516844 -5995.30631626206 -16999.2939842571 -18391.758443952 1.77641692529282 15181.4019169786
